date,unemployment,isPartial
2014-01-05,100,False
2014-01-12,92,False
2014-01-19,79,False
2014-01-26,84,False
2014-02-02,81,False
2014-02-09,64,False
2014-02-16,60,False
2014-02-23,66,False
2014-03-02,64,False
2014-03-09,68,False
2014-03-16,60,False
2014-03-23,68,False
2014-03-30,71,False
2014-04-06,74,False
2014-04-13,58,False
2014-04-20,57,False
2014-04-27,66,False
2014-05-04,62,False
2014-05-11,59,False
2014-05-18,55,False
2014-05-25,48,False
2014-06-01,48,False
2014-06-08,46,False
2014-06-15,46,False
2014-06-22,45,False
2014-06-29,44,False
2014-07-06,47,False
2014-07-13,46,False
2014-07-20,45,False
2014-07-27,43,False
2014-08-03,40,False
2014-08-10,37,False
2014-08-17,37,False
2014-08-24,36,False
2014-08-31,37,False
2014-09-07,36,False
2014-09-14,36,False
2014-09-21,35,False
2014-09-28,37,False
2014-10-05,37,False
2014-10-12,36,False
2014-10-19,36,False
2014-10-26,36,False
2014-11-02,38,False
2014-11-09,38,False
2014-11-16,38,False
2014-11-23,32,False
2014-11-30,41,False
2014-12-07,39,False
2014-12-14,40,False
2014-12-21,35,False
2014-12-28,41,False
2015-01-04,49,False
2015-01-11,46,False
2015-01-18,47,False
2015-01-25,46,False
2015-02-01,43,False
2015-02-08,39,False
2015-02-15,40,False
2015-02-22,38,False
2015-03-01,39,False
2015-03-08,37,False
2015-03-15,37,False
2015-03-22,36,False
2015-03-29,36,False
2015-04-05,36,False
2015-04-12,37,False
2015-04-19,35,False
2015-04-26,34,False
2015-05-03,33,False
2015-05-10,33,False
2015-05-17,33,False
2015-05-24,33,False
2015-05-31,35,False
2015-06-07,35,False
2015-06-14,33,False
2015-06-21,34,False
2015-06-28,37,False
2015-07-05,38,False
2015-07-12,36,False
2015-07-19,36,False
2015-07-26,35,False
2015-08-02,34,False
2015-08-09,35,False
2015-08-16,34,False
2015-08-23,34,False
2015-08-30,34,False
2015-09-06,32,False
2015-09-13,32,False
2015-09-20,32,False
2015-09-27,33,False
2015-10-04,32,False
2015-10-11,34,False
2015-10-18,32,False
2015-10-25,32,False
2015-11-01,34,False
2015-11-08,33,False
2015-11-15,34,False
2015-11-22,29,False
2015-11-29,36,False
2015-12-06,35,False
2015-12-13,35,False
2015-12-20,31,False
2015-12-27,36,False
