date,unemployment office,isPartial
2014-01-05,100,False
2014-01-12,94,False
2014-01-19,81,False
2014-01-26,76,False
2014-02-02,74,False
2014-02-09,63,False
2014-02-16,62,False
2014-02-23,60,False
2014-03-02,56,False
2014-03-09,59,False
2014-03-16,57,False
2014-03-23,53,False
2014-03-30,54,False
2014-04-06,58,False
2014-04-13,51,False
2014-04-20,52,False
2014-04-27,54,False
2014-05-04,52,False
2014-05-11,52,False
2014-05-18,47,False
2014-05-25,47,False
2014-06-01,55,False
2014-06-08,54,False
2014-06-15,52,False
2014-06-22,52,False
2014-06-29,53,False
2014-07-06,62,False
2014-07-13,57,False
2014-07-20,57,False
2014-07-27,54,False
2014-08-03,51,False
2014-08-10,55,False
2014-08-17,53,False
2014-08-24,49,False
2014-08-31,50,False
2014-09-07,51,False
2014-09-14,50,False
2014-09-21,53,False
2014-09-28,52,False
2014-10-05,51,False
2014-10-12,55,False
2014-10-19,46,False
2014-10-26,45,False
2014-11-02,56,False
2014-11-09,52,False
2014-11-16,60,False
2014-11-23,41,False
2014-11-30,56,False
2014-12-07,52,False
2014-12-14,54,False
2014-12-21,47,False
2014-12-28,62,False
2015-01-04,76,False
2015-01-11,69,False
2015-01-18,69,False
2015-01-25,62,False
2015-02-01,58,False
2015-02-08,50,False
2015-02-15,51,False
2015-02-22,51,False
2015-03-01,53,False
2015-03-08,48,False
2015-03-15,48,False
2015-03-22,51,False
2015-03-29,44,False
2015-04-05,52,False
2015-04-12,49,False
2015-04-19,45,False
2015-04-26,44,False
2015-05-03,45,False
2015-05-10,48,False
2015-05-17,49,False
2015-05-24,43,False
2015-05-31,50,False
2015-06-07,55,False
2015-06-14,54,False
2015-06-21,56,False
2015-06-28,55,False
2015-07-05,62,False
2015-07-12,57,False
2015-07-19,61,False
2015-07-26,54,False
2015-08-02,52,False
2015-08-09,52,False
2015-08-16,58,False
2015-08-23,52,False
2015-08-30,54,False
2015-09-06,48,False
2015-09-13,49,False
2015-09-20,46,False
2015-09-27,46,False
2015-10-04,51,False
2015-10-11,54,False
2015-10-18,50,False
2015-10-25,48,False
2015-11-01,50,False
2015-11-08,54,False
2015-11-15,54,False
2015-11-22,42,False
2015-11-29,59,False
2015-12-06,53,False
2015-12-13,55,False
2015-12-20,48,False
2015-12-27,60,False
2016-01-03,84,False
2016-01-10,70,False
2016-01-17,69,False
2016-01-24,66,False
2016-01-31,64,False
2016-02-07,57,False
2016-02-14,55,False
2016-02-21,54,False
2016-02-28,55,False
2016-03-06,50,False
2016-03-13,48,False
2016-03-20,48,False
2016-03-27,50,False
2016-04-03,48,False
2016-04-10,50,False
2016-04-17,50,False
2016-04-24,48,False
2016-05-01,47,False
2016-05-08,47,False
2016-05-15,49,False
2016-05-22,46,False
2016-05-29,49,False
2016-06-05,50,False
2016-06-12,52,False
2016-06-19,52,False
2016-06-26,54,False
2016-07-03,51,False
2016-07-10,57,False
2016-07-17,58,False
2016-07-24,54,False
2016-07-31,59,False
2016-08-07,55,False
2016-08-14,54,False
2016-08-21,50,False
2016-08-28,45,False
2016-09-04,46,False
2016-09-11,46,False
2016-09-18,45,False
2016-09-25,44,False
2016-10-02,42,False
2016-10-09,47,False
2016-10-16,48,False
2016-10-23,44,False
2016-10-30,47,False
2016-11-06,45,False
2016-11-13,52,False
2016-11-20,38,False
2016-11-27,58,False
2016-12-04,56,False
2016-12-11,55,False
2016-12-18,58,False
2016-12-25,63,False
2017-01-01,80,False
2017-01-08,77,False
2017-01-15,73,False
2017-01-22,70,False
2017-01-29,60,False
2017-02-05,54,False
2017-02-12,50,False
2017-02-19,46,False
2017-02-26,42,False
2017-03-05,44,False
2017-03-12,43,False
2017-03-19,42,False
2017-03-26,41,False
2017-04-02,44,False
2017-04-09,43,False
2017-04-16,44,False
2017-04-23,48,False
2017-04-30,46,False
2017-05-07,48,False
2017-05-14,48,False
2017-05-21,49,False
2017-05-28,52,False
2017-06-04,56,False
2017-06-11,57,False
2017-06-18,56,False
2017-06-25,52,False
2017-07-02,53,False
2017-07-09,57,False
2017-07-16,50,False
2017-07-23,51,False
2017-07-30,48,False
2017-08-06,47,False
2017-08-13,46,False
2017-08-20,43,False
2017-08-27,46,False
2017-09-03,41,False
2017-09-10,45,False
2017-09-17,45,False
2017-09-24,44,False
2017-10-01,44,False
2017-10-08,47,False
2017-10-15,46,False
2017-10-22,47,False
2017-10-29,47,False
2017-11-05,52,False
2017-11-12,54,False
2017-11-19,41,False
2017-11-26,54,False
2017-12-03,48,False
2017-12-10,51,False
2017-12-17,49,False
2017-12-24,49,False
2017-12-31,65,False
2018-01-07,69,False
2018-01-14,66,False
2018-01-21,63,False
2018-01-28,56,False
2018-02-04,53,False
2018-02-11,46,False
2018-02-18,47,False
2018-02-25,47,False
2018-03-04,45,False
2018-03-11,47,False
2018-03-18,45,False
2018-03-25,45,False
2018-04-01,48,False
2018-04-08,46,False
2018-04-15,42,False
2018-04-22,39,False
2018-04-29,38,False
2018-05-06,40,False
2018-05-13,42,False
2018-05-20,40,False
2018-05-27,39,False
2018-06-03,41,False
2018-06-10,45,False
2018-06-17,44,False
2018-06-24,50,False
2018-07-01,46,False
2018-07-08,58,False
2018-07-15,53,False
2018-07-22,55,False
2018-07-29,56,False
2018-08-05,49,False
2018-08-12,48,False
2018-08-19,39,False
2018-08-26,39,False
2018-09-02,37,False
2018-09-09,38,False
2018-09-16,36,False
2018-09-23,38,False
2018-09-30,40,False
2018-10-07,40,False
2018-10-14,39,False
2018-10-21,39,False
2018-10-28,42,False
2018-11-04,44,False
2018-11-11,54,False
2018-11-18,39,False
2018-11-25,59,False
2018-12-02,52,False
2018-12-09,46,False
2018-12-16,50,False
2018-12-23,48,False
2018-12-30,58,False
