date,unemployment number,isPartial
2014-01-05,100,False
2014-01-12,83,False
2014-01-19,79,False
2014-01-26,82,False
2014-02-02,79,False
2014-02-09,59,False
2014-02-16,62,False
2014-02-23,61,False
2014-03-02,52,False
2014-03-09,54,False
2014-03-16,52,False
2014-03-23,49,False
2014-03-30,50,False
2014-04-06,60,False
2014-04-13,54,False
2014-04-20,53,False
2014-04-27,49,False
2014-05-04,48,False
2014-05-11,53,False
2014-05-18,50,False
2014-05-25,47,False
2014-06-01,49,False
2014-06-08,46,False
2014-06-15,51,False
2014-06-22,52,False
2014-06-29,48,False
2014-07-06,59,False
2014-07-13,49,False
2014-07-20,54,False
2014-07-27,52,False
2014-08-03,50,False
2014-08-10,45,False
2014-08-17,42,False
2014-08-24,45,False
2014-08-31,42,False
2014-09-07,46,False
2014-09-14,36,False
2014-09-21,41,False
2014-09-28,46,False
2014-10-05,47,False
2014-10-12,46,False
2014-10-19,43,False
2014-10-26,42,False
2014-11-02,51,False
2014-11-09,54,False
2014-11-16,52,False
2014-11-23,41,False
2014-11-30,60,False
2014-12-07,52,False
2014-12-14,52,False
2014-12-21,47,False
2014-12-28,58,False
2015-01-04,76,False
2015-01-11,65,False
2015-01-18,61,False
2015-01-25,65,False
2015-02-01,64,False
2015-02-08,55,False
2015-02-15,56,False
2015-02-22,57,False
2015-03-01,53,False
2015-03-08,50,False
2015-03-15,44,False
2015-03-22,50,False
2015-03-29,47,False
2015-04-05,57,False
2015-04-12,52,False
2015-04-19,51,False
2015-04-26,44,False
2015-05-03,48,False
2015-05-10,44,False
2015-05-17,50,False
2015-05-24,49,False
2015-05-31,52,False
2015-06-07,50,False
2015-06-14,53,False
2015-06-21,59,False
2015-06-28,55,False
2015-07-05,62,False
2015-07-12,63,False
2015-07-19,55,False
2015-07-26,59,False
2015-08-02,54,False
2015-08-09,56,False
2015-08-16,52,False
2015-08-23,51,False
2015-08-30,54,False
2015-09-06,49,False
2015-09-13,54,False
2015-09-20,51,False
2015-09-27,47,False
2015-10-04,49,False
2015-10-11,50,False
