date,nys unemployment,isPartial
2014-01-05,100,False
2014-01-12,56,False
2014-01-19,61,False
2014-01-26,53,False
2014-02-02,50,False
2014-02-09,42,False
2014-02-16,42,False
2014-02-23,39,False
2014-03-02,38,False
2014-03-09,42,False
2014-03-16,35,False
2014-03-23,37,False
2014-03-30,33,False
2014-04-06,36,False
2014-04-13,34,False
2014-04-20,40,False
2014-04-27,30,False
2014-05-04,29,False
2014-05-11,28,False
2014-05-18,27,False
2014-05-25,27,False
2014-06-01,26,False
2014-06-08,20,False
2014-06-15,25,False
2014-06-22,25,False
2014-06-29,24,False
2014-07-06,32,False
2014-07-13,27,False
2014-07-20,41,False
2014-07-27,25,False
2014-08-03,28,False
2014-08-10,22,False
2014-08-17,23,False
2014-08-24,23,False
2014-08-31,23,False
2014-09-07,19,False
2014-09-14,17,False
2014-09-21,18,False
2014-09-28,18,False
2014-10-05,20,False
2014-10-12,22,False
2014-10-19,23,False
2014-10-26,22,False
2014-11-02,19,False
2014-11-09,24,False
2014-11-16,27,False
2014-11-23,26,False
2014-11-30,27,False
2014-12-07,26,False
2014-12-14,26,False
2014-12-21,29,False
2014-12-28,33,False
2015-01-04,34,False
2015-01-11,33,False
2015-01-18,36,False
2015-01-25,36,False
2015-02-01,28,False
2015-02-08,29,False
2015-02-15,32,False
2015-02-22,27,False
2015-03-01,28,False
2015-03-08,24,False
2015-03-15,28,False
2015-03-22,28,False
2015-03-29,26,False
2015-04-05,27,False
2015-04-12,25,False
2015-04-19,25,False
2015-04-26,23,False
2015-05-03,21,False
2015-05-10,21,False
2015-05-17,22,False
2015-05-24,23,False
2015-05-31,22,False
2015-06-07,21,False
2015-06-14,21,False
2015-06-21,23,False
2015-06-28,29,False
2015-07-05,27,False
2015-07-12,27,False
2015-07-19,25,False
2015-07-26,29,False
2015-08-02,23,False
2015-08-09,23,False
2015-08-16,25,False
2015-08-23,25,False
2015-08-30,22,False
2015-09-06,23,False
2015-09-13,21,False
2015-09-20,23,False
2015-09-27,21,False
2015-10-04,19,False
2015-10-11,21,False
2015-10-18,21,False
2015-10-25,22,False
2015-11-01,22,False
2015-11-08,21,False
2015-11-15,21,False
2015-11-22,22,False
2015-11-29,25,False
2015-12-06,23,False
2015-12-13,21,False
2015-12-20,25,False
2015-12-27,27,False
2016-01-03,31,False
2016-01-10,65,False
2016-01-17,31,False
2016-01-24,33,False
2016-01-31,33,False
2016-02-07,28,False
2016-02-14,28,False
2016-02-21,25,False
2016-02-28,27,False
2016-03-06,22,False
2016-03-13,21,False
2016-03-20,20,False
2016-03-27,22,False
2016-04-03,25,False
2016-04-10,27,False
2016-04-17,19,False
2016-04-24,21,False
2016-05-01,24,False
2016-05-08,17,False
2016-05-15,17,False
2016-05-22,18,False
2016-05-29,16,False
2016-06-05,17,False
2016-06-12,16,False
