date,texas unemployment,isPartial
2014-01-05,100,False
2014-01-12,91,False
2014-01-19,84,False
2014-01-26,87,False
2014-02-02,73,False
2014-02-09,61,False
2014-02-16,61,False
2014-02-23,61,False
2014-03-02,61,False
2014-03-09,63,False
2014-03-16,59,False
2014-03-23,59,False
2014-03-30,64,False
2014-04-06,60,False
2014-04-13,56,False
2014-04-20,54,False
2014-04-27,56,False
2014-05-04,53,False
2014-05-11,60,False
2014-05-18,56,False
2014-05-25,51,False
2014-06-01,51,False
2014-06-08,50,False
2014-06-15,55,False
2014-06-22,65,False
2014-06-29,53,False
2014-07-06,57,False
2014-07-13,58,False
2014-07-20,52,False
2014-07-27,61,False
2014-08-03,55,False
2014-08-10,57,False
2014-08-17,52,False
2014-08-24,53,False
2014-08-31,53,False
2014-09-07,52,False
2014-09-14,50,False
2014-09-21,47,False
2014-09-28,47,False
2014-10-05,47,False
2014-10-12,44,False
2014-10-19,47,False
2014-10-26,41,False
2014-11-02,46,False
2014-11-09,45,False
2014-11-16,47,False
2014-11-23,38,False
2014-11-30,48,False
2014-12-07,46,False
2014-12-14,48,False
2014-12-21,40,False
2014-12-28,48,False
2015-01-04,69,False
2015-01-11,58,False
2015-01-18,58,False
2015-01-25,65,False
2015-02-01,57,False
2015-02-08,55,False
2015-02-15,56,False
2015-02-22,52,False
2015-03-01,54,False
2015-03-08,51,False
2015-03-15,51,False
2015-03-22,48,False
2015-03-29,56,False
2015-04-05,61,False
2015-04-12,61,False
2015-04-19,50,False
2015-04-26,54,False
2015-05-03,54,False
2015-05-10,60,False
2015-05-17,55,False
2015-05-24,54,False
2015-05-31,62,False
2015-06-07,62,False
2015-06-14,63,False
2015-06-21,61,False
2015-06-28,59,False
2015-07-05,63,False
2015-07-12,63,False
2015-07-19,66,False
2015-07-26,68,False
2015-08-02,65,False
2015-08-09,61,False
2015-08-16,60,False
2015-08-23,65,False
2015-08-30,62,False
2015-09-06,58,False
2015-09-13,57,False
2015-09-20,54,False
2015-09-27,63,False
2015-10-04,60,False
2015-10-11,59,False
2015-10-18,62,False
2015-10-25,53,False
2015-11-01,57,False
2015-11-08,56,False
2015-11-15,71,False
2015-11-22,47,False
2015-11-29,60,False
2015-12-06,54,False
2015-12-13,54,False
2015-12-20,42,False
2015-12-27,53,False
2016-01-03,66,False
2016-01-10,64,False
2016-01-17,66,False
2016-01-24,70,False
2016-01-31,67,False
2016-02-07,56,False
2016-02-14,64,False
2016-02-21,60,False
2016-02-28,57,False
2016-03-06,57,False
2016-03-13,54,False
2016-03-20,57,False
2016-03-27,56,False
2016-04-03,56,False
2016-04-10,59,False
2016-04-17,64,False
2016-04-24,57,False
2016-05-01,54,False
2016-05-08,57,False
2016-05-15,59,False
2016-05-22,59,False
2016-05-29,63,False
2016-06-05,59,False
2016-06-12,63,False
2016-06-19,60,False
2016-06-26,67,False
2016-07-03,62,False
2016-07-10,67,False
2016-07-17,62,False
2016-07-24,65,False
2016-07-31,62,False
2016-08-07,64,False
2016-08-14,61,False
2016-08-21,64,False
2016-08-28,57,False
2016-09-04,59,False
2016-09-11,54,False
2016-09-18,58,False
2016-09-25,58,False
2016-10-02,58,False
2016-10-09,57,False
2016-10-16,54,False
2016-10-23,52,False
2016-10-30,57,False
2016-11-06,50,False
2016-11-13,60,False
2016-11-20,45,False
2016-11-27,61,False
2016-12-04,54,False
2016-12-11,57,False
2016-12-18,51,False
2016-12-25,57,False
2017-01-01,68,False
2017-01-08,57,False
2017-01-15,61,False
2017-01-22,59,False
2017-01-29,55,False
2017-02-05,51,False
2017-02-12,51,False
2017-02-19,51,False
2017-02-26,45,False
2017-03-05,54,False
2017-03-12,43,False
2017-03-19,47,False
2017-03-26,41,False
2017-04-02,46,False
2017-04-09,52,False
2017-04-16,48,False
2017-04-23,49,False
2017-04-30,55,False
2017-05-07,49,False
2017-05-14,49,False
2017-05-21,49,False
2017-05-28,54,False
2017-06-04,55,False
2017-06-11,57,False
2017-06-18,60,False
2017-06-25,58,False
2017-07-02,52,False
2017-07-09,56,False
2017-07-16,60,False
2017-07-23,51,False
2017-07-30,55,False
2017-08-06,54,False
2017-08-13,53,False
2017-08-20,51,False
2017-08-27,95,False
2017-09-03,88,False
2017-09-10,77,False
2017-09-17,65,False
2017-09-24,63,False
2017-10-01,51,False
2017-10-08,55,False
2017-10-15,55,False
2017-10-22,44,False
2017-10-29,50,False
2017-11-05,46,False
2017-11-12,48,False
2017-11-19,42,False
2017-11-26,47,False
2017-12-03,47,False
2017-12-10,47,False
2017-12-17,45,False
2017-12-24,47,False
2017-12-31,55,False
2018-01-07,56,False
2018-01-14,53,False
2018-01-21,49,False
2018-01-28,50,False
2018-02-04,45,False
2018-02-11,47,False
2018-02-18,43,False
2018-02-25,39,False
2018-03-04,42,False
2018-03-11,41,False
2018-03-18,44,False
2018-03-25,37,False
2018-04-01,43,False
2018-04-08,40,False
2018-04-15,40,False
2018-04-22,40,False
2018-04-29,39,False
2018-05-06,34,False
2018-05-13,38,False
2018-05-20,40,False
2018-05-27,43,False
2018-06-03,42,False
2018-06-10,44,False
2018-06-17,42,False
2018-06-24,45,False
2018-07-01,40,False
2018-07-08,45,False
2018-07-15,44,False
2018-07-22,48,False
2018-07-29,42,False
2018-08-05,46,False
2018-08-12,43,False
2018-08-19,41,False
2018-08-26,36,False
2018-09-02,37,False
2018-09-09,43,False
2018-09-16,45,False
2018-09-23,39,False
2018-09-30,45,False
2018-10-07,45,False
2018-10-14,40,False
2018-10-21,40,False
2018-10-28,40,False
2018-11-04,39,False
2018-11-11,40,False
2018-11-18,32,False
2018-11-25,47,False
2018-12-02,41,False
2018-12-09,45,False
2018-12-16,48,False
2018-12-23,44,False
2018-12-30,51,False
