date,indiana unemployment,isPartial
2014-01-05,100,False
2014-01-12,91,False
2014-01-19,99,False
2014-01-26,84,False
2014-02-02,76,False
2014-02-09,66,False
2014-02-16,63,False
2014-02-23,60,False
2014-03-02,62,False
2014-03-09,63,False
2014-03-16,62,False
2014-03-23,56,False
2014-03-30,50,False
2014-04-06,51,False
2014-04-13,55,False
2014-04-20,56,False
2014-04-27,49,False
2014-05-04,48,False
2014-05-11,55,False
2014-05-18,49,False
2014-05-25,49,False
2014-06-01,44,False
2014-06-08,42,False
2014-06-15,45,False
2014-06-22,46,False
2014-06-29,46,False
2014-07-06,52,False
2014-07-13,49,False
2014-07-20,43,False
2014-07-27,49,False
2014-08-03,44,False
2014-08-10,41,False
2014-08-17,45,False
2014-08-24,40,False
2014-08-31,37,False
2014-09-07,39,False
2014-09-14,39,False
2014-09-21,36,False
2014-09-28,39,False
2014-10-05,39,False
2014-10-12,43,False
2014-10-19,38,False
2014-10-26,38,False
2014-11-02,45,False
2014-11-09,45,False
2014-11-16,45,False
2014-11-23,39,False
2014-11-30,41,False
2014-12-07,46,False
2014-12-14,46,False
2014-12-21,49,False
2014-12-28,62,False
2015-01-04,64,False
2015-01-11,63,False
2015-01-18,63,False
2015-01-25,66,False
2015-02-01,55,False
2015-02-08,52,False
2015-02-15,46,False
2015-02-22,46,False
2015-03-01,53,False
2015-03-08,41,False
2015-03-15,46,False
2015-03-22,46,False
2015-03-29,46,False
2015-04-05,39,False
2015-04-12,45,False
2015-04-19,42,False
2015-04-26,40,False
2015-05-03,36,False
2015-05-10,34,False
2015-05-17,33,False
2015-05-24,40,False
2015-05-31,39,False
2015-06-07,36,False
2015-06-14,33,False
2015-06-21,35,False
2015-06-28,38,False
2015-07-05,37,False
2015-07-12,41,False
2015-07-19,38,False
2015-07-26,43,False
2015-08-02,44,False
2015-08-09,42,False
2015-08-16,40,False
2015-08-23,40,False
2015-08-30,37,False
2015-09-06,30,False
2015-09-13,32,False
2015-09-20,30,False
2015-09-27,29,False
2015-10-04,32,False
2015-10-11,38,False
2015-10-18,33,False
2015-10-25,33,False
2015-11-01,33,False
2015-11-08,31,False
2015-11-15,32,False
2015-11-22,32,False
2015-11-29,39,False
2015-12-06,37,False
2015-12-13,34,False
2015-12-20,40,False
2015-12-27,46,False
2016-01-03,57,False
2016-01-10,57,False
2016-01-17,63,False
2016-01-24,61,False
2016-01-31,56,False
2016-02-07,55,False
2016-02-14,42,False
2016-02-21,41,False
2016-02-28,36,False
2016-03-06,40,False
2016-03-13,37,False
2016-03-20,37,False
2016-03-27,39,False
2016-04-03,34,False
2016-04-10,39,False
2016-04-17,33,False
2016-04-24,35,False
2016-05-01,32,False
2016-05-08,28,False
2016-05-15,32,False
2016-05-22,33,False
2016-05-29,30,False
2016-06-05,30,False
2016-06-12,28,False
2016-06-19,37,False
2016-06-26,34,False
2016-07-03,28,False
2016-07-10,36,False
2016-07-17,42,False
2016-07-24,30,False
2016-07-31,33,False
2016-08-07,34,False
2016-08-14,29,False
2016-08-21,30,False
2016-08-28,28,False
2016-09-04,26,False
2016-09-11,24,False
2016-09-18,26,False
2016-09-25,26,False
2016-10-02,26,False
2016-10-09,27,False
2016-10-16,28,False
2016-10-23,27,False
2016-10-30,27,False
2016-11-06,23,False
2016-11-13,28,False
2016-11-20,24,False
2016-11-27,34,False
2016-12-04,34,False
2016-12-11,35,False
2016-12-18,42,False
2016-12-25,37,False
2017-01-01,44,False
2017-01-08,48,False
2017-01-15,49,False
2017-01-22,52,False
2017-01-29,52,False
2017-02-05,51,False
2017-02-12,34,False
2017-02-19,32,False
2017-02-26,29,False
2017-03-05,36,False
2017-03-12,29,False
2017-03-19,29,False
2017-03-26,28,False
2017-04-02,33,False
2017-04-09,28,False
2017-04-16,29,False
2017-04-23,32,False
2017-04-30,25,False
2017-05-07,27,False
2017-05-14,26,False
2017-05-21,22,False
2017-05-28,26,False
2017-06-04,31,False
2017-06-11,35,False
2017-06-18,35,False
2017-06-25,25,False
2017-07-02,26,False
2017-07-09,31,False
2017-07-16,25,False
2017-07-23,29,False
2017-07-30,31,False
2017-08-06,29,False
2017-08-13,25,False
2017-08-20,25,False
2017-08-27,33,False
2017-09-03,24,False
2017-09-10,26,False
2017-09-17,24,False
2017-09-24,28,False
2017-10-01,26,False
2017-10-08,23,False
2017-10-15,23,False
2017-10-22,31,False
2017-10-29,28,False
2017-11-05,27,False
2017-11-12,27,False
2017-11-19,22,False
2017-11-26,33,False
2017-12-03,36,False
2017-12-10,38,False
2017-12-17,38,False
2017-12-24,38,False
2017-12-31,48,False
2018-01-07,48,False
2018-01-14,49,False
2018-01-21,45,False
2018-01-28,44,False
2018-02-04,38,False
2018-02-11,36,False
2018-02-18,35,False
2018-02-25,34,False
2018-03-04,31,False
2018-03-11,25,False
2018-03-18,29,False
2018-03-25,26,False
2018-04-01,33,False
2018-04-08,26,False
2018-04-15,24,False
2018-04-22,23,False
2018-04-29,23,False
2018-05-06,22,False
2018-05-13,20,False
2018-05-20,22,False
2018-05-27,21,False
2018-06-03,23,False
2018-06-10,25,False
2018-06-17,24,False
2018-06-24,25,False
2018-07-01,27,False
2018-07-08,27,False
2018-07-15,26,False
2018-07-22,24,False
2018-07-29,22,False
2018-08-05,23,False
2018-08-12,25,False
2018-08-19,26,False
2018-08-26,22,False
2018-09-02,22,False
2018-09-09,21,False
2018-09-16,22,False
2018-09-23,24,False
2018-09-30,20,False
2018-10-07,22,False
2018-10-14,22,False
2018-10-21,24,False
2018-10-28,27,False
2018-11-04,29,False
2018-11-11,25,False
2018-11-18,22,False
2018-11-25,30,False
2018-12-02,29,False
2018-12-09,33,False
2018-12-16,33,False
2018-12-23,28,False
2018-12-30,39,False
