date,unemployment login
2010-01-03,65
2010-01-10,60
2010-01-17,73
2010-01-24,65
2010-01-31,59
2010-02-07,58
2010-02-14,60
2010-02-21,60
2010-02-28,65
2010-03-07,60
2010-03-14,58
2010-03-21,56
2010-03-28,67
2010-04-04,60
2010-04-11,74
2010-04-18,59
2010-04-25,47
2010-05-02,54
2010-05-09,51
2010-05-16,39
2010-05-23,42
2010-05-30,44
2010-06-06,40
2010-06-13,46
2010-06-20,53
2010-06-27,47
2010-07-04,46
2010-07-11,51
2010-07-18,49
2010-07-25,46
2010-08-01,41
2010-08-08,37
2010-08-15,33
2010-08-22,37
2010-08-29,33
2010-09-05,37
2010-09-12,35
2010-09-19,39
2010-09-26,37
2010-10-03,31
2010-10-10,32
2010-10-17,35
2010-10-24,33
2010-10-31,43
2010-11-07,44
2010-11-14,46
2010-11-21,32
2010-11-28,46
2010-12-05,47
2010-12-12,40
2010-12-19,51
2010-12-26,51
2011-01-02,68
2011-01-09,60
2011-01-16,64
2011-01-23,66
2011-01-30,55
2011-02-06,54
2011-02-13,53
2011-02-20,41
2011-02-27,41
2011-03-06,33
2011-03-13,34
2011-03-20,39
2011-03-27,37
2011-04-03,38
2011-04-10,38
2011-04-17,40
2011-04-24,35
2011-05-01,34
2011-05-08,42
2011-05-15,42
2011-05-22,40
2011-05-29,48
2011-06-05,42
2011-06-12,44
2011-06-19,52
2011-06-26,48
2011-07-03,60
2011-07-10,62
2011-07-17,57
2011-07-24,58
2011-07-31,61
2011-08-07,52
2011-08-14,57
2011-08-21,51
2011-08-28,60
2011-09-04,65
2011-09-11,59
2011-09-18,48
2011-09-25,56
2011-10-02,54
2011-10-09,51
2011-10-16,46
2011-10-23,34
2011-10-30,33
2011-11-06,29
2011-11-13,30
2011-11-20,32
2011-11-27,30
2011-12-04,34
2011-12-11,35
2011-12-18,38
2011-12-25,44
2012-01-01,38
2012-01-08,39
2012-01-15,56
2012-01-22,55
2012-01-29,56
2012-02-05,52
2012-02-12,51
2012-02-19,53
2012-02-26,50
2012-03-04,52
2012-03-11,43
2012-03-18,47
2012-03-25,46
2012-04-01,50
2012-04-08,40
2012-04-15,41
2012-04-22,38
2012-04-29,31
2012-05-06,33
2012-05-13,32
2012-05-20,51
2012-05-27,46
2012-06-03,42
2012-06-10,48
2012-06-17,42
2012-06-24,43
2012-07-01,48
2012-07-08,47
2012-07-15,46
2012-07-22,52
2012-07-29,41
2012-08-05,38
2012-08-12,39
2012-08-19,40
2012-08-26,35
2012-09-02,38
2012-09-09,38
2012-09-16,30
2012-09-23,32
2012-09-30,41
2012-10-07,50
2012-10-14,51
2012-10-21,48
2012-10-28,48
2012-11-04,51
2012-11-11,64
2012-11-18,50
2012-11-25,51
2012-12-02,53
2012-12-09,50
2012-12-16,61
2012-12-23,51
2012-12-30,63
2013-01-06,57
2013-01-13,50
2013-01-20,54
2013-01-27,57
2013-02-03,58
2013-02-10,54
2013-02-17,58
2013-02-24,57
2013-03-03,51
2013-03-10,55
2013-03-17,51
2013-03-24,47
2013-03-31,52
2013-04-07,54
2013-04-14,52
2013-04-21,46
2013-04-28,44
2013-05-05,44
2013-05-12,46
2013-05-19,38
2013-05-26,48
2013-06-02,43
2013-06-09,51
2013-06-16,45
2013-06-23,49
2013-06-30,65
2013-07-07,58
2013-07-14,56
2013-07-21,62
2013-07-28,54
2013-08-04,46
2013-08-11,46
2013-08-18,42
2013-08-25,45
2013-09-01,39
2013-09-08,38
2013-09-15,38
2013-09-22,37
2013-09-29,41
2013-10-06,39
2013-10-13,47
2013-10-20,46
2013-10-27,46
2013-11-03,43
2013-11-10,48
2013-11-17,42
2013-11-24,41
2013-12-01,54
2013-12-08,59
2013-12-15,68
2013-12-22,71
2013-12-29,88
2014-01-05,100
2014-01-12,85
2014-01-19,89
2014-01-26,78
2014-02-02,67
2014-02-09,53
2014-02-16,51
2014-02-23,48
2014-03-02,47
2014-03-09,50
2014-03-16,47
2014-03-23,46
2014-03-30,41
2014-04-06,46
2014-04-13,40
2014-04-20,36
2014-04-27,41
2014-05-04,42
2014-05-11,38
2014-05-18,38
2014-05-25,33
2014-06-01,33
2014-06-08,31
2014-06-15,33
2014-06-22,28
2014-06-29,33
2014-07-06,32
2014-07-13,36
2014-07-20,36
2014-07-27,30
2014-08-03,38
2014-08-10,30
2014-08-17,30
2014-08-24,30
2014-08-31,31
2014-09-07,29
2014-09-14,32
2014-09-21,30
2014-09-28,32
2014-10-05,28
2014-10-12,34
2014-10-19,30
2014-10-26,28
2014-11-02,30
2014-11-09,29
2014-11-16,29
2014-11-23,25
2014-11-30,31
2014-12-07,30
2014-12-14,31
2014-12-21,33
2014-12-28,39
