date,ohio unemployment
2010-01-03,76
2010-01-10,82
2010-01-17,91
2010-01-24,96
2010-01-31,78
2010-02-07,68
2010-02-14,78
2010-02-21,67
2010-02-28,68
2010-03-07,61
2010-03-14,62
2010-03-21,60
2010-03-28,60
2010-04-04,64
2010-04-11,69
2010-04-18,66
2010-04-25,57
2010-05-02,54
2010-05-09,55
2010-05-16,64
2010-05-23,50
2010-05-30,47
2010-06-06,53
2010-06-13,57
2010-06-20,62
2010-06-27,64
2010-07-04,54
2010-07-11,55
2010-07-18,80
2010-07-25,79
2010-08-01,62
2010-08-08,64
2010-08-15,50
2010-08-22,43
2010-08-29,43
2010-09-05,46
2010-09-12,67
2010-09-19,42
2010-09-26,43
2010-10-03,40
2010-10-10,46
2010-10-17,41
2010-10-24,39
2010-10-31,42
2010-11-07,54
2010-11-14,43
2010-11-21,40
2010-11-28,51
2010-12-05,59
2010-12-12,59
2010-12-19,58
2010-12-26,55
2011-01-02,69
2011-01-09,71
2011-01-16,78
2011-01-23,100
2011-01-30,68
2011-02-06,59
2011-02-13,68
2011-02-20,57
2011-02-27,53
2011-03-06,49
2011-03-13,50
2011-03-20,49
2011-03-27,56
2011-04-03,55
2011-04-10,54
2011-04-17,50
2011-04-24,50
2011-05-01,49
2011-05-08,60
2011-05-15,50
2011-05-22,48
2011-05-29,54
2011-06-05,51
2011-06-12,52
2011-06-19,51
2011-06-26,51
2011-07-03,61
2011-07-10,54
2011-07-17,52
2011-07-24,50
2011-07-31,50
2011-08-07,48
2011-08-14,49
2011-08-21,46
2011-08-28,48
2011-09-04,46
2011-09-11,46
2011-09-18,45
2011-09-25,40
2011-10-02,44
2011-10-09,45
2011-10-16,45
2011-10-23,39
2011-10-30,43
2011-11-06,47
2011-11-13,42
2011-11-20,42
2011-11-27,45
2011-12-04,47
2011-12-11,51
2011-12-18,57
2011-12-25,65
2012-01-01,68
2012-01-08,62
2012-01-15,70
2012-01-22,68
2012-01-29,60
2012-02-05,51
2012-02-12,49
2012-02-19,50
2012-02-26,49
2012-03-04,44
2012-03-11,44
2012-03-18,52
2012-03-25,44
2012-04-01,41
2012-04-08,50
2012-04-15,45
2012-04-22,41
2012-04-29,43
2012-05-06,37
2012-05-13,36
2012-05-20,44
2012-05-27,39
2012-06-03,37
2012-06-10,39
2012-06-17,35
2012-06-24,34
2012-07-01,33
2012-07-08,30
2012-07-15,34
2012-07-22,35
2012-07-29,34
2012-08-05,32
2012-08-12,32
2012-08-19,35
2012-08-26,34
2012-09-02,35
2012-09-09,40
2012-09-16,30
2012-09-23,32
2012-09-30,33
2012-10-07,32
2012-10-14,36
2012-10-21,31
2012-10-28,30
2012-11-04,31
2012-11-11,36
2012-11-18,31
2012-11-25,29
2012-12-02,35
2012-12-09,39
2012-12-16,52
2012-12-23,44
2012-12-30,55
2013-01-06,59
2013-01-13,46
2013-01-20,47
2013-01-27,41
2013-02-03,39
2013-02-10,35
2013-02-17,33
2013-02-24,32
2013-03-03,32
2013-03-10,33
2013-03-17,34
2013-03-24,31
2013-03-31,35
2013-04-07,32
2013-04-14,33
2013-04-21,32
2013-04-28,30
2013-05-05,32
2013-05-12,33
2013-05-19,31
2013-05-26,31
2013-06-02,30
2013-06-09,36
2013-06-16,32
2013-06-23,29
2013-06-30,30
2013-07-07,30
2013-07-14,29
2013-07-21,28
2013-07-28,29
2013-08-04,28
2013-08-11,26
2013-08-18,29
2013-08-25,29
2013-09-01,28
2013-09-08,28
2013-09-15,25
2013-09-22,28
2013-09-29,35
2013-10-06,27
2013-10-13,31
2013-10-20,27
2013-10-27,27
2013-11-03,26
2013-11-10,29
2013-11-17,26
2013-11-24,26
2013-12-01,28
2013-12-08,31
2013-12-15,32
2013-12-22,37
2013-12-29,38
2014-01-05,48
2014-01-12,44
2014-01-19,40
2014-01-26,38
2014-02-02,35
2014-02-09,31
2014-02-16,30
2014-02-23,28
2014-03-02,26
2014-03-09,30
2014-03-16,27
2014-03-23,24
2014-03-30,22
2014-04-06,24
2014-04-13,22
2014-04-20,21
2014-04-27,20
2014-05-04,19
2014-05-11,21
2014-05-18,18
2014-05-25,19
2014-06-01,21
2014-06-08,22
2014-06-15,21
2014-06-22,19
2014-06-29,20
2014-07-06,22
2014-07-13,25
2014-07-20,22
2014-07-27,21
2014-08-03,20
2014-08-10,20
2014-08-17,18
2014-08-24,16
2014-08-31,16
2014-09-07,15
2014-09-14,17
2014-09-21,14
2014-09-28,16
2014-10-05,17
2014-10-12,17
2014-10-19,19
2014-10-26,19
2014-11-02,19
2014-11-09,19
2014-11-16,22
2014-11-23,20
2014-11-30,22
2014-12-07,21
2014-12-14,24
2014-12-21,24
2014-12-28,30
