date,pa unemployment
2010-01-03,97
2010-01-10,81
2010-01-17,80
2010-01-24,65
2010-01-31,59
2010-02-07,49
2010-02-14,62
2010-02-21,51
2010-02-28,61
2010-03-07,52
2010-03-14,55
2010-03-21,53
2010-03-28,55
2010-04-04,53
2010-04-11,64
2010-04-18,52
2010-04-25,51
2010-05-02,47
2010-05-09,50
2010-05-16,46
2010-05-23,48
2010-05-30,52
2010-06-06,53
2010-06-13,61
2010-06-20,65
2010-06-27,73
2010-07-04,64
2010-07-11,65
2010-07-18,100
2010-07-25,69
2010-08-01,57
2010-08-08,61
2010-08-15,55
2010-08-22,52
2010-08-29,54
2010-09-05,55
2010-09-12,46
2010-09-19,48
2010-09-26,45
2010-10-03,48
2010-10-10,48
2010-10-17,47
2010-10-24,46
2010-10-31,45
2010-11-07,44
2010-11-14,46
2010-11-21,43
2010-11-28,55
2010-12-05,55
2010-12-12,55
2010-12-19,56
2010-12-26,60
2011-01-02,84
2011-01-09,75
2011-01-16,80
2011-01-23,71
2011-01-30,70
2011-02-06,66
2011-02-13,57
2011-02-20,54
2011-02-27,60
2011-03-06,58
2011-03-13,51
2011-03-20,58
2011-03-27,56
2011-04-03,56
2011-04-10,62
2011-04-17,55
2011-04-24,57
2011-05-01,52
2011-05-08,56
2011-05-15,56
2011-05-22,55
2011-05-29,61
2011-06-05,55
2011-06-12,66
2011-06-19,63
2011-06-26,63
2011-07-03,66
2011-07-10,61
2011-07-17,63
2011-07-24,60
2011-07-31,61
2011-08-07,56
2011-08-14,59
2011-08-21,56
2011-08-28,57
2011-09-04,57
2011-09-11,61
2011-09-18,59
2011-09-25,53
2011-10-02,53
2011-10-09,55
2011-10-16,56
2011-10-23,58
2011-10-30,56
2011-11-06,54
2011-11-13,56
2011-11-20,57
2011-11-27,68
2011-12-04,64
2011-12-11,64
2011-12-18,72
2011-12-25,76
2012-01-01,92
2012-01-08,89
2012-01-15,84
2012-01-22,77
2012-01-29,72
2012-02-05,65
2012-02-12,66
2012-02-19,62
2012-02-26,61
2012-03-04,56
2012-03-11,59
2012-03-18,54
2012-03-25,55
2012-04-01,57
2012-04-08,58
2012-04-15,56
2012-04-22,55
2012-04-29,53
2012-05-06,54
2012-05-13,53
2012-05-20,50
2012-05-27,56
2012-06-03,57
2012-06-10,56
2012-06-17,54
2012-06-24,59
2012-07-01,60
2012-07-08,61
2012-07-15,62
2012-07-22,57
2012-07-29,54
2012-08-05,53
2012-08-12,53
2012-08-19,53
2012-08-26,54
2012-09-02,57
2012-09-09,52
2012-09-16,50
2012-09-23,51
2012-09-30,56
2012-10-07,61
2012-10-14,58
2012-10-21,53
2012-10-28,57
2012-11-04,64
2012-11-11,62
2012-11-18,59
2012-11-25,63
2012-12-02,59
2012-12-09,56
2012-12-16,56
2012-12-23,64
2012-12-30,83
2013-01-06,77
2013-01-13,70
2013-01-20,65
2013-01-27,67
2013-02-03,54
2013-02-10,53
2013-02-17,55
2013-02-24,54
2013-03-03,52
2013-03-10,51
2013-03-17,53
2013-03-24,54
2013-03-31,51
2013-04-07,50
2013-04-14,58
2013-04-21,49
2013-04-28,48
2013-05-05,46
2013-05-12,46
2013-05-19,49
2013-05-26,49
2013-06-02,49
2013-06-09,47
2013-06-16,48
2013-06-23,50
2013-06-30,51
2013-07-07,54
2013-07-14,53
2013-07-21,53
2013-07-28,50
2013-08-04,46
2013-08-11,49
2013-08-18,50
2013-08-25,43
2013-09-01,48
2013-09-08,41
2013-09-15,40
2013-09-22,44
2013-09-29,49
2013-10-06,46
2013-10-13,46
2013-10-20,43
2013-10-27,42
2013-11-03,45
2013-11-10,47
2013-11-17,45
2013-11-24,44
2013-12-01,49
2013-12-08,54
2013-12-15,58
2013-12-22,59
2013-12-29,65
2014-01-05,76
2014-01-12,69
2014-01-19,65
2014-01-26,59
2014-02-02,55
2014-02-09,50
2014-02-16,48
2014-02-23,46
2014-03-02,41
2014-03-09,43
2014-03-16,40
2014-03-23,39
2014-03-30,41
2014-04-06,41
2014-04-13,39
2014-04-20,37
2014-04-27,38
2014-05-04,36
2014-05-11,35
2014-05-18,34
2014-05-25,30
2014-06-01,33
2014-06-08,32
2014-06-15,35
2014-06-22,33
2014-06-29,32
2014-07-06,34
2014-07-13,32
2014-07-20,31
2014-07-27,32
2014-08-03,28
2014-08-10,28
2014-08-17,29
2014-08-24,27
2014-08-31,27
2014-09-07,27
2014-09-14,23
2014-09-21,23
2014-09-28,23
2014-10-05,24
2014-10-12,25
2014-10-19,25
2014-10-26,27
2014-11-02,28
2014-11-09,28
2014-11-16,29
2014-11-23,28
2014-11-30,31
2014-12-07,30
2014-12-14,30
2014-12-21,30
2014-12-28,38
