date,ny unemployment
2010-01-03,71
2010-01-10,67
2010-01-17,67
2010-01-24,59
2010-01-31,60
2010-02-07,58
2010-02-14,61
2010-02-21,62
2010-02-28,64
2010-03-07,59
2010-03-14,56
2010-03-21,62
2010-03-28,100
2010-04-04,59
2010-04-11,66
2010-04-18,55
2010-04-25,55
2010-05-02,51
2010-05-09,50
2010-05-16,55
2010-05-23,46
2010-05-30,50
2010-06-06,48
2010-06-13,53
2010-06-20,55
2010-06-27,55
2010-07-04,58
2010-07-11,61
2010-07-18,85
2010-07-25,52
2010-08-01,44
2010-08-08,44
2010-08-15,44
2010-08-22,44
2010-08-29,45
2010-09-05,44
2010-09-12,45
2010-09-19,42
2010-09-26,40
2010-10-03,40
2010-10-10,45
2010-10-17,44
2010-10-24,42
2010-10-31,40
2010-11-07,44
2010-11-14,45
2010-11-21,43
2010-11-28,47
2010-12-05,52
2010-12-12,57
2010-12-19,55
2010-12-26,48
2011-01-02,59
2011-01-09,52
2011-01-16,58
2011-01-23,55
2011-01-30,50
2011-02-06,49
2011-02-13,51
2011-02-20,44
2011-02-27,47
2011-03-06,46
2011-03-13,42
2011-03-20,46
2011-03-27,43
2011-04-03,42
2011-04-10,40
2011-04-17,40
2011-04-24,41
2011-05-01,40
2011-05-08,44
2011-05-15,39
2011-05-22,42
2011-05-29,48
2011-06-05,44
2011-06-12,41
2011-06-19,48
2011-06-26,46
2011-07-03,47
2011-07-10,52
2011-07-17,47
2011-07-24,48
2011-07-31,48
2011-08-07,47
2011-08-14,52
2011-08-21,46
2011-08-28,44
2011-09-04,51
2011-09-11,45
2011-09-18,42
2011-09-25,48
2011-10-02,44
2011-10-09,45
2011-10-16,49
2011-10-23,45
2011-10-30,46
2011-11-06,41
2011-11-13,41
2011-11-20,45
2011-11-27,42
2011-12-04,46
2011-12-11,41
2011-12-18,46
2011-12-25,54
2012-01-01,56
2012-01-08,52
2012-01-15,52
2012-01-22,46
2012-01-29,47
2012-02-05,47
2012-02-12,46
2012-02-19,47
2012-02-26,43
2012-03-04,44
2012-03-11,41
2012-03-18,42
2012-03-25,40
2012-04-01,40
2012-04-08,43
2012-04-15,47
2012-04-22,39
2012-04-29,40
2012-05-06,40
2012-05-13,41
2012-05-20,45
2012-05-27,42
2012-06-03,42
2012-06-10,47
2012-06-17,49
2012-06-24,47
2012-07-01,54
2012-07-08,54
2012-07-15,55
2012-07-22,61
2012-07-29,57
2012-08-05,48
2012-08-12,47
2012-08-19,50
2012-08-26,44
2012-09-02,71
2012-09-09,45
2012-09-16,46
2012-09-23,44
2012-09-30,45
2012-10-07,53
2012-10-14,47
2012-10-21,44
2012-10-28,46
2012-11-04,58
2012-11-11,54
2012-11-18,54
2012-11-25,50
2012-12-02,64
2012-12-09,60
2012-12-16,82
2012-12-23,59
2012-12-30,74
2013-01-06,62
2013-01-13,58
2013-01-20,54
2013-01-27,48
2013-02-03,41
2013-02-10,38
2013-02-17,40
2013-02-24,40
2013-03-03,44
2013-03-10,46
2013-03-17,42
2013-03-24,44
2013-03-31,40
2013-04-07,39
2013-04-14,35
2013-04-21,35
2013-04-28,33
2013-05-05,33
2013-05-12,32
2013-05-19,32
2013-05-26,34
2013-06-02,32
2013-06-09,33
2013-06-16,34
2013-06-23,35
2013-06-30,38
2013-07-07,39
2013-07-14,34
2013-07-21,36
2013-07-28,37
2013-08-04,36
2013-08-11,34
2013-08-18,35
2013-08-25,32
2013-09-01,35
2013-09-08,38
2013-09-15,30
2013-09-22,31
2013-09-29,31
2013-10-06,34
2013-10-13,36
2013-10-20,33
2013-10-27,36
2013-11-03,31
2013-11-10,32
2013-11-17,31
2013-11-24,29
2013-12-01,31
2013-12-08,32
2013-12-15,33
2013-12-22,38
2013-12-29,52
2014-01-05,78
2014-01-12,53
2014-01-19,42
2014-01-26,43
2014-02-02,38
2014-02-09,30
2014-02-16,33
2014-02-23,38
2014-03-02,36
2014-03-09,42
2014-03-16,37
2014-03-23,38
2014-03-30,40
2014-04-06,41
2014-04-13,38
2014-04-20,43
2014-04-27,37
2014-05-04,34
2014-05-11,32
2014-05-18,33
2014-05-25,29
2014-06-01,27
2014-06-08,26
2014-06-15,25
2014-06-22,26
2014-06-29,29
2014-07-06,34
2014-07-13,32
2014-07-20,43
2014-07-27,34
2014-08-03,32
2014-08-10,28
2014-08-17,27
2014-08-24,26
2014-08-31,25
2014-09-07,24
2014-09-14,24
2014-09-21,19
2014-09-28,19
2014-10-05,19
2014-10-12,22
2014-10-19,21
2014-10-26,19
2014-11-02,21
2014-11-09,22
2014-11-16,22
2014-11-23,18
2014-11-30,22
2014-12-07,19
2014-12-14,20
2014-12-21,18
2014-12-28,23
