date,indiana unemployment
2010-01-03,57
2010-01-10,49
2010-01-17,47
2010-01-24,45
2010-01-31,42
2010-02-07,35
2010-02-14,40
2010-02-21,39
2010-02-28,45
2010-03-07,39
2010-03-14,35
2010-03-21,35
2010-03-28,37
2010-04-04,47
2010-04-11,45
2010-04-18,50
2010-04-25,35
2010-05-02,34
2010-05-09,34
2010-05-16,32
2010-05-23,34
2010-05-30,39
2010-06-06,36
2010-06-13,46
2010-06-20,42
2010-06-27,40
2010-07-04,39
2010-07-11,38
2010-07-18,52
2010-07-25,58
2010-08-01,60
2010-08-08,42
2010-08-15,39
2010-08-22,30
2010-08-29,30
2010-09-05,34
2010-09-12,29
2010-09-19,30
2010-09-26,32
2010-10-03,37
2010-10-10,29
2010-10-17,33
2010-10-24,27
2010-10-31,56
2010-11-07,32
2010-11-14,30
2010-11-21,29
2010-11-28,39
2010-12-05,35
2010-12-12,38
2010-12-19,39
2010-12-26,38
2011-01-02,100
2011-01-09,54
2011-01-16,50
2011-01-23,53
2011-01-30,45
2011-02-06,45
2011-02-13,41
2011-02-20,42
2011-02-27,38
2011-03-06,38
2011-03-13,35
2011-03-20,35
2011-03-27,39
2011-04-03,39
2011-04-10,37
2011-04-17,37
2011-04-24,37
2011-05-01,36
2011-05-08,35
2011-05-15,33
2011-05-22,36
2011-05-29,42
2011-06-05,37
2011-06-12,39
2011-06-19,39
2011-06-26,42
2011-07-03,43
2011-07-10,42
2011-07-17,42
2011-07-24,39
2011-07-31,42
2011-08-07,38
2011-08-14,40
2011-08-21,36
2011-08-28,38
2011-09-04,37
2011-09-11,36
2011-09-18,36
2011-09-25,34
2011-10-02,37
2011-10-09,36
2011-10-16,35
2011-10-23,36
2011-10-30,33
2011-11-06,33
2011-11-13,36
2011-11-20,34
2011-11-27,36
2011-12-04,39
2011-12-11,40
2011-12-18,41
2011-12-25,49
2012-01-01,49
2012-01-08,48
2012-01-15,46
2012-01-22,46
2012-01-29,44
2012-02-05,35
2012-02-12,34
2012-02-19,34
2012-02-26,34
2012-03-04,35
2012-03-11,37
2012-03-18,33
2012-03-25,34
2012-04-01,39
2012-04-08,37
2012-04-15,36
2012-04-22,35
2012-04-29,36
2012-05-06,36
2012-05-13,34
2012-05-20,34
2012-05-27,37
2012-06-03,42
2012-06-10,41
2012-06-17,36
2012-06-24,37
2012-07-01,36
2012-07-08,33
2012-07-15,35
2012-07-22,31
2012-07-29,32
2012-08-05,31
2012-08-12,29
2012-08-19,27
2012-08-26,25
2012-09-02,28
2012-09-09,27
2012-09-16,25
2012-09-23,24
2012-09-30,24
2012-10-07,27
2012-10-14,27
2012-10-21,26
2012-10-28,28
2012-11-04,29
2012-11-11,30
2012-11-18,24
2012-11-25,28
2012-12-02,28
2012-12-09,29
2012-12-16,26
2012-12-23,30
2012-12-30,38
2013-01-06,35
2013-01-13,31
2013-01-20,33
2013-01-27,30
2013-02-03,28
2013-02-10,27
2013-02-17,26
2013-02-24,27
2013-03-03,25
2013-03-10,24
2013-03-17,22
2013-03-24,21
2013-03-31,24
2013-04-07,25
2013-04-14,23
2013-04-21,23
2013-04-28,22
2013-05-05,20
2013-05-12,22
2013-05-19,24
2013-05-26,25
2013-06-02,22
2013-06-09,22
2013-06-16,21
2013-06-23,22
2013-06-30,22
2013-07-07,21
2013-07-14,24
2013-07-21,23
2013-07-28,22
2013-08-04,21
2013-08-11,21
2013-08-18,21
2013-08-25,20
2013-09-01,20
2013-09-08,21
2013-09-15,20
2013-09-22,20
2013-09-29,22
2013-10-06,21
2013-10-13,22
2013-10-20,20
2013-10-27,21
2013-11-03,19
2013-11-10,19
2013-11-17,19
2013-11-24,19
2013-12-01,21
2013-12-08,21
2013-12-15,26
2013-12-22,26
2013-12-29,24
2014-01-05,30
2014-01-12,29
2014-01-19,35
2014-01-26,27
2014-02-02,26
2014-02-09,22
2014-02-16,20
2014-02-23,18
2014-03-02,19
2014-03-09,19
2014-03-16,18
2014-03-23,17
2014-03-30,16
2014-04-06,17
2014-04-13,16
2014-04-20,18
2014-04-27,16
2014-05-04,15
2014-05-11,16
2014-05-18,15
2014-05-25,12
2014-06-01,15
2014-06-08,15
2014-06-15,14
2014-06-22,15
2014-06-29,14
2014-07-06,18
2014-07-13,14
2014-07-20,13
2014-07-27,15
2014-08-03,15
2014-08-10,12
2014-08-17,15
2014-08-24,13
2014-08-31,13
2014-09-07,12
2014-09-14,12
2014-09-21,12
2014-09-28,11
2014-10-05,12
2014-10-12,12
2014-10-19,14
2014-10-26,13
2014-11-02,13
2014-11-09,13
2014-11-16,14
2014-11-23,13
2014-11-30,14
2014-12-07,14
2014-12-14,15
2014-12-21,15
2014-12-28,18
