date,unemployment washington
2010-01-03,79
2010-01-10,78
2010-01-17,79
2010-01-24,78
2010-01-31,67
2010-02-07,66
2010-02-14,66
2010-02-21,70
2010-02-28,74
2010-03-07,72
2010-03-14,63
2010-03-21,66
2010-03-28,62
2010-04-04,64
2010-04-11,72
2010-04-18,67
2010-04-25,71
2010-05-02,68
2010-05-09,63
2010-05-16,56
2010-05-23,67
2010-05-30,63
2010-06-06,62
2010-06-13,67
2010-06-20,71
2010-06-27,74
2010-07-04,68
2010-07-11,69
2010-07-18,82
2010-07-25,69
2010-08-01,65
2010-08-08,67
2010-08-15,61
2010-08-22,60
2010-08-29,60
2010-09-05,61
2010-09-12,55
2010-09-19,62
2010-09-26,60
2010-10-03,61
2010-10-10,62
2010-10-17,57
2010-10-24,59
2010-10-31,65
2010-11-07,63
2010-11-14,61
2010-11-21,64
2010-11-28,88
2010-12-05,77
2010-12-12,65
2010-12-19,64
2010-12-26,69
2011-01-02,100
2011-01-09,88
2011-01-16,96
2011-01-23,83
2011-01-30,71
2011-02-06,73
2011-02-13,69
2011-02-20,66
2011-02-27,73
2011-03-06,65
2011-03-13,54
2011-03-20,60
2011-03-27,59
2011-04-03,60
2011-04-10,66
2011-04-17,69
2011-04-24,62
2011-05-01,59
2011-05-08,57
2011-05-15,52
2011-05-22,59
2011-05-29,69
2011-06-05,63
2011-06-12,62
2011-06-19,62
2011-06-26,65
2011-07-03,69
2011-07-10,65
2011-07-17,61
2011-07-24,67
2011-07-31,68
2011-08-07,58
2011-08-14,59
2011-08-21,79
2011-08-28,68
2011-09-04,59
2011-09-11,62
2011-09-18,64
2011-09-25,69
2011-10-02,71
2011-10-09,59
2011-10-16,57
2011-10-23,59
2011-10-30,60
2011-11-06,54
2011-11-13,56
2011-11-20,55
2011-11-27,59
2011-12-04,52
2011-12-11,60
2011-12-18,62
2011-12-25,68
2012-01-01,70
2012-01-08,71
2012-01-15,60
2012-01-22,65
2012-01-29,59
2012-02-05,55
2012-02-12,51
2012-02-19,58
2012-02-26,51
2012-03-04,49
2012-03-11,49
2012-03-18,47
2012-03-25,50
2012-04-01,52
2012-04-08,48
2012-04-15,52
2012-04-22,53
2012-04-29,52
2012-05-06,49
2012-05-13,48
2012-05-20,49
2012-05-27,48
2012-06-03,47
2012-06-10,46
2012-06-17,45
2012-06-24,45
2012-07-01,46
2012-07-08,46
2012-07-15,42
2012-07-22,43
2012-07-29,45
2012-08-05,43
2012-08-12,39
2012-08-19,40
2012-08-26,43
2012-09-02,46
2012-09-09,37
2012-09-16,37
2012-09-23,42
2012-09-30,45
2012-10-07,41
2012-10-14,41
2012-10-21,44
2012-10-28,42
2012-11-04,47
2012-11-11,42
2012-11-18,38
2012-11-25,44
2012-12-02,47
2012-12-09,42
2012-12-16,39
2012-12-23,45
2012-12-30,53
2013-01-06,49
2013-01-13,48
2013-01-20,46
2013-01-27,45
2013-02-03,39
2013-02-10,40
2013-02-17,35
2013-02-24,40
2013-03-03,37
2013-03-10,40
2013-03-17,41
2013-03-24,38
2013-03-31,40
2013-04-07,41
2013-04-14,37
2013-04-21,37
2013-04-28,38
2013-05-05,35
2013-05-12,38
2013-05-19,35
2013-05-26,40
2013-06-02,37
2013-06-09,35
2013-06-16,38
2013-06-23,39
2013-06-30,39
2013-07-07,38
2013-07-14,37
2013-07-21,42
2013-07-28,41
2013-08-04,40
2013-08-11,40
2013-08-18,37
2013-08-25,35
2013-09-01,37
2013-09-08,30
2013-09-15,33
2013-09-22,35
2013-09-29,47
2013-10-06,43
2013-10-13,39
2013-10-20,33
2013-10-27,33
2013-11-03,36
2013-11-10,37
2013-11-17,37
2013-11-24,33
2013-12-01,51
2013-12-08,39
2013-12-15,40
2013-12-22,40
2013-12-29,43
2014-01-05,47
2014-01-12,43
2014-01-19,39
2014-01-26,42
2014-02-02,34
2014-02-09,34
2014-02-16,34
2014-02-23,36
2014-03-02,33
2014-03-09,33
2014-03-16,29
2014-03-23,31
2014-03-30,31
2014-04-06,33
2014-04-13,29
2014-04-20,27
2014-04-27,31
2014-05-04,29
2014-05-11,30
2014-05-18,27
2014-05-25,27
2014-06-01,28
2014-06-08,27
2014-06-15,28
2014-06-22,27
2014-06-29,24
2014-07-06,27
2014-07-13,27
2014-07-20,28
2014-07-27,21
2014-08-03,20
2014-08-10,24
2014-08-17,23
2014-08-24,22
2014-08-31,21
2014-09-07,19
2014-09-14,25
2014-09-21,24
2014-09-28,24
2014-10-05,23
2014-10-12,21
2014-10-19,27
2014-10-26,23
2014-11-02,27
2014-11-09,24
2014-11-16,27
2014-11-23,22
2014-11-30,29
2014-12-07,27
2014-12-14,26
2014-12-21,24
2014-12-28,29
