date,unemployment insurance
2010-01-03,96
2010-01-10,87
2010-01-17,92
2010-01-24,82
2010-01-31,77
2010-02-07,72
2010-02-14,76
2010-02-21,79
2010-02-28,87
2010-03-07,78
2010-03-14,74
2010-03-21,79
2010-03-28,100
2010-04-04,80
2010-04-11,82
2010-04-18,61
2010-04-25,64
2010-05-02,55
2010-05-09,56
2010-05-16,52
2010-05-23,58
2010-05-30,58
2010-06-06,55
2010-06-13,56
2010-06-20,68
2010-06-27,72
2010-07-04,55
2010-07-11,68
2010-07-18,96
2010-07-25,61
2010-08-01,52
2010-08-08,48
2010-08-15,48
2010-08-22,43
2010-08-29,46
2010-09-05,49
2010-09-12,49
2010-09-19,45
2010-09-26,47
2010-10-03,46
2010-10-10,48
2010-10-17,44
2010-10-24,49
2010-10-31,47
2010-11-07,49
2010-11-14,57
2010-11-21,44
2010-11-28,63
2010-12-05,76
2010-12-12,77
2010-12-19,66
2010-12-26,60
2011-01-02,80
2011-01-09,65
2011-01-16,65
2011-01-23,59
2011-01-30,50
2011-02-06,52
2011-02-13,53
2011-02-20,50
2011-02-27,47
2011-03-06,49
2011-03-13,42
2011-03-20,45
2011-03-27,53
2011-04-03,62
2011-04-10,54
2011-04-17,53
2011-04-24,53
2011-05-01,49
2011-05-08,49
2011-05-15,48
2011-05-22,49
2011-05-29,47
2011-06-05,44
2011-06-12,44
2011-06-19,41
2011-06-26,46
2011-07-03,44
2011-07-10,44
2011-07-17,46
2011-07-24,40
2011-07-31,45
2011-08-07,45
2011-08-14,42
2011-08-21,40
2011-08-28,39
2011-09-04,43
2011-09-11,46
2011-09-18,42
2011-09-25,42
2011-10-02,46
2011-10-09,42
2011-10-16,39
2011-10-23,41
2011-10-30,43
2011-11-06,40
2011-11-13,38
2011-11-20,31
2011-11-27,42
2011-12-04,40
2011-12-11,44
2011-12-18,46
2011-12-25,44
2012-01-01,54
2012-01-08,50
2012-01-15,52
2012-01-22,51
2012-01-29,49
2012-02-05,45
2012-02-12,45
2012-02-19,42
2012-02-26,45
2012-03-04,40
2012-03-11,37
2012-03-18,39
2012-03-25,36
2012-04-01,32
2012-04-08,36
2012-04-15,35
2012-04-22,36
2012-04-29,34
2012-05-06,32
2012-05-13,33
2012-05-20,37
2012-05-27,41
2012-06-03,33
2012-06-10,36
2012-06-17,42
2012-06-24,42
2012-07-01,41
2012-07-08,46
2012-07-15,39
2012-07-22,41
2012-07-29,35
2012-08-05,34
2012-08-12,34
2012-08-19,37
2012-08-26,28
2012-09-02,38
2012-09-09,31
2012-09-16,30
2012-09-23,29
2012-09-30,34
2012-10-07,35
2012-10-14,34
2012-10-21,35
2012-10-28,33
2012-11-04,38
2012-11-11,40
2012-11-18,31
2012-11-25,40
2012-12-02,39
2012-12-09,37
2012-12-16,37
2012-12-23,31
2012-12-30,50
2013-01-06,46
2013-01-13,40
2013-01-20,36
2013-01-27,36
2013-02-03,32
2013-02-10,29
2013-02-17,30
2013-02-24,33
2013-03-03,30
2013-03-10,30
2013-03-17,30
2013-03-24,33
2013-03-31,34
2013-04-07,34
2013-04-14,35
2013-04-21,34
2013-04-28,29
2013-05-05,27
2013-05-12,24
2013-05-19,27
2013-05-26,26
2013-06-02,26
2013-06-09,26
2013-06-16,26
2013-06-23,28
2013-06-30,29
2013-07-07,30
2013-07-14,26
2013-07-21,28
2013-07-28,28
2013-08-04,26
2013-08-11,28
2013-08-18,23
2013-08-25,23
2013-09-01,26
2013-09-08,25
2013-09-15,25
2013-09-22,26
2013-09-29,40
2013-10-06,30
2013-10-13,32
2013-10-20,29
2013-10-27,30
2013-11-03,26
2013-11-10,29
2013-11-17,27
2013-11-24,22
2013-12-01,26
2013-12-08,34
2013-12-15,33
2013-12-22,30
2013-12-29,36
2014-01-05,60
2014-01-12,50
2014-01-19,42
2014-01-26,47
2014-02-02,40
2014-02-09,37
2014-02-16,33
2014-02-23,40
2014-03-02,36
2014-03-09,38
2014-03-16,35
2014-03-23,37
2014-03-30,38
2014-04-06,41
2014-04-13,34
2014-04-20,33
2014-04-27,35
2014-05-04,34
2014-05-11,29
2014-05-18,26
2014-05-25,24
2014-06-01,27
2014-06-08,24
2014-06-15,23
2014-06-22,25
2014-06-29,28
2014-07-06,32
2014-07-13,27
2014-07-20,25
2014-07-27,26
2014-08-03,21
2014-08-10,21
2014-08-17,23
2014-08-24,24
2014-08-31,20
2014-09-07,21
2014-09-14,21
2014-09-21,22
2014-09-28,24
2014-10-05,21
2014-10-12,21
2014-10-19,22
2014-10-26,24
2014-11-02,22
2014-11-09,21
2014-11-16,24
2014-11-23,19
2014-11-30,24
2014-12-07,24
2014-12-14,25
2014-12-21,22
2014-12-28,24
