date,california unemployment
2010-01-03,75
2010-01-10,63
2010-01-17,72
2010-01-24,69
2010-01-31,62
2010-02-07,58
2010-02-14,55
2010-02-21,63
2010-02-28,70
2010-03-07,64
2010-03-14,57
2010-03-21,54
2010-03-28,59
2010-04-04,54
2010-04-11,68
2010-04-18,56
2010-04-25,57
2010-05-02,49
2010-05-09,55
2010-05-16,55
2010-05-23,52
2010-05-30,53
2010-06-06,63
2010-06-13,66
2010-06-20,78
2010-06-27,92
2010-07-04,68
2010-07-11,73
2010-07-18,100
2010-07-25,70
2010-08-01,52
2010-08-08,50
2010-08-15,46
2010-08-22,46
2010-08-29,44
2010-09-05,42
2010-09-12,45
2010-09-19,45
2010-09-26,41
2010-10-03,43
2010-10-10,41
2010-10-17,41
2010-10-24,46
2010-10-31,46
2010-11-07,48
2010-11-14,51
2010-11-21,37
2010-11-28,68
2010-12-05,67
2010-12-12,58
2010-12-19,47
2010-12-26,47
2011-01-02,71
2011-01-09,62
2011-01-16,53
2011-01-23,51
2011-01-30,54
2011-02-06,47
2011-02-13,37
2011-02-20,32
2011-02-27,36
2011-03-06,34
2011-03-13,36
2011-03-20,35
2011-03-27,39
2011-04-03,45
2011-04-10,39
2011-04-17,35
2011-04-24,35
2011-05-01,35
2011-05-08,35
2011-05-15,35
2011-05-22,40
2011-05-29,44
2011-06-05,49
2011-06-12,47
2011-06-19,49
2011-06-26,49
2011-07-03,46
2011-07-10,49
2011-07-17,43
2011-07-24,44
2011-07-31,48
2011-08-07,48
2011-08-14,49
2011-08-21,44
2011-08-28,45
2011-09-04,47
2011-09-11,43
2011-09-18,42
2011-09-25,41
2011-10-02,44
2011-10-09,43
2011-10-16,37
2011-10-23,31
2011-10-30,33
2011-11-06,31
2011-11-13,32
2011-11-20,23
2011-11-27,32
2011-12-04,29
2011-12-11,30
2011-12-18,26
2011-12-25,28
2012-01-01,34
2012-01-08,33
2012-01-15,36
2012-01-22,37
2012-01-29,34
2012-02-05,32
2012-02-12,31
2012-02-19,32
2012-02-26,28
2012-03-04,31
2012-03-11,29
2012-03-18,31
2012-03-25,28
2012-04-01,30
2012-04-08,32
2012-04-15,31
2012-04-22,28
2012-04-29,31
2012-05-06,33
2012-05-13,32
2012-05-20,31
2012-05-27,33
2012-06-03,32
2012-06-10,35
2012-06-17,32
2012-06-24,32
2012-07-01,30
2012-07-08,32
2012-07-15,26
2012-07-22,28
2012-07-29,28
2012-08-05,28
2012-08-12,32
2012-08-19,29
2012-08-26,26
2012-09-02,28
2012-09-09,28
2012-09-16,27
2012-09-23,25
2012-09-30,26
2012-10-07,33
2012-10-14,33
2012-10-21,27
2012-10-28,26
2012-11-04,28
2012-11-11,25
2012-11-18,20
2012-11-25,27
2012-12-02,24
2012-12-09,25
2012-12-16,24
2012-12-23,23
2012-12-30,34
2013-01-06,33
2013-01-13,30
2013-01-20,26
2013-01-27,28
2013-02-03,24
2013-02-10,23
2013-02-17,24
2013-02-24,23
2013-03-03,24
2013-03-10,23
2013-03-17,22
2013-03-24,22
2013-03-31,24
2013-04-07,24
2013-04-14,22
2013-04-21,23
2013-04-28,24
2013-05-05,19
2013-05-12,22
2013-05-19,22
2013-05-26,23
2013-06-02,24
2013-06-09,23
2013-06-16,23
2013-06-23,25
2013-06-30,22
2013-07-07,25
2013-07-14,23
2013-07-21,22
2013-07-28,23
2013-08-04,22
2013-08-11,21
2013-08-18,21
2013-08-25,21
2013-09-01,20
2013-09-08,23
2013-09-15,26
2013-09-22,25
2013-09-29,30
2013-10-06,22
2013-10-13,23
2013-10-20,22
2013-10-27,19
2013-11-03,21
2013-11-10,20
2013-11-17,21
2013-11-24,15
2013-12-01,23
2013-12-08,21
2013-12-15,21
2013-12-22,19
2013-12-29,23
2014-01-05,31
2014-01-12,29
2014-01-19,25
2014-01-26,24
2014-02-02,22
2014-02-09,21
2014-02-16,18
2014-02-23,20
2014-03-02,19
2014-03-09,20
2014-03-16,21
2014-03-23,19
2014-03-30,20
2014-04-06,20
2014-04-13,18
2014-04-20,18
2014-04-27,19
2014-05-04,17
2014-05-11,17
2014-05-18,18
2014-05-25,16
2014-06-01,19
2014-06-08,18
2014-06-15,18
2014-06-22,17
2014-06-29,17
2014-07-06,17
2014-07-13,18
2014-07-20,17
2014-07-27,16
2014-08-03,18
2014-08-10,15
2014-08-17,15
2014-08-24,16
2014-08-31,15
2014-09-07,16
2014-09-14,17
2014-09-21,14
2014-09-28,16
2014-10-05,14
2014-10-12,14
2014-10-19,13
2014-10-26,14
2014-11-02,15
2014-11-09,14
2014-11-16,14
2014-11-23,10
2014-11-30,15
2014-12-07,15
2014-12-14,15
2014-12-21,11
2014-12-28,13
