date,nj unemployment
2010-01-03,66
2010-01-10,56
2010-01-17,54
2010-01-24,47
2010-01-31,52
2010-02-07,43
2010-02-14,56
2010-02-21,48
2010-02-28,56
2010-03-07,47
2010-03-14,51
2010-03-21,49
2010-03-28,48
2010-04-04,48
2010-04-11,57
2010-04-18,53
2010-04-25,47
2010-05-02,44
2010-05-09,46
2010-05-16,42
2010-05-23,46
2010-05-30,47
2010-06-06,46
2010-06-13,58
2010-06-20,66
2010-06-27,79
2010-07-04,58
2010-07-11,51
2010-07-18,72
2010-07-25,53
2010-08-01,47
2010-08-08,45
2010-08-15,46
2010-08-22,45
2010-08-29,45
2010-09-05,40
2010-09-12,42
2010-09-19,44
2010-09-26,38
2010-10-03,40
2010-10-10,40
2010-10-17,41
2010-10-24,34
2010-10-31,37
2010-11-07,40
2010-11-14,41
2010-11-21,35
2010-11-28,63
2010-12-05,50
2010-12-12,49
2010-12-19,51
2010-12-26,52
2011-01-02,68
2011-01-09,63
2011-01-16,60
2011-01-23,59
2011-01-30,62
2011-02-06,51
2011-02-13,49
2011-02-20,49
2011-02-27,52
2011-03-06,47
2011-03-13,44
2011-03-20,45
2011-03-27,48
2011-04-03,46
2011-04-10,53
2011-04-17,47
2011-04-24,44
2011-05-01,48
2011-05-08,47
2011-05-15,51
2011-05-22,52
2011-05-29,50
2011-06-05,50
2011-06-12,56
2011-06-19,58
2011-06-26,55
2011-07-03,55
2011-07-10,54
2011-07-17,55
2011-07-24,53
2011-07-31,59
2011-08-07,62
2011-08-14,64
2011-08-21,48
2011-08-28,54
2011-09-04,57
2011-09-11,69
2011-09-18,53
2011-09-25,47
2011-10-02,49
2011-10-09,50
2011-10-16,51
2011-10-23,48
2011-10-30,53
2011-11-06,48
2011-11-13,52
2011-11-20,50
2011-11-27,52
2011-12-04,53
2011-12-11,53
2011-12-18,56
2011-12-25,67
2012-01-01,67
2012-01-08,59
2012-01-15,62
2012-01-22,58
2012-01-29,61
2012-02-05,55
2012-02-12,57
2012-02-19,52
2012-02-26,56
2012-03-04,56
2012-03-11,82
2012-03-18,96
2012-03-25,63
2012-04-01,49
2012-04-08,53
2012-04-15,51
2012-04-22,52
2012-04-29,48
2012-05-06,52
2012-05-13,50
2012-05-20,50
2012-05-27,56
2012-06-03,54
2012-06-10,54
2012-06-17,55
2012-06-24,66
2012-07-01,66
2012-07-08,59
2012-07-15,53
2012-07-22,53
2012-07-29,54
2012-08-05,50
2012-08-12,52
2012-08-19,54
2012-08-26,50
2012-09-02,57
2012-09-09,51
2012-09-16,48
2012-09-23,47
2012-09-30,51
2012-10-07,47
2012-10-14,46
2012-10-21,49
2012-10-28,72
2012-11-04,100
2012-11-11,80
2012-11-18,60
2012-11-25,66
2012-12-02,57
2012-12-09,51
2012-12-16,59
2012-12-23,59
2012-12-30,85
2013-01-06,69
2013-01-13,65
2013-01-20,61
2013-01-27,59
2013-02-03,56
2013-02-10,54
2013-02-17,52
2013-02-24,52
2013-03-03,49
2013-03-10,50
2013-03-17,48
2013-03-24,47
2013-03-31,51
2013-04-07,46
2013-04-14,44
2013-04-21,42
2013-04-28,45
2013-05-05,45
2013-05-12,50
2013-05-19,45
2013-05-26,48
2013-06-02,46
2013-06-09,47
2013-06-16,49
2013-06-23,50
2013-06-30,51
2013-07-07,72
2013-07-14,57
2013-07-21,52
2013-07-28,52
2013-08-04,48
2013-08-11,50
2013-08-18,47
2013-08-25,49
2013-09-01,48
2013-09-08,48
2013-09-15,46
2013-09-22,47
2013-09-29,53
2013-10-06,52
2013-10-13,45
2013-10-20,46
2013-10-27,47
2013-11-03,46
2013-11-10,48
2013-11-17,46
2013-11-24,47
2013-12-01,44
2013-12-08,50
2013-12-15,57
2013-12-22,59
2013-12-29,59
2014-01-05,75
2014-01-12,67
2014-01-19,62
2014-01-26,76
2014-02-02,65
2014-02-09,53
2014-02-16,55
2014-02-23,55
2014-03-02,52
2014-03-09,54
2014-03-16,47
2014-03-23,51
2014-03-30,52
2014-04-06,52
2014-04-13,39
2014-04-20,48
2014-04-27,39
2014-05-04,37
2014-05-11,34
2014-05-18,37
2014-05-25,32
2014-06-01,34
2014-06-08,35
2014-06-15,32
2014-06-22,37
2014-06-29,38
2014-07-06,37
2014-07-13,36
2014-07-20,34
2014-07-27,34
2014-08-03,31
2014-08-10,30
2014-08-17,27
2014-08-24,28
2014-08-31,31
2014-09-07,29
2014-09-14,26
2014-09-21,30
2014-09-28,29
2014-10-05,30
2014-10-12,27
2014-10-19,29
2014-10-26,29
2014-11-02,29
2014-11-09,30
2014-11-16,29
2014-11-23,26
2014-11-30,30
2014-12-07,30
2014-12-14,30
2014-12-21,32
2014-12-28,38
