date,pa unemployment
2008-01-06,23
2008-01-13,18
2008-01-20,22
2008-01-27,18
2008-02-03,20
2008-02-10,15
2008-02-17,16
2008-02-24,18
2008-03-02,16
2008-03-09,15
2008-03-16,14
2008-03-23,15
2008-03-30,16
2008-04-06,13
2008-04-13,19
2008-04-20,14
2008-04-27,14
2008-05-04,11
2008-05-11,14
2008-05-18,15
2008-05-25,16
2008-06-01,16
2008-06-08,18
2008-06-15,22
2008-06-22,20
2008-06-29,21
2008-07-06,19
2008-07-13,22
2008-07-20,23
2008-07-27,22
2008-08-03,23
2008-08-10,19
2008-08-17,22
2008-08-24,21
2008-08-31,24
2008-09-07,23
2008-09-14,25
2008-09-21,23
2008-09-28,27
2008-10-05,25
2008-10-12,29
2008-10-19,27
2008-10-26,29
2008-11-02,26
2008-11-09,34
2008-11-16,40
2008-11-23,39
2008-11-30,42
2008-12-07,46
2008-12-14,42
2008-12-21,47
2008-12-28,52
2009-01-04,60
2009-01-11,49
2009-01-18,55
2009-01-25,45
2009-02-01,45
2009-02-08,44
2009-02-15,45
2009-02-22,45
2009-03-01,50
2009-03-08,45
2009-03-15,49
2009-03-22,47
2009-03-29,42
2009-04-05,45
2009-04-12,43
2009-04-19,38
2009-04-26,41
2009-05-03,36
2009-05-10,41
2009-05-17,41
2009-05-24,39
2009-05-31,44
2009-06-07,41
2009-06-14,42
2009-06-21,40
2009-06-28,48
2009-07-05,45
2009-07-12,49
2009-07-19,42
2009-07-26,47
2009-08-02,55
2009-08-09,51
2009-08-16,42
2009-08-23,42
2009-08-30,42
2009-09-06,44
2009-09-13,39
2009-09-20,57
2009-09-27,44
2009-10-04,41
2009-10-11,43
2009-10-18,40
2009-10-25,41
2009-11-01,48
2009-11-08,47
2009-11-15,42
2009-11-22,48
2009-11-29,80
2009-12-06,47
2009-12-13,46
2009-12-20,100
2009-12-27,80
2010-01-03,77
2010-01-10,65
2010-01-17,62
2010-01-24,52
2010-01-31,50
2010-02-07,40
2010-02-14,51
2010-02-21,43
2010-02-28,49
2010-03-07,42
2010-03-14,46
2010-03-21,43
2010-03-28,46
2010-04-04,43
2010-04-11,46
2010-04-18,41
2010-04-25,38
2010-05-02,41
2010-05-09,40
2010-05-16,38
2010-05-23,38
2010-05-30,44
2010-06-06,43
2010-06-13,48
2010-06-20,52
2010-06-27,55
2010-07-04,53
2010-07-11,53
2010-07-18,76
2010-07-25,56
2010-08-01,45
2010-08-08,45
2010-08-15,47
2010-08-22,42
2010-08-29,43
2010-09-05,40
2010-09-12,39
2010-09-19,37
2010-09-26,36
2010-10-03,40
2010-10-10,36
2010-10-17,36
2010-10-24,36
2010-10-31,38
2010-11-07,31
2010-11-14,39
2010-11-21,37
2010-11-28,46
2010-12-05,49
2010-12-12,49
2010-12-19,46
2010-12-26,46
2011-01-02,69
2011-01-09,60
2011-01-16,62
2011-01-23,58
2011-01-30,53
2011-02-06,50
2011-02-13,50
2011-02-20,45
2011-02-27,49
2011-03-06,43
2011-03-13,43
2011-03-20,45
2011-03-27,46
2011-04-03,48
2011-04-10,49
2011-04-17,44
2011-04-24,43
2011-05-01,42
2011-05-08,44
2011-05-15,44
2011-05-22,47
2011-05-29,50
2011-06-05,46
2011-06-12,54
2011-06-19,50
2011-06-26,50
2011-07-03,53
2011-07-10,48
2011-07-17,48
2011-07-24,49
2011-07-31,49
2011-08-07,46
2011-08-14,49
2011-08-21,46
2011-08-28,46
2011-09-04,47
2011-09-11,47
2011-09-18,45
2011-09-25,43
2011-10-02,43
2011-10-09,45
2011-10-16,45
2011-10-23,46
2011-10-30,46
2011-11-06,44
2011-11-13,42
2011-11-20,46
2011-11-27,55
2011-12-04,50
2011-12-11,53
2011-12-18,58
2011-12-25,65
2012-01-01,76
2012-01-08,72
2012-01-15,67
2012-01-22,61
2012-01-29,59
2012-02-05,53
2012-02-12,53
2012-02-19,50
2012-02-26,48
2012-03-04,47
2012-03-11,48
2012-03-18,44
2012-03-25,45
2012-04-01,44
2012-04-08,46
2012-04-15,45
2012-04-22,45
2012-04-29,41
2012-05-06,41
2012-05-13,45
2012-05-20,43
2012-05-27,46
2012-06-03,43
2012-06-10,44
2012-06-17,44
2012-06-24,45
2012-07-01,51
2012-07-08,49
2012-07-15,47
2012-07-22,46
2012-07-29,45
2012-08-05,45
2012-08-12,44
2012-08-19,42
2012-08-26,43
2012-09-02,44
2012-09-09,43
2012-09-16,39
2012-09-23,43
2012-09-30,44
2012-10-07,49
2012-10-14,47
2012-10-21,44
2012-10-28,48
2012-11-04,51
2012-11-11,49
2012-11-18,46
2012-11-25,48
2012-12-02,46
2012-12-09,43
2012-12-16,46
2012-12-23,53
2012-12-30,69
