date,unemployment wisconsin
2008-01-06,20
2008-01-13,19
2008-01-20,21
2008-01-27,14
2008-02-03,17
2008-02-10,16
2008-02-17,17
2008-02-24,15
2008-03-02,17
2008-03-09,17
2008-03-16,12
2008-03-23,10
2008-03-30,13
2008-04-06,15
2008-04-13,14
2008-04-20,14
2008-04-27,11
2008-05-04,13
2008-05-11,15
2008-05-18,10
2008-05-25,12
2008-06-01,14
2008-06-08,14
2008-06-15,11
2008-06-22,17
2008-06-29,16
2008-07-06,14
2008-07-13,19
2008-07-20,14
2008-07-27,16
2008-08-03,16
2008-08-10,16
2008-08-17,17
2008-08-24,15
2008-08-31,16
2008-09-07,15
2008-09-14,13
2008-09-21,16
2008-09-28,18
2008-10-05,19
2008-10-12,19
2008-10-19,20
2008-10-26,21
2008-11-02,25
2008-11-09,22
2008-11-16,24
2008-11-23,33
2008-11-30,39
2008-12-07,32
2008-12-14,35
2008-12-21,50
2008-12-28,60
2009-01-04,53
2009-01-11,54
2009-01-18,60
2009-01-25,53
2009-02-01,57
2009-02-08,56
2009-02-15,51
2009-02-22,47
2009-03-01,53
2009-03-08,60
2009-03-15,60
2009-03-22,50
2009-03-29,56
2009-04-05,59
2009-04-12,63
2009-04-19,51
2009-04-26,60
2009-05-03,56
2009-05-10,53
2009-05-17,59
2009-05-24,57
2009-05-31,62
2009-06-07,63
2009-06-14,61
2009-06-21,60
2009-06-28,64
2009-07-05,65
2009-07-12,66
2009-07-19,64
2009-07-26,61
2009-08-02,59
2009-08-09,64
2009-08-16,65
2009-08-23,58
2009-08-30,61
2009-09-06,64
2009-09-13,55
2009-09-20,67
2009-09-27,57
2009-10-04,60
2009-10-11,69
2009-10-18,59
2009-10-25,66
2009-11-01,67
2009-11-08,59
2009-11-15,69
2009-11-22,68
2009-11-29,72
2009-12-06,66
2009-12-13,74
2009-12-20,73
2009-12-27,89
2010-01-03,89
2010-01-10,89
2010-01-17,100
2010-01-24,80
2010-01-31,71
2010-02-07,73
2010-02-14,74
2010-02-21,69
2010-02-28,69
2010-03-07,77
2010-03-14,65
2010-03-21,66
2010-03-28,65
2010-04-04,70
2010-04-11,80
2010-04-18,83
2010-04-25,68
2010-05-02,62
2010-05-09,63
2010-05-16,65
2010-05-23,59
2010-05-30,74
2010-06-06,69
2010-06-13,89
2010-06-20,71
2010-06-27,78
2010-07-04,76
2010-07-11,66
2010-07-18,82
2010-07-25,83
2010-08-01,66
2010-08-08,66
2010-08-15,59
2010-08-22,57
2010-08-29,54
2010-09-05,50
2010-09-12,52
2010-09-19,49
2010-09-26,47
2010-10-03,53
2010-10-10,49
2010-10-17,49
2010-10-24,54
2010-10-31,55
2010-11-07,50
2010-11-14,49
2010-11-21,48
2010-11-28,59
2010-12-05,64
2010-12-12,63
2010-12-19,68
2010-12-26,75
2011-01-02,82
2011-01-09,78
2011-01-16,84
2011-01-23,70
2011-01-30,65
2011-02-06,68
2011-02-13,67
2011-02-20,62
2011-02-27,62
2011-03-06,57
2011-03-13,56
2011-03-20,54
2011-03-27,57
2011-04-03,58
2011-04-10,55
2011-04-17,52
2011-04-24,55
2011-05-01,50
2011-05-08,45
2011-05-15,46
2011-05-22,41
2011-05-29,54
2011-06-05,47
2011-06-12,52
2011-06-19,53
2011-06-26,56
2011-07-03,60
2011-07-10,59
2011-07-17,57
2011-07-24,56
2011-07-31,64
2011-08-07,60
2011-08-14,53
2011-08-21,48
2011-08-28,50
2011-09-04,50
2011-09-11,44
2011-09-18,47
2011-09-25,44
2011-10-02,68
2011-10-09,50
2011-10-16,47
2011-10-23,46
2011-10-30,48
2011-11-06,45
2011-11-13,47
2011-11-20,52
2011-11-27,57
2011-12-04,51
2011-12-11,51
2011-12-18,54
2011-12-25,66
2012-01-01,75
2012-01-08,65
2012-01-15,63
2012-01-22,60
2012-01-29,57
2012-02-05,53
2012-02-12,50
2012-02-19,54
2012-02-26,57
2012-03-04,55
2012-03-11,54
2012-03-18,57
2012-03-25,51
2012-04-01,50
2012-04-08,51
2012-04-15,47
2012-04-22,47
2012-04-29,42
2012-05-06,43
2012-05-13,45
2012-05-20,44
2012-05-27,46
2012-06-03,48
2012-06-10,44
2012-06-17,42
2012-06-24,37
2012-07-01,39
2012-07-08,47
2012-07-15,38
2012-07-22,36
2012-07-29,39
2012-08-05,35
2012-08-12,38
2012-08-19,36
2012-08-26,34
2012-09-02,34
2012-09-09,31
2012-09-16,31
2012-09-23,36
2012-09-30,39
2012-10-07,37
2012-10-14,32
2012-10-21,34
2012-10-28,35
2012-11-04,33
2012-11-11,37
2012-11-18,34
2012-11-25,39
2012-12-02,38
2012-12-09,37
2012-12-16,41
2012-12-23,46
2012-12-30,57
