date,ny unemployment
2008-01-06,20
2008-01-13,18
2008-01-20,18
2008-01-27,20
2008-02-03,20
2008-02-10,18
2008-02-17,18
2008-02-24,17
2008-03-02,19
2008-03-09,18
2008-03-16,20
2008-03-23,19
2008-03-30,18
2008-04-06,16
2008-04-13,20
2008-04-20,15
2008-04-27,18
2008-05-04,16
2008-05-11,14
2008-05-18,18
2008-05-25,15
2008-06-01,18
2008-06-08,18
2008-06-15,19
2008-06-22,20
2008-06-29,22
2008-07-06,24
2008-07-13,23
2008-07-20,26
2008-07-27,31
2008-08-03,29
2008-08-10,25
2008-08-17,23
2008-08-24,24
2008-08-31,27
2008-09-07,27
2008-09-14,24
2008-09-21,25
2008-09-28,29
2008-10-05,29
2008-10-12,28
2008-10-19,34
2008-10-26,29
2008-11-02,29
2008-11-09,31
2008-11-16,44
2008-11-23,33
2008-11-30,39
2008-12-07,41
2008-12-14,37
2008-12-21,42
2008-12-28,46
2009-01-04,53
2009-01-11,45
2009-01-18,50
2009-01-25,49
2009-02-01,50
2009-02-08,45
2009-02-15,56
2009-02-22,64
2009-03-01,53
2009-03-08,57
2009-03-15,54
2009-03-22,54
2009-03-29,49
2009-04-05,50
2009-04-12,52
2009-04-19,47
2009-04-26,45
2009-05-03,50
2009-05-10,48
2009-05-17,52
2009-05-24,52
2009-05-31,48
2009-06-07,49
2009-06-14,52
2009-06-21,56
2009-06-28,52
2009-07-05,60
2009-07-12,61
2009-07-19,60
2009-07-26,64
2009-08-02,62
2009-08-09,63
2009-08-16,60
2009-08-23,62
2009-08-30,62
2009-09-06,62
2009-09-13,63
2009-09-20,59
2009-09-27,61
2009-10-04,82
2009-10-11,69
2009-10-18,57
2009-10-25,59
2009-11-01,73
2009-11-08,96
2009-11-15,58
2009-11-22,58
2009-11-29,55
2009-12-06,57
2009-12-13,57
2009-12-20,81
2009-12-27,73
2010-01-03,68
2010-01-10,63
2010-01-17,63
2010-01-24,64
2010-01-31,61
2010-02-07,57
2010-02-14,61
2010-02-21,62
2010-02-28,59
2010-03-07,54
2010-03-14,53
2010-03-21,58
2010-03-28,100
2010-04-04,58
2010-04-11,63
2010-04-18,54
2010-04-25,57
2010-05-02,51
2010-05-09,50
2010-05-16,52
2010-05-23,43
2010-05-30,52
2010-06-06,43
2010-06-13,51
2010-06-20,56
2010-06-27,55
2010-07-04,54
2010-07-11,62
2010-07-18,76
2010-07-25,53
2010-08-01,44
2010-08-08,41
2010-08-15,44
2010-08-22,39
2010-08-29,39
2010-09-05,45
2010-09-12,44
2010-09-19,42
2010-09-26,40
2010-10-03,40
2010-10-10,42
2010-10-17,43
2010-10-24,42
2010-10-31,45
2010-11-07,44
2010-11-14,45
2010-11-21,41
2010-11-28,46
2010-12-05,52
2010-12-12,57
2010-12-19,55
2010-12-26,47
2011-01-02,56
2011-01-09,52
2011-01-16,55
2011-01-23,55
2011-01-30,50
2011-02-06,51
2011-02-13,49
2011-02-20,41
2011-02-27,47
2011-03-06,43
2011-03-13,38
2011-03-20,45
2011-03-27,42
2011-04-03,42
2011-04-10,37
2011-04-17,39
2011-04-24,42
2011-05-01,38
2011-05-08,40
2011-05-15,41
2011-05-22,42
2011-05-29,43
2011-06-05,41
2011-06-12,45
2011-06-19,46
2011-06-26,46
2011-07-03,46
2011-07-10,47
2011-07-17,50
2011-07-24,44
2011-07-31,47
2011-08-07,44
2011-08-14,46
2011-08-21,45
2011-08-28,44
2011-09-04,51
2011-09-11,46
2011-09-18,44
2011-09-25,43
2011-10-02,43
2011-10-09,43
2011-10-16,47
2011-10-23,46
2011-10-30,46
2011-11-06,44
2011-11-13,43
2011-11-20,41
2011-11-27,44
2011-12-04,45
2011-12-11,43
2011-12-18,45
2011-12-25,50
2012-01-01,53
2012-01-08,52
2012-01-15,53
2012-01-22,45
2012-01-29,47
2012-02-05,47
2012-02-12,44
2012-02-19,46
2012-02-26,46
2012-03-04,43
2012-03-11,39
2012-03-18,43
2012-03-25,42
2012-04-01,40
2012-04-08,40
2012-04-15,44
2012-04-22,38
2012-04-29,42
2012-05-06,38
2012-05-13,38
2012-05-20,45
2012-05-27,42
2012-06-03,41
2012-06-10,49
2012-06-17,46
2012-06-24,47
2012-07-01,54
2012-07-08,54
2012-07-15,57
2012-07-22,59
2012-07-29,54
2012-08-05,48
2012-08-12,47
2012-08-19,50
2012-08-26,43
2012-09-02,69
2012-09-09,44
2012-09-16,44
2012-09-23,46
2012-09-30,46
2012-10-07,54
2012-10-14,46
2012-10-21,44
2012-10-28,43
2012-11-04,59
2012-11-11,52
2012-11-18,52
2012-11-25,47
2012-12-02,63
2012-12-09,60
2012-12-16,81
2012-12-23,56
2012-12-30,72
