date,nys unemployment
2008-01-06,15
2008-01-13,14
2008-01-20,12
2008-01-27,14
2008-02-03,13
2008-02-10,13
2008-02-17,13
2008-02-24,12
2008-03-02,13
2008-03-09,12
2008-03-16,14
2008-03-23,10
2008-03-30,13
2008-04-06,13
2008-04-13,11
2008-04-20,12
2008-04-27,10
2008-05-04,8
2008-05-11,10
2008-05-18,9
2008-05-25,12
2008-06-01,10
2008-06-08,13
2008-06-15,11
2008-06-22,10
2008-06-29,14
2008-07-06,15
2008-07-13,16
2008-07-20,16
2008-07-27,18
2008-08-03,16
2008-08-10,14
2008-08-17,14
2008-08-24,16
2008-08-31,18
2008-09-07,16
2008-09-14,18
2008-09-21,15
2008-09-28,17
2008-10-05,18
2008-10-12,18
2008-10-19,18
2008-10-26,19
2008-11-02,16
2008-11-09,20
2008-11-16,22
2008-11-23,23
2008-11-30,29
2008-12-07,23
2008-12-14,22
2008-12-21,30
2008-12-28,31
2009-01-04,34
2009-01-11,31
2009-01-18,31
2009-01-25,30
2009-02-01,30
2009-02-08,31
2009-02-15,34
2009-02-22,41
2009-03-01,33
2009-03-08,32
2009-03-15,33
2009-03-22,35
2009-03-29,35
2009-04-05,38
2009-04-12,34
2009-04-19,34
2009-04-26,32
2009-05-03,34
2009-05-10,31
2009-05-17,37
2009-05-24,36
2009-05-31,34
2009-06-07,32
2009-06-14,31
2009-06-21,39
2009-06-28,35
2009-07-05,44
2009-07-12,45
2009-07-19,42
2009-07-26,42
2009-08-02,40
2009-08-09,41
2009-08-16,41
2009-08-23,43
2009-08-30,44
2009-09-06,46
2009-09-13,43
2009-09-20,42
2009-09-27,42
2009-10-04,62
2009-10-11,50
2009-10-18,41
2009-10-25,40
2009-11-01,50
2009-11-08,68
2009-11-15,45
2009-11-22,45
2009-11-29,47
2009-12-06,44
2009-12-13,48
2009-12-20,69
2009-12-27,61
2010-01-03,56
2010-01-10,55
2010-01-17,58
2010-01-24,53
2010-01-31,47
2010-02-07,51
2010-02-14,54
2010-02-21,49
2010-02-28,54
2010-03-07,48
2010-03-14,47
2010-03-21,51
2010-03-28,100
2010-04-04,52
2010-04-11,53
2010-04-18,50
2010-04-25,45
2010-05-02,42
2010-05-09,44
2010-05-16,47
2010-05-23,40
2010-05-30,44
2010-06-06,44
2010-06-13,46
2010-06-20,47
2010-06-27,50
2010-07-04,49
2010-07-11,50
2010-07-18,64
2010-07-25,41
2010-08-01,38
2010-08-08,36
2010-08-15,36
2010-08-22,35
2010-08-29,34
2010-09-05,35
2010-09-12,36
2010-09-19,34
2010-09-26,33
2010-10-03,34
2010-10-10,35
2010-10-17,35
2010-10-24,34
2010-10-31,33
2010-11-07,35
2010-11-14,35
2010-11-21,36
2010-11-28,38
2010-12-05,39
2010-12-12,48
2010-12-19,48
2010-12-26,45
2011-01-02,44
2011-01-09,42
2011-01-16,46
2011-01-23,43
2011-01-30,42
2011-02-06,46
2011-02-13,43
2011-02-20,38
2011-02-27,37
2011-03-06,36
2011-03-13,33
2011-03-20,35
2011-03-27,36
2011-04-03,35
2011-04-10,33
2011-04-17,33
2011-04-24,32
2011-05-01,31
2011-05-08,31
2011-05-15,28
2011-05-22,29
2011-05-29,34
2011-06-05,31
2011-06-12,31
2011-06-19,31
2011-06-26,34
2011-07-03,39
2011-07-10,37
2011-07-17,35
2011-07-24,35
2011-07-31,37
2011-08-07,36
2011-08-14,35
2011-08-21,34
2011-08-28,32
2011-09-04,35
2011-09-11,33
2011-09-18,32
2011-09-25,31
2011-10-02,32
2011-10-09,32
2011-10-16,34
2011-10-23,31
2011-10-30,35
2011-11-06,32
2011-11-13,32
2011-11-20,33
2011-11-27,34
2011-12-04,34
2011-12-11,35
2011-12-18,36
2011-12-25,44
2012-01-01,42
2012-01-08,42
2012-01-15,38
2012-01-22,36
2012-01-29,34
2012-02-05,35
2012-02-12,33
2012-02-19,35
2012-02-26,33
2012-03-04,28
2012-03-11,30
2012-03-18,31
2012-03-25,31
2012-04-01,30
2012-04-08,31
2012-04-15,33
2012-04-22,32
2012-04-29,31
2012-05-06,31
2012-05-13,32
2012-05-20,33
2012-05-27,34
2012-06-03,33
2012-06-10,35
2012-06-17,34
2012-06-24,33
2012-07-01,38
2012-07-08,38
2012-07-15,36
2012-07-22,38
2012-07-29,36
2012-08-05,30
2012-08-12,31
2012-08-19,32
2012-08-26,29
2012-09-02,43
2012-09-09,26
2012-09-16,28
2012-09-23,30
2012-09-30,31
2012-10-07,34
2012-10-14,32
2012-10-21,30
2012-10-28,31
2012-11-04,34
2012-11-11,33
2012-11-18,35
2012-11-25,31
2012-12-02,39
2012-12-09,33
2012-12-16,46
2012-12-23,35
2012-12-30,43
