date,new york unemployment
2008-01-06,33
2008-01-13,32
2008-01-20,32
2008-01-27,31
2008-02-03,29
2008-02-10,30
2008-02-17,28
2008-02-24,30
2008-03-02,33
2008-03-09,30
2008-03-16,31
2008-03-23,28
2008-03-30,31
2008-04-06,30
2008-04-13,26
2008-04-20,26
2008-04-27,24
2008-05-04,24
2008-05-11,29
2008-05-18,31
2008-05-25,25
2008-06-01,30
2008-06-08,28
2008-06-15,30
2008-06-22,31
2008-06-29,33
2008-07-06,32
2008-07-13,36
2008-07-20,40
2008-07-27,42
2008-08-03,39
2008-08-10,30
2008-08-17,34
2008-08-24,37
2008-08-31,41
2008-09-07,34
2008-09-14,35
2008-09-21,35
2008-09-28,38
2008-10-05,42
2008-10-12,42
2008-10-19,40
2008-10-26,40
2008-11-02,42
2008-11-09,48
2008-11-16,55
2008-11-23,51
2008-11-30,52
2008-12-07,56
2008-12-14,55
2008-12-21,57
2008-12-28,60
2009-01-04,77
2009-01-11,70
2009-01-18,65
2009-01-25,68
2009-02-01,68
2009-02-08,60
2009-02-15,69
2009-02-22,83
2009-03-01,70
2009-03-08,72
2009-03-15,62
2009-03-22,67
2009-03-29,68
2009-04-05,71
2009-04-12,62
2009-04-19,62
2009-04-26,71
2009-05-03,61
2009-05-10,61
2009-05-17,67
2009-05-24,64
2009-05-31,54
2009-06-07,57
2009-06-14,59
2009-06-21,66
2009-06-28,69
2009-07-05,72
2009-07-12,72
2009-07-19,68
2009-07-26,73
2009-08-02,69
2009-08-09,69
2009-08-16,67
2009-08-23,63
2009-08-30,63
2009-09-06,64
2009-09-13,62
2009-09-20,63
2009-09-27,70
2009-10-04,88
2009-10-11,76
2009-10-18,61
2009-10-25,66
2009-11-01,79
2009-11-08,92
2009-11-15,69
2009-11-22,60
2009-11-29,64
2009-12-06,63
2009-12-13,63
2009-12-20,81
2009-12-27,68
2010-01-03,74
2010-01-10,71
2010-01-17,65
2010-01-24,67
2010-01-31,67
2010-02-07,61
2010-02-14,63
2010-02-21,68
2010-02-28,66
2010-03-07,60
2010-03-14,62
2010-03-21,59
2010-03-28,100
2010-04-04,57
2010-04-11,67
2010-04-18,56
2010-04-25,51
2010-05-02,51
2010-05-09,53
2010-05-16,57
2010-05-23,50
2010-05-30,51
2010-06-06,54
2010-06-13,63
2010-06-20,58
2010-06-27,63
2010-07-04,57
2010-07-11,63
2010-07-18,82
2010-07-25,52
2010-08-01,45
2010-08-08,40
2010-08-15,46
2010-08-22,41
2010-08-29,45
2010-09-05,41
2010-09-12,43
2010-09-19,42
2010-09-26,39
2010-10-03,43
2010-10-10,42
2010-10-17,39
2010-10-24,39
2010-10-31,46
2010-11-07,46
2010-11-14,43
2010-11-21,37
2010-11-28,46
2010-12-05,54
2010-12-12,62
2010-12-19,56
2010-12-26,45
2011-01-02,56
2011-01-09,47
2011-01-16,54
2011-01-23,48
2011-01-30,52
2011-02-06,52
2011-02-13,50
2011-02-20,40
2011-02-27,44
2011-03-06,41
2011-03-13,39
2011-03-20,38
2011-03-27,36
2011-04-03,38
2011-04-10,36
2011-04-17,37
2011-04-24,34
2011-05-01,37
2011-05-08,32
2011-05-15,32
2011-05-22,36
2011-05-29,37
2011-06-05,33
2011-06-12,36
2011-06-19,36
2011-06-26,38
2011-07-03,42
2011-07-10,36
2011-07-17,38
2011-07-24,37
2011-07-31,42
2011-08-07,41
2011-08-14,37
2011-08-21,36
2011-08-28,35
2011-09-04,40
2011-09-11,39
2011-09-18,34
2011-09-25,32
2011-10-02,37
2011-10-09,36
2011-10-16,37
2011-10-23,35
2011-10-30,32
2011-11-06,31
2011-11-13,31
2011-11-20,32
2011-11-27,33
2011-12-04,36
2011-12-11,33
2011-12-18,37
2011-12-25,40
2012-01-01,45
2012-01-08,43
2012-01-15,39
2012-01-22,37
2012-01-29,38
2012-02-05,33
2012-02-12,34
2012-02-19,34
2012-02-26,34
2012-03-04,34
2012-03-11,31
2012-03-18,33
2012-03-25,31
2012-04-01,31
2012-04-08,30
2012-04-15,32
2012-04-22,28
2012-04-29,28
2012-05-06,29
2012-05-13,29
2012-05-20,30
2012-05-27,32
2012-06-03,30
2012-06-10,35
2012-06-17,29
2012-06-24,31
2012-07-01,33
2012-07-08,35
2012-07-15,33
2012-07-22,41
2012-07-29,33
2012-08-05,29
2012-08-12,30
2012-08-19,28
2012-08-26,29
2012-09-02,37
2012-09-09,26
2012-09-16,28
2012-09-23,29
2012-09-30,28
2012-10-07,30
2012-10-14,28
2012-10-21,27
2012-10-28,28
2012-11-04,34
2012-11-11,32
2012-11-18,29
2012-11-25,28
2012-12-02,34
2012-12-09,29
2012-12-16,38
2012-12-23,29
2012-12-30,40
