date,unemployment florida
2008-01-06,25
2008-01-13,27
2008-01-20,24
2008-01-27,27
2008-02-03,25
2008-02-10,19
2008-02-17,24
2008-02-24,23
2008-03-02,22
2008-03-09,20
2008-03-16,20
2008-03-23,22
2008-03-30,23
2008-04-06,27
2008-04-13,24
2008-04-20,24
2008-04-27,25
2008-05-04,25
2008-05-11,24
2008-05-18,25
2008-05-25,24
2008-06-01,27
2008-06-08,31
2008-06-15,30
2008-06-22,30
2008-06-29,33
2008-07-06,36
2008-07-13,39
2008-07-20,33
2008-07-27,35
2008-08-03,37
2008-08-10,33
2008-08-17,32
2008-08-24,34
2008-08-31,35
2008-09-07,35
2008-09-14,36
2008-09-21,36
2008-09-28,37
2008-10-05,42
2008-10-12,38
2008-10-19,37
2008-10-26,38
2008-11-02,40
2008-11-09,39
2008-11-16,46
2008-11-23,42
2008-11-30,50
2008-12-07,44
2008-12-14,51
2008-12-21,38
2008-12-28,51
2009-01-04,61
2009-01-11,63
2009-01-18,58
2009-01-25,62
2009-02-01,60
2009-02-08,54
2009-02-15,57
2009-02-22,60
2009-03-01,53
2009-03-08,51
2009-03-15,50
2009-03-22,54
2009-03-29,51
2009-04-05,51
2009-04-12,49
2009-04-19,48
2009-04-26,51
2009-05-03,52
2009-05-10,56
2009-05-17,56
2009-05-24,59
2009-05-31,60
2009-06-07,60
2009-06-14,65
2009-06-21,59
2009-06-28,60
2009-07-05,70
2009-07-12,69
2009-07-19,63
2009-07-26,68
2009-08-02,58
2009-08-09,69
2009-08-16,67
2009-08-23,68
2009-08-30,66
2009-09-06,63
2009-09-13,55
2009-09-20,62
2009-09-27,60
2009-10-04,64
2009-10-11,60
2009-10-18,59
2009-10-25,58
2009-11-01,69
2009-11-08,67
2009-11-15,62
2009-11-22,49
2009-11-29,69
2009-12-06,56
2009-12-13,62
2009-12-20,60
2009-12-27,62
2010-01-03,68
2010-01-10,64
2010-01-17,66
2010-01-24,66
2010-01-31,58
2010-02-07,52
2010-02-14,56
2010-02-21,56
2010-02-28,63
2010-03-07,52
2010-03-14,60
2010-03-21,56
2010-03-28,57
2010-04-04,55
2010-04-11,65
2010-04-18,60
2010-04-25,56
2010-05-02,57
2010-05-09,64
2010-05-16,56
2010-05-23,62
2010-05-30,65
2010-06-06,69
2010-06-13,64
2010-06-20,67
2010-06-27,73
2010-07-04,65
2010-07-11,74
2010-07-18,100
2010-07-25,87
2010-08-01,82
2010-08-08,91
2010-08-15,69
2010-08-22,68
2010-08-29,57
2010-09-05,58
2010-09-12,52
2010-09-19,54
2010-09-26,48
2010-10-03,62
2010-10-10,45
2010-10-17,52
2010-10-24,49
2010-10-31,52
2010-11-07,47
2010-11-14,56
2010-11-21,42
2010-11-28,64
2010-12-05,56
2010-12-12,56
2010-12-19,54
2010-12-26,62
2011-01-02,77
2011-01-09,70
2011-01-16,70
2011-01-23,60
2011-01-30,65
2011-02-06,57
2011-02-13,55
2011-02-20,55
2011-02-27,45
2011-03-06,48
2011-03-13,45
2011-03-20,42
2011-03-27,51
2011-04-03,51
2011-04-10,55
2011-04-17,59
2011-04-24,53
2011-05-01,56
2011-05-08,52
2011-05-15,56
2011-05-22,58
2011-05-29,62
2011-06-05,63
2011-06-12,65
2011-06-19,61
2011-06-26,65
2011-07-03,63
2011-07-10,66
2011-07-17,63
2011-07-24,65
2011-07-31,80
2011-08-07,72
2011-08-14,72
2011-08-21,68
2011-08-28,67
2011-09-04,63
2011-09-11,66
2011-09-18,58
2011-09-25,60
2011-10-02,89
2011-10-09,79
2011-10-16,66
2011-10-23,62
2011-10-30,64
2011-11-06,56
2011-11-13,56
2011-11-20,49
2011-11-27,57
2011-12-04,50
2011-12-11,49
2011-12-18,50
2011-12-25,57
2012-01-01,64
2012-01-08,62
2012-01-15,64
2012-01-22,57
2012-01-29,61
2012-02-05,53
2012-02-12,49
2012-02-19,51
2012-02-26,44
2012-03-04,50
2012-03-11,46
2012-03-18,47
2012-03-25,46
2012-04-01,48
2012-04-08,48
2012-04-15,52
2012-04-22,45
2012-04-29,52
2012-05-06,48
2012-05-13,49
2012-05-20,53
2012-05-27,50
2012-06-03,53
2012-06-10,54
2012-06-17,54
2012-06-24,48
2012-07-01,55
2012-07-08,54
2012-07-15,53
2012-07-22,51
2012-07-29,53
2012-08-05,51
2012-08-12,50
2012-08-19,47
2012-08-26,45
2012-09-02,46
2012-09-09,47
2012-09-16,43
2012-09-23,42
2012-09-30,46
2012-10-07,44
2012-10-14,41
2012-10-21,42
2012-10-28,42
2012-11-04,45
2012-11-11,45
2012-11-18,40
2012-11-25,47
2012-12-02,43
2012-12-09,43
2012-12-16,44
2012-12-23,47
2012-12-30,64
