date,ohio unemployment
2008-01-06,21
2008-01-13,21
2008-01-20,27
2008-01-27,22
2008-02-03,21
2008-02-10,20
2008-02-17,18
2008-02-24,19
2008-03-02,19
2008-03-09,17
2008-03-16,17
2008-03-23,18
2008-03-30,16
2008-04-06,18
2008-04-13,16
2008-04-20,18
2008-04-27,13
2008-05-04,17
2008-05-11,15
2008-05-18,19
2008-05-25,15
2008-06-01,15
2008-06-08,19
2008-06-15,16
2008-06-22,18
2008-06-29,20
2008-07-06,20
2008-07-13,20
2008-07-20,22
2008-07-27,21
2008-08-03,25
2008-08-10,23
2008-08-17,21
2008-08-24,22
2008-08-31,25
2008-09-07,21
2008-09-14,20
2008-09-21,22
2008-09-28,24
2008-10-05,21
2008-10-12,21
2008-10-19,24
2008-10-26,28
2008-11-02,26
2008-11-09,31
2008-11-16,39
2008-11-23,36
2008-11-30,39
2008-12-07,40
2008-12-14,41
2008-12-21,52
2008-12-28,55
2009-01-04,63
2009-01-11,63
2009-01-18,61
2009-01-25,56
2009-02-01,57
2009-02-08,54
2009-02-15,56
2009-02-22,49
2009-03-01,56
2009-03-08,51
2009-03-15,51
2009-03-22,47
2009-03-29,50
2009-04-05,51
2009-04-12,54
2009-04-19,52
2009-04-26,54
2009-05-03,53
2009-05-10,65
2009-05-17,51
2009-05-24,50
2009-05-31,44
2009-06-07,49
2009-06-14,51
2009-06-21,49
2009-06-28,55
2009-07-05,55
2009-07-12,60
2009-07-19,55
2009-07-26,50
2009-08-02,51
2009-08-09,58
2009-08-16,47
2009-08-23,53
2009-08-30,46
2009-09-06,52
2009-09-13,46
2009-09-20,49
2009-09-27,52
2009-10-04,50
2009-10-11,54
2009-10-18,56
2009-10-25,46
2009-11-01,50
2009-11-08,58
2009-11-15,51
2009-11-22,53
2009-11-29,68
2009-12-06,70
2009-12-13,100
2009-12-20,72
2009-12-27,70
2010-01-03,65
2010-01-10,71
2010-01-17,81
2010-01-24,82
2010-01-31,65
2010-02-07,63
2010-02-14,64
2010-02-21,59
2010-02-28,61
2010-03-07,56
2010-03-14,55
2010-03-21,53
2010-03-28,53
2010-04-04,55
2010-04-11,59
2010-04-18,57
2010-04-25,51
2010-05-02,45
2010-05-09,47
2010-05-16,55
2010-05-23,44
2010-05-30,46
2010-06-06,47
2010-06-13,52
2010-06-20,57
2010-06-27,57
2010-07-04,48
2010-07-11,49
2010-07-18,70
2010-07-25,65
2010-08-01,55
2010-08-08,57
2010-08-15,44
2010-08-22,40
2010-08-29,38
2010-09-05,41
2010-09-12,57
2010-09-19,38
2010-09-26,35
2010-10-03,35
2010-10-10,36
2010-10-17,38
2010-10-24,34
2010-10-31,37
2010-11-07,50
2010-11-14,41
2010-11-21,37
2010-11-28,46
2010-12-05,50
2010-12-12,54
2010-12-19,54
2010-12-26,48
2011-01-02,63
2011-01-09,65
2011-01-16,69
2011-01-23,83
2011-01-30,57
2011-02-06,55
2011-02-13,60
2011-02-20,48
2011-02-27,45
2011-03-06,45
2011-03-13,42
2011-03-20,42
2011-03-27,47
2011-04-03,48
2011-04-10,46
2011-04-17,47
2011-04-24,44
2011-05-01,46
2011-05-08,52
2011-05-15,43
2011-05-22,41
2011-05-29,46
2011-06-05,46
2011-06-12,43
2011-06-19,44
2011-06-26,44
2011-07-03,50
2011-07-10,47
2011-07-17,46
2011-07-24,44
2011-07-31,44
2011-08-07,44
2011-08-14,44
2011-08-21,41
2011-08-28,42
2011-09-04,43
2011-09-11,40
2011-09-18,40
2011-09-25,38
2011-10-02,39
2011-10-09,40
2011-10-16,40
2011-10-23,36
2011-10-30,37
2011-11-06,40
2011-11-13,39
2011-11-20,38
2011-11-27,41
2011-12-04,41
2011-12-11,46
2011-12-18,51
2011-12-25,56
2012-01-01,58
2012-01-08,51
2012-01-15,62
2012-01-22,59
2012-01-29,51
2012-02-05,44
2012-02-12,43
2012-02-19,45
2012-02-26,41
2012-03-04,38
2012-03-11,38
2012-03-18,47
2012-03-25,40
2012-04-01,36
2012-04-08,44
2012-04-15,41
2012-04-22,35
2012-04-29,39
2012-05-06,35
2012-05-13,33
2012-05-20,39
2012-05-27,35
2012-06-03,34
2012-06-10,36
2012-06-17,32
2012-06-24,28
2012-07-01,30
2012-07-08,27
2012-07-15,29
2012-07-22,30
2012-07-29,28
2012-08-05,28
2012-08-12,29
2012-08-19,30
2012-08-26,32
2012-09-02,30
2012-09-09,36
2012-09-16,26
2012-09-23,28
2012-09-30,27
2012-10-07,28
2012-10-14,31
2012-10-21,26
2012-10-28,27
2012-11-04,28
2012-11-11,31
2012-11-18,27
2012-11-25,24
2012-12-02,31
2012-12-09,34
2012-12-16,43
2012-12-23,40
2012-12-30,48
