date,unemployment
2008-01-06,23
2008-01-13,22
2008-01-20,22
2008-01-27,22
2008-02-03,20
2008-02-10,19
2008-02-17,19
2008-02-24,19
2008-03-02,19
2008-03-09,18
2008-03-16,18
2008-03-23,18
2008-03-30,20
2008-04-06,20
2008-04-13,20
2008-04-20,20
2008-04-27,19
2008-05-04,18
2008-05-11,18
2008-05-18,18
2008-05-25,18
2008-06-01,20
2008-06-08,21
2008-06-15,22
2008-06-22,22
2008-06-29,24
2008-07-06,24
2008-07-13,24
2008-07-20,25
2008-07-27,25
2008-08-03,24
2008-08-10,23
2008-08-17,24
2008-08-24,23
2008-08-31,27
2008-09-07,25
2008-09-14,26
2008-09-21,27
2008-09-28,29
2008-10-05,30
2008-10-12,30
2008-10-19,32
2008-10-26,32
2008-11-02,34
2008-11-09,37
2008-11-16,46
2008-11-23,37
2008-11-30,45
2008-12-07,44
2008-12-14,42
2008-12-21,41
2008-12-28,48
2009-01-04,61
2009-01-11,53
2009-01-18,54
2009-01-25,57
2009-02-01,57
2009-02-08,54
2009-02-15,54
2009-02-22,56
2009-03-01,56
2009-03-08,54
2009-03-15,51
2009-03-22,49
2009-03-29,52
2009-04-05,50
2009-04-12,50
2009-04-19,47
2009-04-26,48
2009-05-03,47
2009-05-10,47
2009-05-17,48
2009-05-24,48
2009-05-31,49
2009-06-07,48
2009-06-14,50
2009-06-21,51
2009-06-28,52
2009-07-05,54
2009-07-12,55
2009-07-19,52
2009-07-26,51
2009-08-02,53
2009-08-09,51
2009-08-16,48
2009-08-23,49
2009-08-30,49
2009-09-06,49
2009-09-13,48
2009-09-20,52
2009-09-27,52
2009-10-04,57
2009-10-11,54
2009-10-18,53
2009-10-25,53
2009-11-01,64
2009-11-08,59
2009-11-15,53
2009-11-22,48
2009-11-29,56
2009-12-06,52
2009-12-13,55
2009-12-20,57
2009-12-27,58
2010-01-03,62
2010-01-10,59
2010-01-17,61
2010-01-24,59
2010-01-31,55
2010-02-07,51
2010-02-14,54
2010-02-21,55
2010-02-28,64
2010-03-07,54
2010-03-14,52
2010-03-21,51
2010-03-28,58
2010-04-04,52
2010-04-11,63
2010-04-18,53
2010-04-25,48
2010-05-02,48
2010-05-09,47
2010-05-16,48
2010-05-23,48
2010-05-30,50
2010-06-06,53
2010-06-13,60
2010-06-20,70
2010-06-27,74
2010-07-04,62
2010-07-11,77
2010-07-18,100
2010-07-25,61
2010-08-01,51
2010-08-08,47
2010-08-15,46
2010-08-22,43
2010-08-29,43
2010-09-05,42
2010-09-12,43
2010-09-19,42
2010-09-26,41
2010-10-03,43
2010-10-10,41
2010-10-17,41
2010-10-24,40
2010-10-31,43
2010-11-07,42
2010-11-14,46
2010-11-21,40
2010-11-28,59
2010-12-05,63
2010-12-12,60
2010-12-19,49
2010-12-26,48
2011-01-02,62
2011-01-09,57
2011-01-16,58
2011-01-23,58
2011-01-30,53
2011-02-06,51
2011-02-13,48
2011-02-20,46
2011-02-27,46
2011-03-06,44
2011-03-13,41
2011-03-20,43
2011-03-27,44
2011-04-03,46
2011-04-10,45
2011-04-17,43
2011-04-24,43
2011-05-01,42
2011-05-08,42
2011-05-15,41
2011-05-22,42
2011-05-29,45
2011-06-05,43
2011-06-12,44
2011-06-19,43
2011-06-26,45
2011-07-03,49
2011-07-10,47
2011-07-17,45
2011-07-24,44
2011-07-31,47
2011-08-07,45
2011-08-14,44
2011-08-21,43
2011-08-28,43
2011-09-04,45
2011-09-11,44
2011-09-18,42
2011-09-25,42
2011-10-02,46
2011-10-09,45
2011-10-16,43
2011-10-23,42
2011-10-30,43
2011-11-06,44
2011-11-13,43
2011-11-20,38
2011-11-27,46
2011-12-04,44
2011-12-11,47
2011-12-18,46
2011-12-25,48
2012-01-01,55
2012-01-08,52
2012-01-15,52
2012-01-22,52
2012-01-29,48
2012-02-05,45
2012-02-12,44
2012-02-19,44
2012-02-26,43
2012-03-04,41
2012-03-11,41
2012-03-18,42
2012-03-25,40
2012-04-01,40
2012-04-08,40
2012-04-15,40
2012-04-22,39
2012-04-29,40
2012-05-06,39
2012-05-13,39
2012-05-20,40
2012-05-27,40
2012-06-03,40
2012-06-10,40
2012-06-17,39
2012-06-24,40
2012-07-01,43
2012-07-08,43
2012-07-15,41
2012-07-22,41
2012-07-29,41
2012-08-05,37
2012-08-12,39
2012-08-19,38
2012-08-26,38
2012-09-02,45
2012-09-09,38
2012-09-16,37
2012-09-23,37
2012-09-30,43
2012-10-07,41
2012-10-14,39
2012-10-21,37
2012-10-28,40
2012-11-04,44
2012-11-11,43
2012-11-18,35
2012-11-25,40
2012-12-02,42
2012-12-09,39
2012-12-16,42
2012-12-23,41
2012-12-30,56
