date,unemployment benefits
2008-01-06,14
2008-01-13,15
2008-01-20,18
2008-01-27,16
2008-02-03,14
2008-02-10,14
2008-02-17,15
2008-02-24,13
2008-03-02,14
2008-03-09,14
2008-03-16,14
2008-03-23,15
2008-03-30,16
2008-04-06,16
2008-04-13,15
2008-04-20,16
2008-04-27,15
2008-05-04,17
2008-05-11,14
2008-05-18,16
2008-05-25,15
2008-06-01,18
2008-06-08,20
2008-06-15,21
2008-06-22,19
2008-06-29,25
2008-07-06,19
2008-07-13,18
2008-07-20,16
2008-07-27,18
2008-08-03,18
2008-08-10,15
2008-08-17,19
2008-08-24,21
2008-08-31,25
2008-09-07,26
2008-09-14,27
2008-09-21,27
2008-09-28,30
2008-10-05,30
2008-10-12,34
2008-10-19,35
2008-10-26,31
2008-11-02,38
2008-11-09,43
2008-11-16,60
2008-11-23,38
2008-11-30,34
2008-12-07,34
2008-12-14,39
2008-12-21,41
2008-12-28,46
2009-01-04,63
2009-01-11,59
2009-01-18,54
2009-01-25,63
2009-02-01,63
2009-02-08,55
2009-02-15,62
2009-02-22,61
2009-03-01,49
2009-03-08,46
2009-03-15,41
2009-03-22,41
2009-03-29,42
2009-04-05,45
2009-04-12,42
2009-04-19,38
2009-04-26,37
2009-05-03,37
2009-05-10,38
2009-05-17,38
2009-05-24,43
2009-05-31,40
2009-06-07,41
2009-06-14,42
2009-06-21,44
2009-06-28,41
2009-07-05,46
2009-07-12,45
2009-07-19,45
2009-07-26,42
2009-08-02,52
2009-08-09,45
2009-08-16,43
2009-08-23,43
2009-08-30,42
2009-09-06,43
2009-09-13,43
2009-09-20,55
2009-09-27,49
2009-10-04,59
2009-10-11,56
2009-10-18,51
2009-10-25,52
2009-11-01,67
2009-11-08,61
2009-11-15,47
2009-11-22,42
2009-11-29,44
2009-12-06,44
2009-12-13,42
2009-12-20,46
2009-12-27,45
2010-01-03,46
2010-01-10,42
2010-01-17,41
2010-01-24,41
2010-01-31,39
2010-02-07,38
2010-02-14,42
2010-02-21,49
2010-02-28,62
2010-03-07,46
2010-03-14,41
2010-03-21,40
2010-03-28,57
2010-04-04,43
2010-04-11,61
2010-04-18,44
2010-04-25,37
2010-05-02,36
2010-05-09,37
2010-05-16,36
2010-05-23,39
2010-05-30,37
2010-06-06,45
2010-06-13,52
2010-06-20,68
2010-06-27,68
2010-07-04,52
2010-07-11,65
2010-07-18,100
2010-07-25,49
2010-08-01,35
2010-08-08,31
2010-08-15,29
2010-08-22,29
2010-08-29,27
2010-09-05,26
2010-09-12,27
2010-09-19,26
2010-09-26,25
2010-10-03,26
2010-10-10,24
2010-10-17,25
2010-10-24,24
2010-10-31,27
2010-11-07,27
2010-11-14,31
2010-11-21,24
2010-11-28,50
2010-12-05,53
2010-12-12,47
2010-12-19,30
2010-12-26,28
2011-01-02,35
2011-01-09,32
2011-01-16,35
2011-01-23,31
2011-01-30,31
2011-02-06,31
2011-02-13,30
2011-02-20,26
2011-02-27,27
2011-03-06,27
2011-03-13,23
2011-03-20,25
2011-03-27,27
2011-04-03,29
2011-04-10,26
2011-04-17,24
2011-04-24,22
2011-05-01,22
2011-05-08,24
2011-05-15,22
2011-05-22,23
2011-05-29,25
2011-06-05,25
2011-06-12,24
2011-06-19,24
2011-06-26,24
2011-07-03,25
2011-07-10,24
2011-07-17,23
2011-07-24,24
2011-07-31,28
2011-08-07,27
2011-08-14,25
2011-08-21,22
2011-08-28,23
2011-09-04,26
2011-09-11,25
2011-09-18,23
2011-09-25,22
2011-10-02,24
2011-10-09,23
2011-10-16,22
2011-10-23,20
2011-10-30,20
2011-11-06,19
2011-11-13,19
2011-11-20,18
2011-11-27,22
2011-12-04,22
2011-12-11,25
2011-12-18,24
2011-12-25,22
2012-01-01,26
2012-01-08,23
2012-01-15,23
2012-01-22,21
2012-01-29,22
2012-02-05,19
2012-02-12,23
2012-02-19,22
2012-02-26,19
2012-03-04,17
2012-03-11,18
2012-03-18,17
2012-03-25,17
2012-04-01,16
2012-04-08,17
2012-04-15,17
2012-04-22,16
2012-04-29,17
2012-05-06,17
2012-05-13,18
2012-05-20,17
2012-05-27,20
2012-06-03,18
2012-06-10,18
2012-06-17,18
2012-06-24,19
2012-07-01,19
2012-07-08,21
2012-07-15,19
2012-07-22,21
2012-07-29,19
2012-08-05,17
2012-08-12,18
2012-08-19,18
2012-08-26,16
2012-09-02,23
2012-09-09,17
2012-09-16,17
2012-09-23,17
2012-09-30,18
2012-10-07,19
2012-10-14,17
2012-10-21,18
2012-10-28,18
2012-11-04,22
2012-11-11,21
2012-11-18,17
2012-11-25,22
2012-12-02,28
2012-12-09,28
2012-12-16,37
2012-12-23,32
2012-12-30,52
