date,unemployment number
2008-01-06,14
2008-01-13,11
2008-01-20,13
2008-01-27,10
2008-02-03,8
2008-02-10,8
2008-02-17,11
2008-02-24,8
2008-03-02,11
2008-03-09,9
2008-03-16,9
2008-03-23,8
2008-03-30,12
2008-04-06,12
2008-04-13,15
2008-04-20,13
2008-04-27,11
2008-05-04,10
2008-05-11,10
2008-05-18,10
2008-05-25,7
2008-06-01,9
2008-06-08,15
2008-06-15,11
2008-06-22,13
2008-06-29,13
2008-07-06,13
2008-07-13,13
2008-07-20,15
2008-07-27,14
2008-08-03,20
2008-08-10,8
2008-08-17,13
2008-08-24,14
2008-08-31,14
2008-09-07,15
2008-09-14,11
2008-09-21,18
2008-09-28,14
2008-10-05,16
2008-10-12,19
2008-10-19,13
2008-10-26,18
2008-11-02,19
2008-11-09,29
2008-11-16,23
2008-11-23,22
2008-11-30,31
2008-12-07,33
2008-12-14,24
2008-12-21,25
2008-12-28,33
2009-01-04,46
2009-01-11,36
2009-01-18,30
2009-01-25,31
2009-02-01,26
2009-02-08,30
2009-02-15,35
2009-02-22,29
2009-03-01,35
2009-03-08,35
2009-03-15,31
2009-03-22,32
2009-03-29,29
2009-04-05,33
2009-04-12,32
2009-04-19,27
2009-04-26,31
2009-05-03,27
2009-05-10,27
2009-05-17,28
2009-05-24,30
2009-05-31,31
2009-06-07,26
2009-06-14,32
2009-06-21,35
2009-06-28,39
2009-07-05,34
2009-07-12,40
2009-07-19,38
2009-07-26,34
2009-08-02,38
2009-08-09,32
2009-08-16,35
2009-08-23,35
2009-08-30,34
2009-09-06,35
2009-09-13,38
2009-09-20,35
2009-09-27,37
2009-10-04,38
2009-10-11,35
2009-10-18,32
2009-10-25,35
2009-11-01,44
2009-11-08,51
2009-11-15,39
2009-11-22,33
2009-11-29,44
2009-12-06,46
2009-12-13,41
2009-12-20,45
2009-12-27,50
2010-01-03,57
2010-01-10,52
2010-01-17,47
2010-01-24,47
2010-01-31,49
2010-02-07,37
2010-02-14,46
2010-02-21,41
2010-02-28,44
2010-03-07,33
2010-03-14,40
2010-03-21,35
2010-03-28,39
2010-04-04,43
2010-04-11,40
2010-04-18,36
2010-04-25,38
2010-05-02,34
2010-05-09,34
2010-05-16,30
2010-05-23,35
2010-05-30,36
2010-06-06,40
2010-06-13,36
2010-06-20,42
2010-06-27,47
2010-07-04,52
2010-07-11,52
2010-07-18,60
2010-07-25,50
2010-08-01,50
2010-08-08,47
2010-08-15,46
2010-08-22,44
2010-08-29,37
2010-09-05,42
2010-09-12,41
2010-09-19,41
2010-09-26,44
2010-10-03,43
2010-10-10,44
2010-10-17,38
2010-10-24,40
2010-10-31,44
2010-11-07,45
2010-11-14,42
2010-11-21,38
2010-11-28,55
2010-12-05,49
2010-12-12,49
2010-12-19,52
2010-12-26,51
2011-01-02,71
2011-01-09,72
2011-01-16,73
2011-01-23,70
2011-01-30,67
2011-02-06,54
2011-02-13,51
2011-02-20,45
2011-02-27,49
2011-03-06,49
2011-03-13,44
2011-03-20,45
2011-03-27,52
2011-04-03,49
2011-04-10,49
2011-04-17,52
2011-04-24,48
2011-05-01,48
2011-05-08,47
2011-05-15,47
2011-05-22,52
2011-05-29,58
2011-06-05,53
2011-06-12,63
2011-06-19,58
2011-06-26,60
2011-07-03,62
2011-07-10,64
2011-07-17,58
2011-07-24,53
2011-07-31,59
2011-08-07,55
2011-08-14,57
2011-08-21,62
2011-08-28,58
2011-09-04,66
2011-09-11,64
2011-09-18,56
2011-09-25,61
2011-10-02,67
2011-10-09,64
2011-10-16,61
2011-10-23,60
2011-10-30,60
2011-11-06,60
2011-11-13,61
2011-11-20,54
2011-11-27,73
2011-12-04,67
2011-12-11,69
2011-12-18,66
2011-12-25,81
2012-01-01,95
2012-01-08,83
2012-01-15,89
2012-01-22,84
2012-01-29,76
2012-02-05,66
2012-02-12,62
2012-02-19,62
2012-02-26,65
2012-03-04,59
2012-03-11,62
2012-03-18,71
2012-03-25,60
2012-04-01,64
2012-04-08,64
2012-04-15,67
2012-04-22,57
2012-04-29,62
2012-05-06,60
2012-05-13,67
2012-05-20,63
2012-05-27,62
2012-06-03,61
2012-06-10,67
2012-06-17,68
2012-06-24,68
2012-07-01,81
2012-07-08,81
2012-07-15,76
2012-07-22,72
2012-07-29,78
2012-08-05,68
2012-08-12,78
2012-08-19,69
2012-08-26,68
2012-09-02,84
2012-09-09,77
2012-09-16,64
2012-09-23,67
2012-09-30,84
2012-10-07,77
2012-10-14,71
2012-10-21,67
2012-10-28,73
2012-11-04,87
2012-11-11,78
2012-11-18,62
2012-11-25,72
2012-12-02,71
2012-12-09,69
2012-12-16,83
2012-12-23,69
2012-12-30,100
