date,nj unemployment
2008-01-06,17
2008-01-13,15
2008-01-20,20
2008-01-27,20
2008-02-03,17
2008-02-10,18
2008-02-17,18
2008-02-24,16
2008-03-02,17
2008-03-09,16
2008-03-16,13
2008-03-23,18
2008-03-30,17
2008-04-06,21
2008-04-13,18
2008-04-20,16
2008-04-27,17
2008-05-04,18
2008-05-11,15
2008-05-18,17
2008-05-25,13
2008-06-01,20
2008-06-08,17
2008-06-15,22
2008-06-22,25
2008-06-29,28
2008-07-06,24
2008-07-13,28
2008-07-20,25
2008-07-27,26
2008-08-03,29
2008-08-10,30
2008-08-17,26
2008-08-24,22
2008-08-31,26
2008-09-07,27
2008-09-14,25
2008-09-21,28
2008-09-28,26
2008-10-05,33
2008-10-12,31
2008-10-19,30
2008-10-26,32
2008-11-02,30
2008-11-09,40
2008-11-16,45
2008-11-23,43
2008-11-30,50
2008-12-07,45
2008-12-14,50
2008-12-21,48
2008-12-28,49
2009-01-04,56
2009-01-11,52
2009-01-18,46
2009-01-25,49
2009-02-01,49
2009-02-08,46
2009-02-15,49
2009-02-22,40
2009-03-01,45
2009-03-08,44
2009-03-15,44
2009-03-22,45
2009-03-29,43
2009-04-05,37
2009-04-12,35
2009-04-19,43
2009-04-26,41
2009-05-03,36
2009-05-10,46
2009-05-17,40
2009-05-24,40
2009-05-31,45
2009-06-07,44
2009-06-14,43
2009-06-21,46
2009-06-28,50
2009-07-05,49
2009-07-12,46
2009-07-19,47
2009-07-26,45
2009-08-02,50
2009-08-09,44
2009-08-16,51
2009-08-23,42
2009-08-30,44
2009-09-06,48
2009-09-13,47
2009-09-20,56
2009-09-27,51
2009-10-04,47
2009-10-11,46
2009-10-18,41
2009-10-25,46
2009-11-01,54
2009-11-08,51
2009-11-15,48
2009-11-22,42
2009-11-29,47
2009-12-06,44
2009-12-13,42
2009-12-20,41
2009-12-27,59
2010-01-03,65
2010-01-10,52
2010-01-17,54
2010-01-24,50
2010-01-31,49
2010-02-07,43
2010-02-14,56
2010-02-21,47
2010-02-28,54
2010-03-07,46
2010-03-14,52
2010-03-21,48
2010-03-28,53
2010-04-04,54
2010-04-11,56
2010-04-18,48
2010-04-25,45
2010-05-02,43
2010-05-09,48
2010-05-16,42
2010-05-23,43
2010-05-30,45
2010-06-06,45
2010-06-13,50
2010-06-20,61
2010-06-27,77
2010-07-04,56
2010-07-11,48
2010-07-18,66
2010-07-25,58
2010-08-01,52
2010-08-08,46
2010-08-15,49
2010-08-22,44
2010-08-29,40
2010-09-05,42
2010-09-12,43
2010-09-19,40
2010-09-26,36
2010-10-03,39
2010-10-10,42
2010-10-17,40
2010-10-24,38
2010-10-31,38
2010-11-07,39
2010-11-14,39
2010-11-21,34
2010-11-28,57
2010-12-05,51
2010-12-12,48
2010-12-19,51
2010-12-26,51
2011-01-02,69
2011-01-09,59
2011-01-16,59
2011-01-23,58
2011-01-30,63
2011-02-06,51
2011-02-13,46
2011-02-20,49
2011-02-27,51
2011-03-06,43
2011-03-13,47
2011-03-20,39
2011-03-27,46
2011-04-03,47
2011-04-10,52
2011-04-17,51
2011-04-24,45
2011-05-01,43
2011-05-08,44
2011-05-15,46
2011-05-22,48
2011-05-29,50
2011-06-05,52
2011-06-12,51
2011-06-19,57
2011-06-26,53
2011-07-03,61
2011-07-10,54
2011-07-17,54
2011-07-24,50
2011-07-31,58
2011-08-07,56
2011-08-14,64
2011-08-21,50
2011-08-28,52
2011-09-04,56
2011-09-11,64
2011-09-18,50
2011-09-25,46
2011-10-02,48
2011-10-09,50
2011-10-16,49
2011-10-23,48
2011-10-30,51
2011-11-06,49
2011-11-13,50
2011-11-20,46
2011-11-27,52
2011-12-04,51
2011-12-11,53
2011-12-18,56
2011-12-25,65
2012-01-01,68
2012-01-08,63
2012-01-15,59
2012-01-22,54
2012-01-29,52
2012-02-05,50
2012-02-12,55
2012-02-19,54
2012-02-26,54
2012-03-04,49
2012-03-11,76
2012-03-18,97
2012-03-25,64
2012-04-01,47
2012-04-08,53
2012-04-15,50
2012-04-22,47
2012-04-29,45
2012-05-06,48
2012-05-13,47
2012-05-20,51
2012-05-27,53
2012-06-03,52
2012-06-10,52
2012-06-17,53
2012-06-24,65
2012-07-01,65
2012-07-08,56
2012-07-15,56
2012-07-22,54
2012-07-29,56
2012-08-05,49
2012-08-12,50
2012-08-19,50
2012-08-26,50
2012-09-02,52
2012-09-09,51
2012-09-16,50
2012-09-23,45
2012-09-30,52
2012-10-07,48
2012-10-14,48
2012-10-21,44
2012-10-28,68
2012-11-04,100
2012-11-11,79
2012-11-18,56
2012-11-25,61
2012-12-02,57
2012-12-09,48
2012-12-16,58
2012-12-23,60
2012-12-30,84
