date,texas unemployment,isPartial
2016-01-03,72,False
2016-01-10,68,False
2016-01-17,72,False
2016-01-24,74,False
2016-01-31,70,False
2016-02-07,63,False
2016-02-14,69,False
2016-02-21,63,False
2016-02-28,64,False
2016-03-06,55,False
2016-03-13,55,False
2016-03-20,57,False
2016-03-27,63,False
2016-04-03,60,False
2016-04-10,69,False
2016-04-17,67,False
2016-04-24,58,False
2016-05-01,59,False
2016-05-08,63,False
2016-05-15,65,False
2016-05-22,58,False
2016-05-29,65,False
2016-06-05,60,False
2016-06-12,64,False
2016-06-19,69,False
2016-06-26,69,False
2016-07-03,66,False
2016-07-10,76,False
2016-07-17,66,False
2016-07-24,64,False
2016-07-31,65,False
2016-08-07,65,False
2016-08-14,61,False
2016-08-21,64,False
2016-08-28,63,False
2016-09-04,61,False
2016-09-11,60,False
2016-09-18,58,False
2016-09-25,61,False
2016-10-02,61,False
2016-10-09,67,False
2016-10-16,60,False
2016-10-23,58,False
2016-10-30,60,False
2016-11-06,54,False
2016-11-13,61,False
2016-11-20,48,False
2016-11-27,70,False
2016-12-04,59,False
2016-12-11,60,False
2016-12-18,57,False
2016-12-25,60,False
2017-01-01,72,False
2017-01-08,62,False
2017-01-15,63,False
2017-01-22,63,False
2017-01-29,60,False
2017-02-05,55,False
2017-02-12,51,False
2017-02-19,55,False
2017-02-26,49,False
2017-03-05,54,False
2017-03-12,45,False
2017-03-19,47,False
2017-03-26,44,False
2017-04-02,49,False
2017-04-09,50,False
2017-04-16,50,False
2017-04-23,52,False
2017-04-30,54,False
2017-05-07,52,False
2017-05-14,54,False
2017-05-21,53,False
2017-05-28,56,False
2017-06-04,58,False
2017-06-11,60,False
2017-06-18,59,False
2017-06-25,61,False
2017-07-02,61,False
2017-07-09,64,False
2017-07-16,61,False
2017-07-23,59,False
2017-07-30,57,False
2017-08-06,55,False
2017-08-13,52,False
2017-08-20,49,False
2017-08-27,100,False
2017-09-03,86,False
2017-09-10,82,False
2017-09-17,71,False
2017-09-24,60,False
2017-10-01,56,False
2017-10-08,57,False
2017-10-15,59,False
2017-10-22,54,False
2017-10-29,50,False
2017-11-05,55,False
2017-11-12,50,False
2017-11-19,44,False
2017-11-26,50,False
2017-12-03,50,False
2017-12-10,48,False
2017-12-17,50,False
2017-12-24,51,False
2017-12-31,56,False
2018-01-07,58,False
2018-01-14,56,False
2018-01-21,53,False
2018-01-28,52,False
2018-02-04,50,False
2018-02-11,54,False
2018-02-18,45,False
2018-02-25,46,False
2018-03-04,41,False
2018-03-11,42,False
2018-03-18,46,False
2018-03-25,41,False
2018-04-01,44,False
2018-04-08,43,False
2018-04-15,44,False
2018-04-22,42,False
2018-04-29,43,False
2018-05-06,39,False
2018-05-13,38,False
2018-05-20,41,False
2018-05-27,41,False
2018-06-03,46,False
2018-06-10,50,False
2018-06-17,42,False
2018-06-24,46,False
2018-07-01,46,False
2018-07-08,51,False
2018-07-15,46,False
2018-07-22,48,False
2018-07-29,47,False
2018-08-05,49,False
2018-08-12,46,False
2018-08-19,41,False
2018-08-26,41,False
2018-09-02,41,False
2018-09-09,49,False
2018-09-16,43,False
2018-09-23,39,False
2018-09-30,49,False
2018-10-07,45,False
2018-10-14,39,False
2018-10-21,41,False
2018-10-28,44,False
2018-11-04,40,False
2018-11-11,46,False
2018-11-18,37,False
2018-11-25,49,False
2018-12-02,43,False
2018-12-09,48,False
2018-12-16,51,False
2018-12-23,45,False
2018-12-30,54,False
2019-01-06,61,False
2019-01-13,55,False
2019-01-20,55,False
2019-01-27,48,False
2019-02-03,45,False
2019-02-10,40,False
2019-02-17,44,False
2019-02-24,39,False
2019-03-03,41,False
2019-03-10,36,False
2019-03-17,41,False
2019-03-24,35,False
2019-03-31,38,False
2019-04-07,41,False
2019-04-14,39,False
2019-04-21,41,False
2019-04-28,38,False
2019-05-05,37,False
2019-05-12,40,False
2019-05-19,40,False
2019-05-26,42,False
2019-06-02,52,False
2019-06-09,43,False
2019-06-16,44,False
2019-06-23,44,False
2019-06-30,40,False
2019-07-07,49,False
2019-07-14,51,False
2019-07-21,44,False
2019-07-28,50,False
2019-08-04,43,False
2019-08-11,49,False
2019-08-18,45,False
2019-08-25,41,False
2019-09-01,40,False
2019-09-08,39,False
2019-09-15,38,False
2019-09-22,40,False
2019-09-29,42,False
2019-10-06,41,False
2019-10-13,47,False
2019-10-20,43,False
2019-10-27,41,False
2019-11-03,41,False
2019-11-10,44,False
2019-11-17,45,False
2019-11-24,34,False
2019-12-01,48,False
2019-12-08,46,False
2019-12-15,46,False
2019-12-22,34,False
