date,indiana unemployment,isPartial
2016-01-03,93,False
2016-01-10,78,False
2016-01-17,80,False
2016-01-24,100,False
2016-01-31,76,False
2016-02-07,78,False
2016-02-14,61,False
2016-02-21,52,False
2016-02-28,63,False
2016-03-06,58,False
2016-03-13,59,False
2016-03-20,60,False
2016-03-27,52,False
2016-04-03,54,False
2016-04-10,52,False
2016-04-17,54,False
2016-04-24,39,False
2016-05-01,44,False
2016-05-08,53,False
2016-05-15,44,False
2016-05-22,41,False
2016-05-29,38,False
2016-06-05,43,False
2016-06-12,37,False
2016-06-19,54,False
2016-06-26,46,False
2016-07-03,43,False
2016-07-10,57,False
2016-07-17,51,False
2016-07-24,38,False
2016-07-31,42,False
2016-08-07,51,False
2016-08-14,37,False
2016-08-21,41,False
2016-08-28,35,False
2016-09-04,40,False
2016-09-11,33,False
2016-09-18,37,False
2016-09-25,30,False
2016-10-02,45,False
2016-10-09,42,False
2016-10-16,39,False
2016-10-23,41,False
2016-10-30,43,False
2016-11-06,33,False
2016-11-13,44,False
2016-11-20,38,False
2016-11-27,49,False
2016-12-04,53,False
2016-12-11,54,False
2016-12-18,64,False
2016-12-25,54,False
2017-01-01,60,False
2017-01-08,64,False
2017-01-15,68,False
2017-01-22,69,False
2017-01-29,66,False
2017-02-05,61,False
2017-02-12,57,False
2017-02-19,46,False
2017-02-26,43,False
2017-03-05,51,False
2017-03-12,39,False
2017-03-19,38,False
2017-03-26,51,False
2017-04-02,47,False
2017-04-09,40,False
2017-04-16,40,False
2017-04-23,41,False
2017-04-30,37,False
2017-05-07,41,False
2017-05-14,33,False
2017-05-21,42,False
2017-05-28,39,False
2017-06-04,50,False
2017-06-11,40,False
2017-06-18,43,False
2017-06-25,37,False
2017-07-02,40,False
2017-07-09,44,False
2017-07-16,40,False
2017-07-23,40,False
2017-07-30,49,False
2017-08-06,41,False
2017-08-13,43,False
2017-08-20,31,False
2017-08-27,42,False
2017-09-03,38,False
2017-09-10,33,False
2017-09-17,33,False
2017-09-24,37,False
2017-10-01,31,False
2017-10-08,30,False
2017-10-15,32,False
2017-10-22,51,False
2017-10-29,39,False
2017-11-05,40,False
2017-11-12,35,False
2017-11-19,35,False
2017-11-26,35,False
2017-12-03,52,False
2017-12-10,56,False
2017-12-17,55,False
2017-12-24,60,False
2017-12-31,64,False
2018-01-07,72,False
2018-01-14,74,False
2018-01-21,72,False
2018-01-28,62,False
2018-02-04,57,False
2018-02-11,51,False
2018-02-18,49,False
2018-02-25,42,False
2018-03-04,41,False
2018-03-11,36,False
2018-03-18,44,False
2018-03-25,32,False
2018-04-01,42,False
2018-04-08,32,False
2018-04-15,33,False
2018-04-22,38,False
2018-04-29,27,False
2018-05-06,29,False
2018-05-13,25,False
2018-05-20,32,False
2018-05-27,32,False
2018-06-03,35,False
2018-06-10,37,False
2018-06-17,30,False
2018-06-24,36,False
2018-07-01,34,False
2018-07-08,37,False
2018-07-15,38,False
2018-07-22,28,False
2018-07-29,33,False
2018-08-05,33,False
2018-08-12,33,False
2018-08-19,37,False
2018-08-26,35,False
2018-09-02,37,False
2018-09-09,27,False
2018-09-16,27,False
2018-09-23,32,False
2018-09-30,25,False
2018-10-07,32,False
2018-10-14,34,False
2018-10-21,35,False
2018-10-28,36,False
2018-11-04,37,False
2018-11-11,36,False
2018-11-18,35,False
2018-11-25,38,False
2018-12-02,44,False
2018-12-09,50,False
2018-12-16,46,False
2018-12-23,45,False
2018-12-30,52,False
2019-01-06,53,False
2019-01-13,56,False
2019-01-20,57,False
2019-01-27,62,False
2019-02-03,51,False
2019-02-10,49,False
2019-02-17,51,False
2019-02-24,44,False
2019-03-03,44,False
2019-03-10,38,False
2019-03-17,35,False
2019-03-24,34,False
2019-03-31,42,False
2019-04-07,44,False
2019-04-14,39,False
2019-04-21,37,False
2019-04-28,32,False
2019-05-05,38,False
2019-05-12,29,False
2019-05-19,32,False
2019-05-26,31,False
2019-06-02,34,False
2019-06-09,34,False
2019-06-16,36,False
2019-06-23,40,False
2019-06-30,38,False
2019-07-07,41,False
2019-07-14,44,False
2019-07-21,33,False
2019-07-28,39,False
2019-08-04,36,False
2019-08-11,41,False
2019-08-18,36,False
2019-08-25,31,False
2019-09-01,29,False
2019-09-08,32,False
2019-09-15,27,False
2019-09-22,35,False
2019-09-29,29,False
2019-10-06,34,False
2019-10-13,34,False
2019-10-20,33,False
2019-10-27,35,False
2019-11-03,31,False
2019-11-10,37,False
2019-11-17,36,False
2019-11-24,34,False
2019-12-01,42,False
2019-12-08,39,False
2019-12-15,34,False
2019-12-22,39,False
