date,california unemployment,isPartial
2016-01-03,100,False
2016-01-10,85,False
2016-01-17,86,False
2016-01-24,76,False
2016-01-31,80,False
2016-02-07,69,False
2016-02-14,70,False
2016-02-21,75,False
2016-02-28,72,False
2016-03-06,75,False
2016-03-13,74,False
2016-03-20,69,False
2016-03-27,81,False
2016-04-03,79,False
2016-04-10,79,False
2016-04-17,80,False
2016-04-24,62,False
2016-05-01,67,False
2016-05-08,73,False
2016-05-15,72,False
2016-05-22,63,False
2016-05-29,73,False
2016-06-05,87,False
2016-06-12,67,False
2016-06-19,72,False
2016-06-26,67,False
2016-07-03,72,False
2016-07-10,71,False
2016-07-17,76,False
2016-07-24,75,False
2016-07-31,62,False
2016-08-07,63,False
2016-08-14,61,False
2016-08-21,68,False
2016-08-28,59,False
2016-09-04,58,False
2016-09-11,65,False
2016-09-18,62,False
2016-09-25,68,False
2016-10-02,56,False
2016-10-09,64,False
2016-10-16,70,False
2016-10-23,74,False
2016-10-30,73,False
2016-11-06,72,False
2016-11-13,70,False
2016-11-20,46,False
2016-11-27,71,False
2016-12-04,72,False
2016-12-11,62,False
2016-12-18,69,False
2016-12-25,63,False
2017-01-01,90,False
2017-01-08,86,False
2017-01-15,82,False
2017-01-22,85,False
2017-01-29,77,False
2017-02-05,81,False
2017-02-12,76,False
2017-02-19,72,False
2017-02-26,70,False
2017-03-05,70,False
2017-03-12,69,False
2017-03-19,70,False
2017-03-26,72,False
2017-04-02,73,False
2017-04-09,75,False
2017-04-16,75,False
2017-04-23,60,False
2017-04-30,65,False
2017-05-07,64,False
2017-05-14,66,False
2017-05-21,71,False
2017-05-28,66,False
2017-06-04,73,False
2017-06-11,73,False
2017-06-18,70,False
2017-06-25,76,False
2017-07-02,73,False
2017-07-09,75,False
2017-07-16,77,False
2017-07-23,64,False
2017-07-30,85,False
2017-08-06,72,False
2017-08-13,70,False
2017-08-20,64,False
2017-08-27,70,False
2017-09-03,59,False
2017-09-10,70,False
2017-09-17,61,False
2017-09-24,68,False
2017-10-01,68,False
2017-10-08,63,False
2017-10-15,75,False
2017-10-22,68,False
2017-10-29,61,False
2017-11-05,66,False
2017-11-12,75,False
2017-11-19,48,False
2017-11-26,72,False
2017-12-03,68,False
2017-12-10,77,False
2017-12-17,64,False
2017-12-24,56,False
2017-12-31,76,False
2018-01-07,90,False
2018-01-14,81,False
2018-01-21,84,False
2018-01-28,77,False
2018-02-04,77,False
2018-02-11,62,False
2018-02-18,62,False
2018-02-25,67,False
2018-03-04,66,False
2018-03-11,76,False
2018-03-18,70,False
2018-03-25,63,False
2018-04-01,71,False
2018-04-08,67,False
2018-04-15,73,False
2018-04-22,67,False
2018-04-29,74,False
2018-05-06,65,False
2018-05-13,70,False
2018-05-20,65,False
2018-05-27,60,False
2018-06-03,72,False
2018-06-10,65,False
2018-06-17,74,False
2018-06-24,78,False
2018-07-01,72,False
2018-07-08,79,False
2018-07-15,69,False
2018-07-22,68,False
2018-07-29,69,False
2018-08-05,65,False
2018-08-12,79,False
2018-08-19,67,False
2018-08-26,62,False
2018-09-02,57,False
2018-09-09,64,False
2018-09-16,62,False
2018-09-23,60,False
2018-09-30,69,False
2018-10-07,61,False
2018-10-14,53,False
2018-10-21,66,False
2018-10-28,68,False
2018-11-04,60,False
2018-11-11,68,False
2018-11-18,57,False
2018-11-25,69,False
2018-12-02,71,False
2018-12-09,80,False
2018-12-16,65,False
2018-12-23,46,False
2018-12-30,66,False
2019-01-06,86,False
2019-01-13,98,False
2019-01-20,80,False
2019-01-27,79,False
2019-02-03,68,False
2019-02-10,75,False
2019-02-17,55,False
2019-02-24,74,False
2019-03-03,62,False
2019-03-10,70,False
2019-03-17,67,False
2019-03-24,62,False
2019-03-31,67,False
2019-04-07,64,False
2019-04-14,60,False
2019-04-21,64,False
2019-04-28,68,False
2019-05-05,68,False
2019-05-12,71,False
2019-05-19,67,False
2019-05-26,59,False
2019-06-02,62,False
2019-06-09,59,False
2019-06-16,72,False
2019-06-23,73,False
2019-06-30,60,False
2019-07-07,82,False
2019-07-14,75,False
2019-07-21,80,False
2019-07-28,72,False
2019-08-04,63,False
2019-08-11,65,False
2019-08-18,66,False
2019-08-25,61,False
2019-09-01,57,False
2019-09-08,69,False
2019-09-15,60,False
2019-09-22,61,False
2019-09-29,66,False
2019-10-06,63,False
2019-10-13,55,False
2019-10-20,61,False
2019-10-27,57,False
2019-11-03,54,False
2019-11-10,67,False
2019-11-17,68,False
2019-11-24,59,False
2019-12-01,74,False
2019-12-08,68,False
2019-12-15,68,False
2019-12-22,43,False
