date,unemployment online,isPartial
2016-01-03,86,False
2016-01-10,96,False
2016-01-17,79,False
2016-01-24,90,False
2016-01-31,72,False
2016-02-07,68,False
2016-02-14,66,False
2016-02-21,62,False
2016-02-28,58,False
2016-03-06,59,False
2016-03-13,53,False
2016-03-20,61,False
2016-03-27,50,False
2016-04-03,67,False
2016-04-10,71,False
2016-04-17,61,False
2016-04-24,54,False
2016-05-01,65,False
2016-05-08,55,False
2016-05-15,51,False
2016-05-22,48,False
2016-05-29,56,False
2016-06-05,48,False
2016-06-12,56,False
2016-06-19,51,False
2016-06-26,68,False
2016-07-03,60,False
2016-07-10,61,False
2016-07-17,57,False
2016-07-24,58,False
2016-07-31,56,False
2016-08-07,58,False
2016-08-14,49,False
2016-08-21,49,False
2016-08-28,55,False
2016-09-04,55,False
2016-09-11,61,False
2016-09-18,52,False
2016-09-25,50,False
2016-10-02,59,False
2016-10-09,56,False
2016-10-16,49,False
2016-10-23,54,False
2016-10-30,51,False
2016-11-06,53,False
2016-11-13,52,False
2016-11-20,48,False
2016-11-27,64,False
2016-12-04,59,False
2016-12-11,59,False
2016-12-18,58,False
2016-12-25,70,False
2017-01-01,92,False
2017-01-08,100,False
2017-01-15,80,False
2017-01-22,76,False
2017-01-29,77,False
2017-02-05,68,False
2017-02-12,68,False
2017-02-19,48,False
2017-02-26,59,False
2017-03-05,50,False
2017-03-12,49,False
2017-03-19,46,False
2017-03-26,45,False
2017-04-02,59,False
2017-04-09,58,False
2017-04-16,56,False
2017-04-23,51,False
2017-04-30,57,False
2017-05-07,45,False
2017-05-14,41,False
2017-05-21,49,False
2017-05-28,51,False
2017-06-04,46,False
2017-06-11,43,False
2017-06-18,58,False
2017-06-25,60,False
2017-07-02,69,False
2017-07-09,64,False
2017-07-16,53,False
2017-07-23,66,False
2017-07-30,46,False
2017-08-06,59,False
2017-08-13,57,False
2017-08-20,42,False
2017-08-27,51,False
2017-09-03,51,False
2017-09-10,67,False
2017-09-17,39,False
2017-09-24,47,False
2017-10-01,50,False
2017-10-08,53,False
2017-10-15,59,False
2017-10-22,52,False
2017-10-29,55,False
2017-11-05,52,False
2017-11-12,62,False
2017-11-19,47,False
2017-11-26,56,False
2017-12-03,50,False
2017-12-10,61,False
2017-12-17,57,False
2017-12-24,64,False
2017-12-31,77,False
2018-01-07,70,False
2018-01-14,77,False
2018-01-21,83,False
2018-01-28,71,False
2018-02-04,61,False
2018-02-11,54,False
2018-02-18,52,False
2018-02-25,55,False
2018-03-04,50,False
2018-03-11,57,False
2018-03-18,40,False
2018-03-25,40,False
2018-04-01,66,False
2018-04-08,49,False
2018-04-15,52,False
2018-04-22,45,False
2018-04-29,44,False
2018-05-06,37,False
2018-05-13,47,False
2018-05-20,39,False
2018-05-27,41,False
2018-06-03,45,False
2018-06-10,46,False
2018-06-17,51,False
2018-06-24,53,False
2018-07-01,49,False
2018-07-08,58,False
2018-07-15,36,False
2018-07-22,52,False
2018-07-29,54,False
2018-08-05,42,False
2018-08-12,52,False
2018-08-19,40,False
2018-08-26,37,False
2018-09-02,51,False
2018-09-09,38,False
2018-09-16,36,False
2018-09-23,43,False
2018-09-30,40,False
2018-10-07,44,False
2018-10-14,41,False
2018-10-21,39,False
2018-10-28,53,False
2018-11-04,45,False
2018-11-11,49,False
2018-11-18,43,False
2018-11-25,53,False
2018-12-02,54,False
2018-12-09,53,False
2018-12-16,55,False
2018-12-23,58,False
2018-12-30,76,False
2019-01-06,69,False
2019-01-13,67,False
2019-01-20,66,False
2019-01-27,75,False
2019-02-03,49,False
2019-02-10,58,False
2019-02-17,47,False
2019-02-24,44,False
2019-03-03,48,False
2019-03-10,46,False
2019-03-17,45,False
2019-03-24,47,False
2019-03-31,41,False
2019-04-07,54,False
2019-04-14,37,False
2019-04-21,41,False
2019-04-28,45,False
2019-05-05,38,False
2019-05-12,40,False
2019-05-19,48,False
2019-05-26,53,False
2019-06-02,49,False
2019-06-09,44,False
2019-06-16,52,False
2019-06-23,40,False
2019-06-30,49,False
2019-07-07,47,False
2019-07-14,51,False
2019-07-21,52,False
2019-07-28,45,False
2019-08-04,54,False
2019-08-11,45,False
2019-08-18,51,False
2019-08-25,43,False
2019-09-01,44,False
2019-09-08,41,False
2019-09-15,46,False
2019-09-22,33,False
2019-09-29,42,False
2019-10-06,52,False
2019-10-13,41,False
2019-10-20,45,False
2019-10-27,45,False
2019-11-03,48,False
2019-11-10,47,False
2019-11-17,48,False
2019-11-24,41,False
2019-12-01,59,False
2019-12-08,43,False
2019-12-15,54,False
2019-12-22,51,False
