date,california unemployment
2012-01-01,100
2012-01-08,90
2012-01-15,98
2012-01-22,100
2012-01-29,92
2012-02-05,87
2012-02-12,87
2012-02-19,81
2012-02-26,90
2012-03-04,83
2012-03-11,78
2012-03-18,87
2012-03-25,81
2012-04-01,84
2012-04-08,82
2012-04-15,85
2012-04-22,82
2012-04-29,87
2012-05-06,92
2012-05-13,91
2012-05-20,80
2012-05-27,94
2012-06-03,94
2012-06-10,98
2012-06-17,90
2012-06-24,84
2012-07-01,85
2012-07-08,83
2012-07-15,86
2012-07-22,88
2012-07-29,84
2012-08-05,75
2012-08-12,86
2012-08-19,78
2012-08-26,81
2012-09-02,76
2012-09-09,83
2012-09-16,75
2012-09-23,68
2012-09-30,77
2012-10-07,89
2012-10-14,94
2012-10-21,79
2012-10-28,73
2012-11-04,77
2012-11-11,74
2012-11-18,54
2012-11-25,72
2012-12-02,73
2012-12-09,72
2012-12-16,63
2012-12-23,61
2012-12-30,100
2013-01-06,92
2013-01-13,86
2013-01-20,75
2013-01-27,74
2013-02-03,76
2013-02-10,68
2013-02-17,61
2013-02-24,63
2013-03-03,63
2013-03-10,61
2013-03-17,63
2013-03-24,62
2013-03-31,66
2013-04-07,74
2013-04-14,64
2013-04-21,62
2013-04-28,62
2013-05-05,61
2013-05-12,61
2013-05-19,60
2013-05-26,59
2013-06-02,63
2013-06-09,64
2013-06-16,68
2013-06-23,62
2013-06-30,67
2013-07-07,64
2013-07-14,65
2013-07-21,61
2013-07-28,67
2013-08-04,63
2013-08-11,59
2013-08-18,57
2013-08-25,56
2013-09-01,54
2013-09-08,66
2013-09-15,64
2013-09-22,70
2013-09-29,81
2013-10-06,64
2013-10-13,64
2013-10-20,58
2013-10-27,60
2013-11-03,62
2013-11-10,54
2013-11-17,58
2013-11-24,39
2013-12-01,63
2013-12-08,58
2013-12-15,57
2013-12-22,60
2013-12-29,64
2014-01-05,80
2014-01-12,83
2014-01-19,73
2014-01-26,69
2014-02-02,59
2014-02-09,56
2014-02-16,51
2014-02-23,58
2014-03-02,58
2014-03-09,56
2014-03-16,52
2014-03-23,53
2014-03-30,56
2014-04-06,59
2014-04-13,47
2014-04-20,52
2014-04-27,53
2014-05-04,51
2014-05-11,49
2014-05-18,50
2014-05-25,54
2014-06-01,58
2014-06-08,49
2014-06-15,50
2014-06-22,47
2014-06-29,40
2014-07-06,53
2014-07-13,54
2014-07-20,49
2014-07-27,47
2014-08-03,51
2014-08-10,38
2014-08-17,46
2014-08-24,44
2014-08-31,41
2014-09-07,42
2014-09-14,47
2014-09-21,41
2014-09-28,44
2014-10-05,42
2014-10-12,44
2014-10-19,39
2014-10-26,40
2014-11-02,43
2014-11-09,38
2014-11-16,41
2014-11-23,31
2014-11-30,44
2014-12-07,44
2014-12-14,38
2014-12-21,26
2014-12-28,34
2015-01-04,49
2015-01-11,42
2015-01-18,48
2015-01-25,50
2015-02-01,39
2015-02-08,35
2015-02-15,40
2015-02-22,36
2015-03-01,36
2015-03-08,38
2015-03-15,39
2015-03-22,33
2015-03-29,38
2015-04-05,36
2015-04-12,40
2015-04-19,39
2015-04-26,34
2015-05-03,36
2015-05-10,34
2015-05-17,37
2015-05-24,34
2015-05-31,38
2015-06-07,37
2015-06-14,37
2015-06-21,37
2015-06-28,39
2015-07-05,37
2015-07-12,41
2015-07-19,39
2015-07-26,35
2015-08-02,36
2015-08-09,36
2015-08-16,35
2015-08-23,36
2015-08-30,40
2015-09-06,34
2015-09-13,36
2015-09-20,37
2015-09-27,35
2015-10-04,35
2015-10-11,32
2015-10-18,37
2015-10-25,31
2015-11-01,31
2015-11-08,31
2015-11-15,31
2015-11-22,28
2015-11-29,35
2015-12-06,34
2015-12-13,33
2015-12-20,28
2015-12-27,29
2016-01-03,42
2016-01-10,40
2016-01-17,35
2016-01-24,39
2016-01-31,38
2016-02-07,33
2016-02-14,31
2016-02-21,35
2016-02-28,30
2016-03-06,31
2016-03-13,32
2016-03-20,33
2016-03-27,38
2016-04-03,32
2016-04-10,38
2016-04-17,33
2016-04-24,33
2016-05-01,32
2016-05-08,33
2016-05-15,31
2016-05-22,32
2016-05-29,32
2016-06-05,37
2016-06-12,35
2016-06-19,33
2016-06-26,35
2016-07-03,33
2016-07-10,34
2016-07-17,32
2016-07-24,33
2016-07-31,31
2016-08-07,29
2016-08-14,28
2016-08-21,29
2016-08-28,30
2016-09-04,26
2016-09-11,29
2016-09-18,30
2016-09-25,29
2016-10-02,30
2016-10-09,32
2016-10-16,31
2016-10-23,29
2016-10-30,32
2016-11-06,30
2016-11-13,31
2016-11-20,25
2016-11-27,33
2016-12-04,32
2016-12-11,35
2016-12-18,29
2016-12-25,30
