date,unemployment office
2012-01-01,89
2012-01-08,84
2012-01-15,76
2012-01-22,79
2012-01-29,65
2012-02-05,61
2012-02-12,59
2012-02-19,55
2012-02-26,58
2012-03-04,55
2012-03-11,53
2012-03-18,56
2012-03-25,54
2012-04-01,57
2012-04-08,64
2012-04-15,58
2012-04-22,56
2012-04-29,59
2012-05-06,58
2012-05-13,61
2012-05-20,63
2012-05-27,60
2012-06-03,67
2012-06-10,66
2012-06-17,70
2012-06-24,68
2012-07-01,70
2012-07-08,78
2012-07-15,74
2012-07-22,76
2012-07-29,73
2012-08-05,74
2012-08-12,81
2012-08-19,71
2012-08-26,68
2012-09-02,75
2012-09-09,71
2012-09-16,68
2012-09-23,68
2012-09-30,76
2012-10-07,76
2012-10-14,74
2012-10-21,68
2012-10-28,73
2012-11-04,80
2012-11-11,80
2012-11-18,54
2012-11-25,76
2012-12-02,69
2012-12-09,63
2012-12-16,69
2012-12-23,67
2012-12-30,89
2013-01-06,100
2013-01-13,82
2013-01-20,82
2013-01-27,78
2013-02-03,67
2013-02-10,64
2013-02-17,61
2013-02-24,62
2013-03-03,62
2013-03-10,57
2013-03-17,57
2013-03-24,56
2013-03-31,61
2013-04-07,62
2013-04-14,56
2013-04-21,56
2013-04-28,54
2013-05-05,51
2013-05-12,54
2013-05-19,57
2013-05-26,58
2013-06-02,63
2013-06-09,69
2013-06-16,65
2013-06-23,64
2013-06-30,63
2013-07-07,80
2013-07-14,69
2013-07-21,69
2013-07-28,65
2013-08-04,65
2013-08-11,64
2013-08-18,65
2013-08-25,59
2013-09-01,58
2013-09-08,61
2013-09-15,58
2013-09-22,58
2013-09-29,80
2013-10-06,64
2013-10-13,66
2013-10-20,63
2013-10-27,59
2013-11-03,60
2013-11-10,59
2013-11-17,61
2013-11-24,47
2013-12-01,68
2013-12-08,67
2013-12-15,65
2013-12-22,59
2013-12-29,74
2014-01-05,90
2014-01-12,83
2014-01-19,72
2014-01-26,68
2014-02-02,64
2014-02-09,54
2014-02-16,56
2014-02-23,52
2014-03-02,50
2014-03-09,51
2014-03-16,47
2014-03-23,47
2014-03-30,46
2014-04-06,49
2014-04-13,45
2014-04-20,44
2014-04-27,45
2014-05-04,46
2014-05-11,47
2014-05-18,44
2014-05-25,42
2014-06-01,48
2014-06-08,47
2014-06-15,47
2014-06-22,48
2014-06-29,42
2014-07-06,54
2014-07-13,49
2014-07-20,48
2014-07-27,49
2014-08-03,43
2014-08-10,45
2014-08-17,47
2014-08-24,43
2014-08-31,44
2014-09-07,45
2014-09-14,44
2014-09-21,44
2014-09-28,45
2014-10-05,45
2014-10-12,46
2014-10-19,44
2014-10-26,40
2014-11-02,47
2014-11-09,47
2014-11-16,50
2014-11-23,35
2014-11-30,51
2014-12-07,45
2014-12-14,48
2014-12-21,38
2014-12-28,53
2015-01-04,63
2015-01-11,58
2015-01-18,59
2015-01-25,57
2015-02-01,52
2015-02-08,45
2015-02-15,45
2015-02-22,45
2015-03-01,45
2015-03-08,43
2015-03-15,44
2015-03-22,43
2015-03-29,40
2015-04-05,43
2015-04-12,43
2015-04-19,39
2015-04-26,40
2015-05-03,39
2015-05-10,40
2015-05-17,43
2015-05-24,40
2015-05-31,46
2015-06-07,45
2015-06-14,47
2015-06-21,49
2015-06-28,49
2015-07-05,52
2015-07-12,51
2015-07-19,51
2015-07-26,48
2015-08-02,44
2015-08-09,45
2015-08-16,48
2015-08-23,44
2015-08-30,49
2015-09-06,41
2015-09-13,45
2015-09-20,44
2015-09-27,41
2015-10-04,45
2015-10-11,47
2015-10-18,43
2015-10-25,41
2015-11-01,45
2015-11-08,43
2015-11-15,45
2015-11-22,36
2015-11-29,52
2015-12-06,45
2015-12-13,46
2015-12-20,39
2015-12-27,51
2016-01-03,76
2016-01-10,64
2016-01-17,59
2016-01-24,60
2016-01-31,54
2016-02-07,51
2016-02-14,45
2016-02-21,47
2016-02-28,44
2016-03-06,44
2016-03-13,44
2016-03-20,41
2016-03-27,45
2016-04-03,43
2016-04-10,43
2016-04-17,41
2016-04-24,42
2016-05-01,42
2016-05-08,41
2016-05-15,42
2016-05-22,41
2016-05-29,43
2016-06-05,44
2016-06-12,44
2016-06-19,46
2016-06-26,47
2016-07-03,45
2016-07-10,49
2016-07-17,52
2016-07-24,48
2016-07-31,49
2016-08-07,44
2016-08-14,45
2016-08-21,43
2016-08-28,41
2016-09-04,43
2016-09-11,40
2016-09-18,38
2016-09-25,38
2016-10-02,40
2016-10-09,39
2016-10-16,42
2016-10-23,39
2016-10-30,39
2016-11-06,40
2016-11-13,44
2016-11-20,32
2016-11-27,50
2016-12-04,50
2016-12-11,49
2016-12-18,49
2016-12-25,57
