date,unemployment insurance
2012-01-01,83
2012-01-08,79
2012-01-15,84
2012-01-22,86
2012-01-29,74
2012-02-05,71
2012-02-12,68
2012-02-19,70
2012-02-26,68
2012-03-04,62
2012-03-11,58
2012-03-18,68
2012-03-25,58
2012-04-01,56
2012-04-08,59
2012-04-15,59
2012-04-22,56
2012-04-29,57
2012-05-06,52
2012-05-13,52
2012-05-20,57
2012-05-27,64
2012-06-03,56
2012-06-10,64
2012-06-17,66
2012-06-24,68
2012-07-01,70
2012-07-08,70
2012-07-15,65
2012-07-22,66
2012-07-29,54
2012-08-05,55
2012-08-12,58
2012-08-19,58
2012-08-26,44
2012-09-02,60
2012-09-09,48
2012-09-16,48
2012-09-23,50
2012-09-30,51
2012-10-07,57
2012-10-14,52
2012-10-21,50
2012-10-28,49
2012-11-04,63
2012-11-11,65
2012-11-18,52
2012-11-25,62
2012-12-02,60
2012-12-09,60
2012-12-16,63
2012-12-23,53
2012-12-30,83
2013-01-06,73
2013-01-13,65
2013-01-20,57
2013-01-27,53
2013-02-03,52
2013-02-10,48
2013-02-17,50
2013-02-24,49
2013-03-03,48
2013-03-10,45
2013-03-17,49
2013-03-24,52
2013-03-31,56
2013-04-07,51
2013-04-14,56
2013-04-21,54
2013-04-28,46
2013-05-05,45
2013-05-12,38
2013-05-19,41
2013-05-26,41
2013-06-02,41
2013-06-09,44
2013-06-16,43
2013-06-23,45
2013-06-30,43
2013-07-07,50
2013-07-14,48
2013-07-21,44
2013-07-28,46
2013-08-04,45
2013-08-11,40
2013-08-18,39
2013-08-25,39
2013-09-01,40
2013-09-08,41
2013-09-15,43
2013-09-22,44
2013-09-29,64
2013-10-06,48
2013-10-13,51
2013-10-20,45
2013-10-27,47
2013-11-03,42
2013-11-10,44
2013-11-17,42
2013-11-24,37
2013-12-01,44
2013-12-08,55
2013-12-15,48
2013-12-22,47
2013-12-29,59
2014-01-05,100
2014-01-12,84
2014-01-19,68
2014-01-26,76
2014-02-02,69
2014-02-09,62
2014-02-16,55
2014-02-23,68
2014-03-02,55
2014-03-09,62
2014-03-16,54
2014-03-23,61
2014-03-30,59
2014-04-06,66
2014-04-13,55
2014-04-20,53
2014-04-27,58
2014-05-04,51
2014-05-11,48
2014-05-18,43
2014-05-25,39
2014-06-01,44
2014-06-08,36
2014-06-15,39
2014-06-22,42
2014-06-29,38
2014-07-06,48
2014-07-13,44
2014-07-20,39
2014-07-27,45
2014-08-03,34
2014-08-10,35
2014-08-17,36
2014-08-24,40
2014-08-31,33
2014-09-07,35
2014-09-14,32
2014-09-21,31
2014-09-28,36
2014-10-05,37
2014-10-12,34
2014-10-19,38
2014-10-26,36
2014-11-02,35
2014-11-09,33
2014-11-16,42
2014-11-23,31
2014-11-30,41
2014-12-07,40
2014-12-14,43
2014-12-21,32
2014-12-28,37
2015-01-04,48
2015-01-11,47
2015-01-18,48
2015-01-25,51
2015-02-01,43
2015-02-08,39
2015-02-15,36
2015-02-22,37
2015-03-01,38
2015-03-08,38
2015-03-15,33
2015-03-22,36
2015-03-29,38
2015-04-05,35
2015-04-12,36
2015-04-19,38
2015-04-26,38
2015-05-03,33
2015-05-10,30
2015-05-17,33
2015-05-24,29
2015-05-31,37
2015-06-07,35
2015-06-14,35
2015-06-21,36
2015-06-28,34
2015-07-05,34
2015-07-12,32
2015-07-19,39
2015-07-26,35
2015-08-02,29
2015-08-09,29
2015-08-16,29
2015-08-23,28
2015-08-30,32
2015-09-06,29
2015-09-13,31
2015-09-20,28
2015-09-27,30
2015-10-04,32
2015-10-11,37
2015-10-18,36
2015-10-25,35
2015-11-01,36
2015-11-08,35
2015-11-15,33
2015-11-22,25
2015-11-29,37
2015-12-06,32
2015-12-13,33
2015-12-20,25
2015-12-27,29
2016-01-03,40
2016-01-10,41
2016-01-17,36
2016-01-24,38
2016-01-31,39
2016-02-07,33
2016-02-14,33
2016-02-21,35
2016-02-28,34
2016-03-06,32
2016-03-13,32
2016-03-20,30
2016-03-27,32
2016-04-03,33
2016-04-10,35
2016-04-17,35
2016-04-24,32
2016-05-01,31
2016-05-08,26
2016-05-15,30
2016-05-22,25
2016-05-29,24
2016-06-05,29
2016-06-12,26
2016-06-19,28
2016-06-26,28
2016-07-03,28
2016-07-10,29
2016-07-17,26
2016-07-24,28
2016-07-31,27
2016-08-07,25
2016-08-14,28
2016-08-21,29
2016-08-28,24
2016-09-04,23
2016-09-11,23
2016-09-18,24
2016-09-25,26
2016-10-02,27
2016-10-09,31
2016-10-16,29
2016-10-23,31
2016-10-30,29
2016-11-06,27
2016-11-13,32
2016-11-20,23
2016-11-27,33
2016-12-04,33
2016-12-11,33
2016-12-18,28
2016-12-25,28
