date,claim unemployment
2012-01-01,99
2012-01-08,92
2012-01-15,100
2012-01-22,97
2012-01-29,92
2012-02-05,85
2012-02-12,81
2012-02-19,78
2012-02-26,71
2012-03-04,79
2012-03-11,76
2012-03-18,86
2012-03-25,74
2012-04-01,70
2012-04-08,74
2012-04-15,73
2012-04-22,76
2012-04-29,81
2012-05-06,82
2012-05-13,83
2012-05-20,88
2012-05-27,90
2012-06-03,85
2012-06-10,82
2012-06-17,87
2012-06-24,82
2012-07-01,96
2012-07-08,93
2012-07-15,83
2012-07-22,76
2012-07-29,71
2012-08-05,68
2012-08-12,63
2012-08-19,63
2012-08-26,61
2012-09-02,73
2012-09-09,62
2012-09-16,62
2012-09-23,62
2012-09-30,79
2012-10-07,77
2012-10-14,73
2012-10-21,69
2012-10-28,73
2012-11-04,76
2012-11-11,79
2012-11-18,68
2012-11-25,75
2012-12-02,75
2012-12-09,70
2012-12-16,82
2012-12-23,80
2012-12-30,87
2013-01-06,86
2013-01-13,78
2013-01-20,77
2013-01-27,73
2013-02-03,66
2013-02-10,62
2013-02-17,66
2013-02-24,60
2013-03-03,57
2013-03-10,55
2013-03-17,53
2013-03-24,54
2013-03-31,58
2013-04-07,55
2013-04-14,52
2013-04-21,48
2013-04-28,47
2013-05-05,49
2013-05-12,53
2013-05-19,54
2013-05-26,63
2013-06-02,56
2013-06-09,56
2013-06-16,57
2013-06-23,60
2013-06-30,61
2013-07-07,65
2013-07-14,61
2013-07-21,58
2013-07-28,59
2013-08-04,58
2013-08-11,55
2013-08-18,58
2013-08-25,54
2013-09-01,60
2013-09-08,56
2013-09-15,53
2013-09-22,54
2013-09-29,65
2013-10-06,64
2013-10-13,74
2013-10-20,68
2013-10-27,60
2013-11-03,59
2013-11-10,66
2013-11-17,64
2013-11-24,64
2013-12-01,65
2013-12-08,67
2013-12-15,71
2013-12-22,73
2013-12-29,76
2014-01-05,86
2014-01-12,68
2014-01-19,69
2014-01-26,66
2014-02-02,59
2014-02-09,54
2014-02-16,54
2014-02-23,53
2014-03-02,48
2014-03-09,50
2014-03-16,49
2014-03-23,50
2014-03-30,46
2014-04-06,44
2014-04-13,46
2014-04-20,45
2014-04-27,38
2014-05-04,41
2014-05-11,40
2014-05-18,38
2014-05-25,38
2014-06-01,40
2014-06-08,39
2014-06-15,40
2014-06-22,43
2014-06-29,40
2014-07-06,45
2014-07-13,44
2014-07-20,48
2014-07-27,39
2014-08-03,41
2014-08-10,38
2014-08-17,39
2014-08-24,35
2014-08-31,37
2014-09-07,35
2014-09-14,33
2014-09-21,33
2014-09-28,37
2014-10-05,34
2014-10-12,35
2014-10-19,34
2014-10-26,36
2014-11-02,34
2014-11-09,38
2014-11-16,41
2014-11-23,37
2014-11-30,43
2014-12-07,39
2014-12-14,38
2014-12-21,34
2014-12-28,43
2015-01-04,46
2015-01-11,43
2015-01-18,44
2015-01-25,43
2015-02-01,42
2015-02-08,35
2015-02-15,35
2015-02-22,34
2015-03-01,35
2015-03-08,35
2015-03-15,34
2015-03-22,37
2015-03-29,34
2015-04-05,34
2015-04-12,31
2015-04-19,32
2015-04-26,29
2015-05-03,29
2015-05-10,32
2015-05-17,35
2015-05-24,35
2015-05-31,36
2015-06-07,32
2015-06-14,32
2015-06-21,35
2015-06-28,39
2015-07-05,42
2015-07-12,42
2015-07-19,37
2015-07-26,39
2015-08-02,38
2015-08-09,40
2015-08-16,36
2015-08-23,36
2015-08-30,34
2015-09-06,31
2015-09-13,31
2015-09-20,33
2015-09-27,36
2015-10-04,32
2015-10-11,35
2015-10-18,33
2015-10-25,31
2015-11-01,34
2015-11-08,34
2015-11-15,36
2015-11-22,35
2015-11-29,41
2015-12-06,38
2015-12-13,43
2015-12-20,42
2015-12-27,49
2016-01-03,56
2016-01-10,54
2016-01-17,48
2016-01-24,48
2016-01-31,48
2016-02-07,43
2016-02-14,41
2016-02-21,39
2016-02-28,40
2016-03-06,39
2016-03-13,38
2016-03-20,37
2016-03-27,32
2016-04-03,32
2016-04-10,34
2016-04-17,32
2016-04-24,31
2016-05-01,34
2016-05-08,34
2016-05-15,39
2016-05-22,37
2016-05-29,40
2016-06-05,36
2016-06-12,39
2016-06-19,37
2016-06-26,37
2016-07-03,37
2016-07-10,39
2016-07-17,39
2016-07-24,36
2016-07-31,34
2016-08-07,36
2016-08-14,34
2016-08-21,31
2016-08-28,33
2016-09-04,33
2016-09-11,30
2016-09-18,30
2016-09-25,30
2016-10-02,31
2016-10-09,35
2016-10-16,31
2016-10-23,35
2016-10-30,36
2016-11-06,34
2016-11-13,36
2016-11-20,33
2016-11-27,40
2016-12-04,38
2016-12-11,41
2016-12-18,41
2016-12-25,46
