date,unemployment online
2012-01-01,78
2012-01-08,80
2012-01-15,83
2012-01-22,86
2012-01-29,75
2012-02-05,67
2012-02-12,62
2012-02-19,59
2012-02-26,52
2012-03-04,52
2012-03-11,58
2012-03-18,55
2012-03-25,51
2012-04-01,52
2012-04-08,49
2012-04-15,53
2012-04-22,48
2012-04-29,56
2012-05-06,55
2012-05-13,48
2012-05-20,54
2012-05-27,52
2012-06-03,52
2012-06-10,50
2012-06-17,58
2012-06-24,58
2012-07-01,69
2012-07-08,70
2012-07-15,63
2012-07-22,73
2012-07-29,70
2012-08-05,62
2012-08-12,58
2012-08-19,64
2012-08-26,57
2012-09-02,70
2012-09-09,52
2012-09-16,52
2012-09-23,53
2012-09-30,56
2012-10-07,62
2012-10-14,62
2012-10-21,62
2012-10-28,66
2012-11-04,69
2012-11-11,74
2012-11-18,61
2012-11-25,71
2012-12-02,70
2012-12-09,62
2012-12-16,93
2012-12-23,67
2012-12-30,85
2013-01-06,85
2013-01-13,90
2013-01-20,100
2013-01-27,98
2013-02-03,98
2013-02-10,98
2013-02-17,88
2013-02-24,89
2013-03-03,70
2013-03-10,64
2013-03-17,58
2013-03-24,60
2013-03-31,60
2013-04-07,64
2013-04-14,55
2013-04-21,49
2013-04-28,51
2013-05-05,46
2013-05-12,45
2013-05-19,53
2013-05-26,47
2013-06-02,48
2013-06-09,49
2013-06-16,66
2013-06-23,72
2013-06-30,73
2013-07-07,63
2013-07-14,56
2013-07-21,56
2013-07-28,53
2013-08-04,51
2013-08-11,48
2013-08-18,50
2013-08-25,45
2013-09-01,49
2013-09-08,52
2013-09-15,41
2013-09-22,45
2013-09-29,52
2013-10-06,49
2013-10-13,48
2013-10-20,49
2013-10-27,50
2013-11-03,43
2013-11-10,50
2013-11-17,39
2013-11-24,41
2013-12-01,47
2013-12-08,45
2013-12-15,44
2013-12-22,57
2013-12-29,60
2014-01-05,78
2014-01-12,65
2014-01-19,71
2014-01-26,68
2014-02-02,59
2014-02-09,50
2014-02-16,46
2014-02-23,41
2014-03-02,41
2014-03-09,45
2014-03-16,38
2014-03-23,39
2014-03-30,36
2014-04-06,44
2014-04-13,36
2014-04-20,38
2014-04-27,35
2014-05-04,32
2014-05-11,33
2014-05-18,28
2014-05-25,31
2014-06-01,33
2014-06-08,32
2014-06-15,33
2014-06-22,32
2014-06-29,33
2014-07-06,34
2014-07-13,34
2014-07-20,41
2014-07-27,36
2014-08-03,37
2014-08-10,28
2014-08-17,30
2014-08-24,29
2014-08-31,25
2014-09-07,26
2014-09-14,27
2014-09-21,25
2014-09-28,26
2014-10-05,24
2014-10-12,22
2014-10-19,23
2014-10-26,27
2014-11-02,24
2014-11-09,27
2014-11-16,28
2014-11-23,24
2014-11-30,28
2014-12-07,26
2014-12-14,27
2014-12-21,29
2014-12-28,36
2015-01-04,35
2015-01-11,38
2015-01-18,47
2015-01-25,44
2015-02-01,40
2015-02-08,30
2015-02-15,33
2015-02-22,30
2015-03-01,24
2015-03-08,26
2015-03-15,28
2015-03-22,30
2015-03-29,27
2015-04-05,29
2015-04-12,30
2015-04-19,29
2015-04-26,26
2015-05-03,22
2015-05-10,22
2015-05-17,24
2015-05-24,26
2015-05-31,25
2015-06-07,27
2015-06-14,24
2015-06-21,26
2015-06-28,25
2015-07-05,31
2015-07-12,31
2015-07-19,32
2015-07-26,30
2015-08-02,23
2015-08-09,23
2015-08-16,28
2015-08-23,23
2015-08-30,26
2015-09-06,23
2015-09-13,28
2015-09-20,24
2015-09-27,25
2015-10-04,26
2015-10-11,29
2015-10-18,27
2015-10-25,23
2015-11-01,27
2015-11-08,27
2015-11-15,24
2015-11-22,23
2015-11-29,26
2015-12-06,29
2015-12-13,32
2015-12-20,26
2015-12-27,30
2016-01-03,39
2016-01-10,39
2016-01-17,41
2016-01-24,41
2016-01-31,34
2016-02-07,33
2016-02-14,29
2016-02-21,29
2016-02-28,26
2016-03-06,29
2016-03-13,26
2016-03-20,25
2016-03-27,29
2016-04-03,26
2016-04-10,28
2016-04-17,28
2016-04-24,27
2016-05-01,27
2016-05-08,26
2016-05-15,28
2016-05-22,24
2016-05-29,25
2016-06-05,24
2016-06-12,24
2016-06-19,25
2016-06-26,27
2016-07-03,29
2016-07-10,26
2016-07-17,28
2016-07-24,29
2016-07-31,24
2016-08-07,22
2016-08-14,23
2016-08-21,20
2016-08-28,20
2016-09-04,23
2016-09-11,24
2016-09-18,19
2016-09-25,21
2016-10-02,24
2016-10-09,24
2016-10-16,22
2016-10-23,25
2016-10-30,22
2016-11-06,23
2016-11-13,25
2016-11-20,21
2016-11-27,25
2016-12-04,29
2016-12-11,26
2016-12-18,28
2016-12-25,33
