date,unemployment
2012-01-01,91
2012-01-08,86
2012-01-15,87
2012-01-22,86
2012-01-29,82
2012-02-05,76
2012-02-12,74
2012-02-19,74
2012-02-26,71
2012-03-04,69
2012-03-11,69
2012-03-18,70
2012-03-25,66
2012-04-01,67
2012-04-08,68
2012-04-15,68
2012-04-22,65
2012-04-29,67
2012-05-06,66
2012-05-13,66
2012-05-20,67
2012-05-27,68
2012-06-03,67
2012-06-10,67
2012-06-17,67
2012-06-24,67
2012-07-01,73
2012-07-08,72
2012-07-15,68
2012-07-22,68
2012-07-29,68
2012-08-05,63
2012-08-12,66
2012-08-19,63
2012-08-26,64
2012-09-02,76
2012-09-09,63
2012-09-16,62
2012-09-23,62
2012-09-30,73
2012-10-07,68
2012-10-14,66
2012-10-21,63
2012-10-28,68
2012-11-04,74
2012-11-11,70
2012-11-18,59
2012-11-25,68
2012-12-02,71
2012-12-09,67
2012-12-16,70
2012-12-23,69
2012-12-30,92
2013-01-06,79
2013-01-13,74
2013-01-20,72
2013-01-27,70
2013-02-03,63
2013-02-10,60
2013-02-17,60
2013-02-24,58
2013-03-03,59
2013-03-10,56
2013-03-17,56
2013-03-24,55
2013-03-31,58
2013-04-07,57
2013-04-14,56
2013-04-21,55
2013-04-28,55
2013-05-05,52
2013-05-12,53
2013-05-19,53
2013-05-26,57
2013-06-02,54
2013-06-09,54
2013-06-16,55
2013-06-23,56
2013-06-30,57
2013-07-07,59
2013-07-14,57
2013-07-21,56
2013-07-28,56
2013-08-04,53
2013-08-11,53
2013-08-18,53
2013-08-25,51
2013-09-01,56
2013-09-08,53
2013-09-15,51
2013-09-22,52
2013-09-29,67
2013-10-06,59
2013-10-13,59
2013-10-20,56
2013-10-27,54
2013-11-03,54
2013-11-10,56
2013-11-17,54
2013-11-24,49
2013-12-01,60
2013-12-08,62
2013-12-15,64
2013-12-22,64
2013-12-29,73
2014-01-05,100
2014-01-12,93
2014-01-19,80
2014-01-26,86
2014-02-02,81
2014-02-09,66
2014-02-16,60
2014-02-23,68
2014-03-02,65
2014-03-09,69
2014-03-16,60
2014-03-23,70
2014-03-30,71
2014-04-06,74
2014-04-13,59
2014-04-20,57
2014-04-27,67
2014-05-04,62
2014-05-11,60
2014-05-18,55
2014-05-25,49
2014-06-01,49
2014-06-08,48
2014-06-15,46
2014-06-22,46
2014-06-29,45
2014-07-06,48
2014-07-13,45
2014-07-20,46
2014-07-27,43
2014-08-03,40
2014-08-10,37
2014-08-17,37
2014-08-24,37
2014-08-31,37
2014-09-07,36
2014-09-14,36
2014-09-21,35
2014-09-28,37
2014-10-05,37
2014-10-12,37
2014-10-19,36
2014-10-26,36
2014-11-02,39
2014-11-09,37
2014-11-16,39
2014-11-23,33
2014-11-30,41
2014-12-07,39
2014-12-14,39
2014-12-21,35
2014-12-28,41
2015-01-04,49
2015-01-11,47
2015-01-18,47
2015-01-25,46
2015-02-01,44
2015-02-08,39
2015-02-15,40
2015-02-22,39
2015-03-01,39
2015-03-08,38
2015-03-15,37
2015-03-22,37
2015-03-29,36
2015-04-05,37
2015-04-12,37
2015-04-19,36
2015-04-26,35
2015-05-03,35
2015-05-10,34
2015-05-17,33
2015-05-24,33
2015-05-31,34
2015-06-07,34
2015-06-14,34
2015-06-21,35
2015-06-28,38
2015-07-05,39
2015-07-12,37
2015-07-19,36
2015-07-26,36
2015-08-02,35
2015-08-09,34
2015-08-16,34
2015-08-23,35
2015-08-30,34
2015-09-06,32
2015-09-13,32
2015-09-20,32
2015-09-27,33
2015-10-04,33
2015-10-11,34
2015-10-18,33
2015-10-25,32
2015-11-01,33
2015-11-08,34
2015-11-15,35
2015-11-22,29
2015-11-29,37
2015-12-06,36
2015-12-13,35
2015-12-20,31
2015-12-27,36
2016-01-03,46
2016-01-10,47
2016-01-17,45
2016-01-24,45
2016-01-31,43
2016-02-07,38
2016-02-14,37
2016-02-21,36
2016-02-28,36
2016-03-06,35
2016-03-13,33
2016-03-20,33
2016-03-27,34
2016-04-03,34
2016-04-10,34
2016-04-17,32
2016-04-24,33
2016-05-01,32
2016-05-08,32
2016-05-15,31
2016-05-22,30
2016-05-29,31
2016-06-05,31
2016-06-12,30
2016-06-19,32
2016-06-26,31
2016-07-03,32
2016-07-10,32
2016-07-17,33
2016-07-24,32
2016-07-31,31
2016-08-07,30
2016-08-14,29
2016-08-21,29
2016-08-28,28
2016-09-04,28
2016-09-11,28
2016-09-18,28
2016-09-25,28
2016-10-02,29
2016-10-09,30
2016-10-16,29
2016-10-23,30
2016-10-30,30
2016-11-06,30
2016-11-13,32
2016-11-20,26
2016-11-27,35
2016-12-04,34
2016-12-11,34
2016-12-18,32
2016-12-25,35
