date,unemployment washington
2012-01-01,100
2012-01-08,93
2012-01-15,89
2012-01-22,91
2012-01-29,90
2012-02-05,76
2012-02-12,72
2012-02-19,75
2012-02-26,78
2012-03-04,68
2012-03-11,71
2012-03-18,67
2012-03-25,62
2012-04-01,70
2012-04-08,70
2012-04-15,70
2012-04-22,66
2012-04-29,71
2012-05-06,68
2012-05-13,64
2012-05-20,68
2012-05-27,64
2012-06-03,62
2012-06-10,64
2012-06-17,65
2012-06-24,68
2012-07-01,69
2012-07-08,64
2012-07-15,57
2012-07-22,58
2012-07-29,63
2012-08-05,58
2012-08-12,56
2012-08-19,55
2012-08-26,56
2012-09-02,61
2012-09-09,54
2012-09-16,47
2012-09-23,56
2012-09-30,61
2012-10-07,62
2012-10-14,56
2012-10-21,56
2012-10-28,62
2012-11-04,68
2012-11-11,64
2012-11-18,51
2012-11-25,61
2012-12-02,62
2012-12-09,57
2012-12-16,56
2012-12-23,62
2012-12-30,80
2013-01-06,74
2013-01-13,67
2013-01-20,64
2013-01-27,63
2013-02-03,60
2013-02-10,58
2013-02-17,48
2013-02-24,53
2013-03-03,55
2013-03-10,58
2013-03-17,60
2013-03-24,57
2013-03-31,55
2013-04-07,55
2013-04-14,53
2013-04-21,46
2013-04-28,54
2013-05-05,50
2013-05-12,56
2013-05-19,53
2013-05-26,51
2013-06-02,50
2013-06-09,51
2013-06-16,54
2013-06-23,54
2013-06-30,55
2013-07-07,62
2013-07-14,50
2013-07-21,55
2013-07-28,59
2013-08-04,51
2013-08-11,53
2013-08-18,52
2013-08-25,53
2013-09-01,50
2013-09-08,47
2013-09-15,43
2013-09-22,47
2013-09-29,66
2013-10-06,63
2013-10-13,56
2013-10-20,50
2013-10-27,52
2013-11-03,51
2013-11-10,49
2013-11-17,54
2013-11-24,46
2013-12-01,74
2013-12-08,58
2013-12-15,54
2013-12-22,57
2013-12-29,58
2014-01-05,67
2014-01-12,61
2014-01-19,58
2014-01-26,56
2014-02-02,47
2014-02-09,47
2014-02-16,51
2014-02-23,49
2014-03-02,45
2014-03-09,46
2014-03-16,43
2014-03-23,42
2014-03-30,44
2014-04-06,42
2014-04-13,41
2014-04-20,42
2014-04-27,40
2014-05-04,38
2014-05-11,37
2014-05-18,39
2014-05-25,35
2014-06-01,35
2014-06-08,37
2014-06-15,37
2014-06-22,40
2014-06-29,34
2014-07-06,34
2014-07-13,36
2014-07-20,36
2014-07-27,31
2014-08-03,32
2014-08-10,35
2014-08-17,32
2014-08-24,34
2014-08-31,27
2014-09-07,26
2014-09-14,31
2014-09-21,32
2014-09-28,31
2014-10-05,34
2014-10-12,33
2014-10-19,34
2014-10-26,30
2014-11-02,36
2014-11-09,34
2014-11-16,37
2014-11-23,32
2014-11-30,42
2014-12-07,39
2014-12-14,42
2014-12-21,34
2014-12-28,43
2015-01-04,47
2015-01-11,37
2015-01-18,38
2015-01-25,42
2015-02-01,36
2015-02-08,34
2015-02-15,34
2015-02-22,31
2015-03-01,29
2015-03-08,31
2015-03-15,30
2015-03-22,30
2015-03-29,32
2015-04-05,30
2015-04-12,32
2015-04-19,30
2015-04-26,31
2015-05-03,28
2015-05-10,29
2015-05-17,28
2015-05-24,28
2015-05-31,27
2015-06-07,24
2015-06-14,28
2015-06-21,35
2015-06-28,39
2015-07-05,39
2015-07-12,36
2015-07-19,31
2015-07-26,34
2015-08-02,34
2015-08-09,35
2015-08-16,32
2015-08-23,30
2015-08-30,32
2015-09-06,31
2015-09-13,29
2015-09-20,31
2015-09-27,31
2015-10-04,27
2015-10-11,29
2015-10-18,28
2015-10-25,34
2015-11-01,32
2015-11-08,27
2015-11-15,29
2015-11-22,31
2015-11-29,36
2015-12-06,32
2015-12-13,35
2015-12-20,31
2015-12-27,31
2016-01-03,39
2016-01-10,36
2016-01-17,34
2016-01-24,34
2016-01-31,32
2016-02-07,30
2016-02-14,31
2016-02-21,27
2016-02-28,28
2016-03-06,31
2016-03-13,29
2016-03-20,33
2016-03-27,31
2016-04-03,30
2016-04-10,29
2016-04-17,26
2016-04-24,22
2016-05-01,26
2016-05-08,25
2016-05-15,26
2016-05-22,22
2016-05-29,25
2016-06-05,24
2016-06-12,25
2016-06-19,23
2016-06-26,24
2016-07-03,26
2016-07-10,25
2016-07-17,30
2016-07-24,29
2016-07-31,29
2016-08-07,26
2016-08-14,24
2016-08-21,21
2016-08-28,22
2016-09-04,21
2016-09-11,26
2016-09-18,21
2016-09-25,22
2016-10-02,22
2016-10-09,24
2016-10-16,24
2016-10-23,23
2016-10-30,22
2016-11-06,22
2016-11-13,28
2016-11-20,26
2016-11-27,31
2016-12-04,33
2016-12-11,32
2016-12-18,30
2016-12-25,36
