date,new york unemployment
2006-01-01,42
2006-01-08,34
2006-01-15,35
2006-01-22,28
2006-01-29,32
2006-02-05,29
2006-02-12,26
2006-02-19,26
2006-02-26,30
2006-03-05,24
2006-03-12,25
2006-03-19,30
2006-03-26,30
2006-04-02,34
2006-04-09,24
2006-04-16,23
2006-04-23,28
2006-04-30,27
2006-05-07,22
2006-05-14,26
2006-05-21,29
2006-05-28,28
2006-06-04,29
2006-06-11,27
2006-06-18,30
2006-06-25,36
2006-07-02,38
2006-07-09,29
2006-07-16,30
2006-07-23,30
2006-07-30,29
2006-08-06,35
2006-08-13,37
2006-08-20,30
2006-08-27,32
2006-09-03,32
2006-09-10,24
2006-09-17,31
2006-09-24,30
2006-10-01,30
2006-10-08,30
2006-10-15,28
2006-10-22,29
2006-10-29,30
2006-11-05,31
2006-11-12,33
2006-11-19,26
2006-11-26,28
2006-12-03,26
2006-12-10,29
2006-12-17,28
2006-12-24,32
2006-12-31,36
2007-01-07,34
2007-01-14,29
2007-01-21,35
2007-01-28,31
2007-02-04,31
2007-02-11,29
2007-02-18,31
2007-02-25,32
2007-03-04,26
2007-03-11,25
2007-03-18,33
2007-03-25,32
2007-04-01,30
2007-04-08,32
2007-04-15,34
2007-04-22,26
2007-04-29,24
2007-05-06,25
2007-05-13,28
2007-05-20,26
2007-05-27,32
2007-06-03,29
2007-06-10,30
2007-06-17,33
2007-06-24,31
2007-07-01,37
2007-07-08,28
2007-07-15,34
2007-07-22,34
2007-07-29,31
2007-08-05,31
2007-08-12,30
2007-08-19,27
2007-08-26,27
2007-09-02,29
2007-09-09,23
2007-09-16,25
2007-09-23,24
2007-09-30,24
2007-10-07,30
2007-10-14,25
2007-10-21,24
2007-10-28,21
2007-11-04,26
2007-11-11,30
2007-11-18,22
2007-11-25,26
2007-12-02,27
2007-12-09,25
2007-12-16,30
2007-12-23,35
2007-12-30,42
2008-01-06,35
2008-01-13,27
2008-01-20,31
2008-01-27,34
2008-02-03,30
2008-02-10,32
2008-02-17,28
2008-02-24,27
2008-03-02,36
2008-03-09,29
2008-03-16,31
2008-03-23,26
2008-03-30,32
2008-04-06,31
2008-04-13,25
2008-04-20,27
2008-04-27,25
2008-05-04,26
2008-05-11,28
2008-05-18,29
2008-05-25,24
2008-06-01,27
2008-06-08,28
2008-06-15,32
2008-06-22,29
2008-06-29,37
2008-07-06,32
2008-07-13,38
2008-07-20,38
2008-07-27,44
2008-08-03,40
2008-08-10,34
2008-08-17,36
2008-08-24,35
2008-08-31,42
2008-09-07,33
2008-09-14,34
2008-09-21,34
2008-09-28,41
2008-10-05,40
2008-10-12,40
2008-10-19,43
2008-10-26,42
2008-11-02,44
2008-11-09,49
2008-11-16,56
2008-11-23,52
2008-11-30,56
2008-12-07,56
2008-12-14,56
2008-12-21,56
2008-12-28,57
2009-01-04,76
2009-01-11,64
2009-01-18,68
2009-01-25,70
2009-02-01,72
2009-02-08,64
2009-02-15,66
2009-02-22,87
2009-03-01,69
2009-03-08,70
2009-03-15,61
2009-03-22,68
2009-03-29,67
2009-04-05,68
2009-04-12,63
2009-04-19,57
2009-04-26,68
2009-05-03,61
2009-05-10,66
2009-05-17,62
2009-05-24,71
2009-05-31,56
2009-06-07,57
2009-06-14,62
2009-06-21,69
2009-06-28,66
2009-07-05,69
2009-07-12,67
2009-07-19,60
2009-07-26,68
2009-08-02,67
2009-08-09,67
2009-08-16,65
2009-08-23,69
2009-08-30,61
2009-09-06,71
2009-09-13,65
2009-09-20,67
2009-09-27,68
2009-10-04,86
2009-10-11,77
2009-10-18,63
2009-10-25,64
2009-11-01,75
2009-11-08,86
2009-11-15,65
2009-11-22,57
2009-11-29,66
2009-12-06,64
2009-12-13,62
2009-12-20,82
2009-12-27,68
2010-01-03,71
2010-01-10,69
2010-01-17,67
2010-01-24,70
2010-01-31,65
2010-02-07,58
2010-02-14,64
2010-02-21,69
2010-02-28,61
2010-03-07,62
2010-03-14,60
2010-03-21,58
2010-03-28,100
2010-04-04,63
2010-04-11,68
2010-04-18,58
2010-04-25,54
2010-05-02,53
2010-05-09,53
2010-05-16,55
2010-05-23,50
2010-05-30,54
2010-06-06,53
2010-06-13,61
2010-06-20,56
2010-06-27,58
2010-07-04,57
2010-07-11,63
2010-07-18,78
2010-07-25,51
2010-08-01,45
2010-08-08,41
2010-08-15,47
2010-08-22,45
2010-08-29,42
2010-09-05,44
2010-09-12,38
2010-09-19,39
2010-09-26,40
2010-10-03,42
2010-10-10,43
2010-10-17,40
2010-10-24,42
2010-10-31,46
2010-11-07,42
2010-11-14,45
2010-11-21,37
2010-11-28,46
2010-12-05,52
2010-12-12,59
2010-12-19,48
2010-12-26,46
