date,ny unemployment
2006-01-01,14
2006-01-08,12
2006-01-15,12
2006-01-22,15
2006-01-29,12
2006-02-05,13
2006-02-12,11
2006-02-19,12
2006-02-26,12
2006-03-05,9
2006-03-12,12
2006-03-19,8
2006-03-26,10
2006-04-02,14
2006-04-09,12
2006-04-16,11
2006-04-23,11
2006-04-30,12
2006-05-07,13
2006-05-14,9
2006-05-21,12
2006-05-28,10
2006-06-04,12
2006-06-11,10
2006-06-18,15
2006-06-25,16
2006-07-02,15
2006-07-09,15
2006-07-16,12
2006-07-23,13
2006-07-30,14
2006-08-06,17
2006-08-13,15
2006-08-20,11
2006-08-27,14
2006-09-03,12
2006-09-10,15
2006-09-17,12
2006-09-24,13
2006-10-01,16
2006-10-08,13
2006-10-15,12
2006-10-22,13
2006-10-29,13
2006-11-05,13
2006-11-12,13
2006-11-19,18
2006-11-26,16
2006-12-03,16
2006-12-10,10
2006-12-17,13
2006-12-24,18
2006-12-31,18
2007-01-07,15
2007-01-14,19
2007-01-21,16
2007-01-28,17
2007-02-04,20
2007-02-11,14
2007-02-18,14
2007-02-25,15
2007-03-04,17
2007-03-11,16
2007-03-18,14
2007-03-25,16
2007-04-01,15
2007-04-08,20
2007-04-15,17
2007-04-22,15
2007-04-29,16
2007-05-06,15
2007-05-13,16
2007-05-20,14
2007-05-27,14
2007-06-03,14
2007-06-10,11
2007-06-17,14
2007-06-24,13
2007-07-01,15
2007-07-08,16
2007-07-15,13
2007-07-22,16
2007-07-29,16
2007-08-05,17
2007-08-12,15
2007-08-19,16
2007-08-26,15
2007-09-02,18
2007-09-09,15
2007-09-16,17
2007-09-23,16
2007-09-30,15
2007-10-07,14
2007-10-14,13
2007-10-21,14
2007-10-28,14
2007-11-04,15
2007-11-11,14
2007-11-18,18
2007-11-25,15
2007-12-02,13
2007-12-09,15
2007-12-16,18
2007-12-23,20
2007-12-30,19
2008-01-06,21
2008-01-13,17
2008-01-20,19
2008-01-27,20
2008-02-03,20
2008-02-10,18
2008-02-17,18
2008-02-24,19
2008-03-02,18
2008-03-09,19
2008-03-16,19
2008-03-23,19
2008-03-30,18
2008-04-06,19
2008-04-13,18
2008-04-20,17
2008-04-27,16
2008-05-04,18
2008-05-11,15
2008-05-18,20
2008-05-25,15
2008-06-01,17
2008-06-08,18
2008-06-15,18
2008-06-22,19
2008-06-29,22
2008-07-06,21
2008-07-13,25
2008-07-20,26
2008-07-27,29
2008-08-03,29
2008-08-10,25
2008-08-17,23
2008-08-24,27
2008-08-31,30
2008-09-07,26
2008-09-14,25
2008-09-21,26
2008-09-28,29
2008-10-05,28
2008-10-12,26
2008-10-19,34
2008-10-26,32
2008-11-02,31
2008-11-09,33
2008-11-16,40
2008-11-23,36
2008-11-30,37
2008-12-07,40
2008-12-14,37
2008-12-21,42
2008-12-28,41
2009-01-04,54
2009-01-11,47
2009-01-18,51
2009-01-25,45
2009-02-01,48
2009-02-08,43
2009-02-15,56
2009-02-22,64
2009-03-01,52
2009-03-08,59
2009-03-15,54
2009-03-22,51
2009-03-29,51
2009-04-05,51
2009-04-12,52
2009-04-19,49
2009-04-26,42
2009-05-03,47
2009-05-10,51
2009-05-17,47
2009-05-24,53
2009-05-31,49
2009-06-07,47
2009-06-14,47
2009-06-21,57
2009-06-28,52
2009-07-05,64
2009-07-12,62
2009-07-19,59
2009-07-26,60
2009-08-02,60
2009-08-09,61
2009-08-16,58
2009-08-23,56
2009-08-30,61
2009-09-06,61
2009-09-13,61
2009-09-20,56
2009-09-27,62
2009-10-04,81
2009-10-11,71
2009-10-18,63
2009-10-25,58
2009-11-01,69
2009-11-08,93
2009-11-15,54
2009-11-22,59
2009-11-29,56
2009-12-06,56
2009-12-13,57
2009-12-20,76
2009-12-27,65
2010-01-03,64
2010-01-10,64
2010-01-17,61
2010-01-24,62
2010-01-31,56
2010-02-07,58
2010-02-14,60
2010-02-21,61
2010-02-28,61
2010-03-07,56
2010-03-14,56
2010-03-21,59
2010-03-28,100
2010-04-04,57
2010-04-11,64
2010-04-18,54
2010-04-25,50
2010-05-02,52
2010-05-09,51
2010-05-16,49
2010-05-23,44
2010-05-30,50
2010-06-06,44
2010-06-13,53
2010-06-20,59
2010-06-27,57
2010-07-04,53
2010-07-11,62
2010-07-18,76
2010-07-25,54
2010-08-01,43
2010-08-08,40
2010-08-15,43
2010-08-22,40
2010-08-29,41
2010-09-05,45
2010-09-12,42
2010-09-19,41
2010-09-26,38
2010-10-03,40
2010-10-10,40
2010-10-17,41
2010-10-24,42
2010-10-31,45
2010-11-07,45
2010-11-14,41
2010-11-21,44
2010-11-28,46
2010-12-05,51
2010-12-12,56
2010-12-19,57
2010-12-26,47
