date,unemployment benefits
2006-01-01,10
2006-01-08,8
2006-01-15,6
2006-01-22,9
2006-01-29,7
2006-02-05,7
2006-02-12,5
2006-02-19,7
2006-02-26,7
2006-03-05,7
2006-03-12,6
2006-03-19,8
2006-03-26,7
2006-04-02,5
2006-04-09,7
2006-04-16,6
2006-04-23,6
2006-04-30,6
2006-05-07,7
2006-05-14,7
2006-05-21,8
2006-05-28,8
2006-06-04,8
2006-06-11,6
2006-06-18,7
2006-06-25,7
2006-07-02,8
2006-07-09,7
2006-07-16,6
2006-07-23,7
2006-07-30,8
2006-08-06,7
2006-08-13,8
2006-08-20,6
2006-08-27,7
2006-09-03,8
2006-09-10,7
2006-09-17,7
2006-09-24,8
2006-10-01,8
2006-10-08,7
2006-10-15,7
2006-10-22,10
2006-10-29,10
2006-11-05,8
2006-11-12,9
2006-11-19,7
2006-11-26,9
2006-12-03,9
2006-12-10,8
2006-12-17,9
2006-12-24,8
2006-12-31,11
2007-01-07,11
2007-01-14,11
2007-01-21,11
2007-01-28,10
2007-02-04,10
2007-02-11,9
2007-02-18,10
2007-02-25,10
2007-03-04,11
2007-03-11,10
2007-03-18,9
2007-03-25,10
2007-04-01,10
2007-04-08,10
2007-04-15,9
2007-04-22,9
2007-04-29,9
2007-05-06,10
2007-05-13,10
2007-05-20,8
2007-05-27,10
2007-06-03,11
2007-06-10,10
2007-06-17,10
2007-06-24,10
2007-07-01,12
2007-07-08,12
2007-07-15,11
2007-07-22,12
2007-07-29,11
2007-08-05,12
2007-08-12,10
2007-08-19,12
2007-08-26,10
2007-09-02,12
2007-09-09,10
2007-09-16,11
2007-09-23,11
2007-09-30,11
2007-10-07,11
2007-10-14,10
2007-10-21,11
2007-10-28,12
2007-11-04,11
2007-11-11,12
2007-11-18,11
2007-11-25,13
2007-12-02,13
2007-12-09,12
2007-12-16,12
2007-12-23,13
2007-12-30,16
2008-01-06,15
2008-01-13,14
2008-01-20,17
2008-01-27,17
2008-02-03,14
2008-02-10,15
2008-02-17,14
2008-02-24,15
2008-03-02,15
2008-03-09,15
2008-03-16,15
2008-03-23,15
2008-03-30,16
2008-04-06,15
2008-04-13,17
2008-04-20,14
2008-04-27,15
2008-05-04,15
2008-05-11,14
2008-05-18,15
2008-05-25,16
2008-06-01,17
2008-06-08,21
2008-06-15,20
2008-06-22,21
2008-06-29,25
2008-07-06,22
2008-07-13,18
2008-07-20,16
2008-07-27,19
2008-08-03,17
2008-08-10,17
2008-08-17,17
2008-08-24,21
2008-08-31,24
2008-09-07,26
2008-09-14,28
2008-09-21,25
2008-09-28,28
2008-10-05,31
2008-10-12,34
2008-10-19,35
2008-10-26,35
2008-11-02,38
2008-11-09,42
2008-11-16,62
2008-11-23,37
2008-11-30,37
2008-12-07,36
2008-12-14,38
2008-12-21,41
2008-12-28,47
2009-01-04,60
2009-01-11,56
2009-01-18,56
2009-01-25,64
2009-02-01,62
2009-02-08,58
2009-02-15,66
2009-02-22,63
2009-03-01,51
2009-03-08,47
2009-03-15,42
2009-03-22,40
2009-03-29,43
2009-04-05,43
2009-04-12,42
2009-04-19,40
2009-04-26,38
2009-05-03,36
2009-05-10,37
2009-05-17,39
2009-05-24,42
2009-05-31,41
2009-06-07,40
2009-06-14,40
2009-06-21,43
2009-06-28,42
2009-07-05,45
2009-07-12,47
2009-07-19,47
2009-07-26,42
2009-08-02,50
2009-08-09,43
2009-08-16,42
2009-08-23,43
2009-08-30,44
2009-09-06,44
2009-09-13,43
2009-09-20,53
2009-09-27,46
2009-10-04,60
2009-10-11,56
2009-10-18,51
2009-10-25,53
2009-11-01,66
2009-11-08,61
2009-11-15,48
2009-11-22,42
2009-11-29,44
2009-12-06,42
2009-12-13,44
2009-12-20,46
2009-12-27,45
2010-01-03,47
2010-01-10,42
2010-01-17,43
2010-01-24,42
2010-01-31,40
2010-02-07,39
2010-02-14,43
2010-02-21,48
2010-02-28,62
2010-03-07,49
2010-03-14,39
2010-03-21,42
2010-03-28,59
2010-04-04,44
2010-04-11,58
2010-04-18,43
2010-04-25,37
2010-05-02,36
2010-05-09,37
2010-05-16,37
2010-05-23,40
2010-05-30,38
2010-06-06,46
2010-06-13,53
2010-06-20,69
2010-06-27,67
2010-07-04,52
2010-07-11,66
2010-07-18,100
2010-07-25,46
2010-08-01,36
2010-08-08,31
2010-08-15,29
2010-08-22,27
2010-08-29,27
2010-09-05,27
2010-09-12,25
2010-09-19,26
2010-09-26,24
2010-10-03,24
2010-10-10,24
2010-10-17,25
2010-10-24,24
2010-10-31,25
2010-11-07,27
2010-11-14,31
2010-11-21,24
2010-11-28,50
2010-12-05,53
2010-12-12,45
2010-12-19,32
2010-12-26,27
