date,pa unemployment
2006-01-01,15
2006-01-08,15
2006-01-15,14
2006-01-22,14
2006-01-29,11
2006-02-05,8
2006-02-12,12
2006-02-19,11
2006-02-26,9
2006-03-05,8
2006-03-12,10
2006-03-19,10
2006-03-26,13
2006-04-02,10
2006-04-09,9
2006-04-16,12
2006-04-23,9
2006-04-30,12
2006-05-07,12
2006-05-14,11
2006-05-21,8
2006-05-28,11
2006-06-04,12
2006-06-11,9
2006-06-18,12
2006-06-25,12
2006-07-02,15
2006-07-09,10
2006-07-16,8
2006-07-23,10
2006-07-30,14
2006-08-06,10
2006-08-13,11
2006-08-20,12
2006-08-27,11
2006-09-03,6
2006-09-10,9
2006-09-17,9
2006-09-24,9
2006-10-01,10
2006-10-08,12
2006-10-15,10
2006-10-22,10
2006-10-29,9
2006-11-05,8
2006-11-12,12
2006-11-19,8
2006-11-26,15
2006-12-03,10
2006-12-10,11
2006-12-17,13
2006-12-24,17
2006-12-31,18
2007-01-07,18
2007-01-14,19
2007-01-21,18
2007-01-28,16
2007-02-04,13
2007-02-11,13
2007-02-18,13
2007-02-25,13
2007-03-04,14
2007-03-11,13
2007-03-18,11
2007-03-25,12
2007-04-01,15
2007-04-08,11
2007-04-15,11
2007-04-22,10
2007-04-29,9
2007-05-06,10
2007-05-13,11
2007-05-20,8
2007-05-27,13
2007-06-03,11
2007-06-10,13
2007-06-17,10
2007-06-24,13
2007-07-01,17
2007-07-08,13
2007-07-15,11
2007-07-22,14
2007-07-29,11
2007-08-05,11
2007-08-12,12
2007-08-19,11
2007-08-26,13
2007-09-02,13
2007-09-09,11
2007-09-16,11
2007-09-23,12
2007-09-30,12
2007-10-07,11
2007-10-14,16
2007-10-21,12
2007-10-28,12
2007-11-04,12
2007-11-11,12
2007-11-18,15
2007-11-25,13
2007-12-02,15
2007-12-09,14
2007-12-16,12
2007-12-23,16
2007-12-30,25
2008-01-06,20
2008-01-13,19
2008-01-20,19
2008-01-27,18
2008-02-03,17
2008-02-10,17
2008-02-17,17
2008-02-24,16
2008-03-02,17
2008-03-09,17
2008-03-16,14
2008-03-23,17
2008-03-30,18
2008-04-06,16
2008-04-13,17
2008-04-20,16
2008-04-27,17
2008-05-04,14
2008-05-11,14
2008-05-18,14
2008-05-25,17
2008-06-01,16
2008-06-08,19
2008-06-15,19
2008-06-22,19
2008-06-29,21
2008-07-06,18
2008-07-13,21
2008-07-20,25
2008-07-27,17
2008-08-03,21
2008-08-10,20
2008-08-17,24
2008-08-24,21
2008-08-31,26
2008-09-07,24
2008-09-14,24
2008-09-21,26
2008-09-28,25
2008-10-05,23
2008-10-12,32
2008-10-19,27
2008-10-26,26
2008-11-02,29
2008-11-09,36
2008-11-16,43
2008-11-23,37
2008-11-30,43
2008-12-07,45
2008-12-14,40
2008-12-21,50
2008-12-28,55
2009-01-04,68
2009-01-11,50
2009-01-18,58
2009-01-25,46
2009-02-01,52
2009-02-08,46
2009-02-15,48
2009-02-22,47
2009-03-01,48
2009-03-08,44
2009-03-15,45
2009-03-22,42
2009-03-29,45
2009-04-05,42
2009-04-12,42
2009-04-19,39
2009-04-26,43
2009-05-03,34
2009-05-10,38
2009-05-17,43
2009-05-24,44
2009-05-31,41
2009-06-07,43
2009-06-14,47
2009-06-21,44
2009-06-28,43
2009-07-05,45
2009-07-12,47
2009-07-19,47
2009-07-26,44
2009-08-02,55
2009-08-09,52
2009-08-16,48
2009-08-23,42
2009-08-30,43
2009-09-06,44
2009-09-13,41
2009-09-20,63
2009-09-27,46
2009-10-04,41
2009-10-11,47
2009-10-18,43
2009-10-25,41
2009-11-01,51
2009-11-08,46
2009-11-15,44
2009-11-22,47
2009-11-29,76
2009-12-06,48
2009-12-13,46
2009-12-20,100
2009-12-27,80
2010-01-03,76
2010-01-10,65
2010-01-17,65
2010-01-24,52
2010-01-31,48
2010-02-07,40
2010-02-14,49
2010-02-21,43
2010-02-28,49
2010-03-07,45
2010-03-14,44
2010-03-21,42
2010-03-28,46
2010-04-04,43
2010-04-11,51
2010-04-18,43
2010-04-25,37
2010-05-02,38
2010-05-09,38
2010-05-16,38
2010-05-23,42
2010-05-30,43
2010-06-06,42
2010-06-13,48
2010-06-20,57
2010-06-27,57
2010-07-04,55
2010-07-11,55
2010-07-18,78
2010-07-25,58
2010-08-01,50
2010-08-08,47
2010-08-15,44
2010-08-22,42
2010-08-29,44
2010-09-05,39
2010-09-12,38
2010-09-19,36
2010-09-26,40
2010-10-03,42
2010-10-10,41
2010-10-17,37
2010-10-24,34
2010-10-31,38
2010-11-07,34
2010-11-14,39
2010-11-21,36
2010-11-28,43
2010-12-05,51
2010-12-12,46
2010-12-19,48
2010-12-26,48
