date,unemployment
2006-01-01,18
2006-01-08,18
2006-01-15,16
2006-01-22,16
2006-01-29,17
2006-02-05,15
2006-02-12,14
2006-02-19,15
2006-02-26,15
2006-03-05,14
2006-03-12,13
2006-03-19,14
2006-03-26,14
2006-04-02,15
2006-04-09,15
2006-04-16,15
2006-04-23,15
2006-04-30,15
2006-05-07,13
2006-05-14,13
2006-05-21,13
2006-05-28,14
2006-06-04,14
2006-06-11,14
2006-06-18,15
2006-06-25,15
2006-07-02,16
2006-07-09,15
2006-07-16,15
2006-07-23,15
2006-07-30,15
2006-08-06,14
2006-08-13,14
2006-08-20,14
2006-08-27,14
2006-09-03,14
2006-09-10,14
2006-09-17,14
2006-09-24,14
2006-10-01,15
2006-10-08,15
2006-10-15,15
2006-10-22,14
2006-10-29,16
2006-11-05,15
2006-11-12,15
2006-11-19,13
2006-11-26,16
2006-12-03,16
2006-12-10,15
2006-12-17,15
2006-12-24,16
2006-12-31,20
2007-01-07,19
2007-01-14,19
2007-01-21,18
2007-01-28,18
2007-02-04,16
2007-02-11,15
2007-02-18,17
2007-02-25,16
2007-03-04,16
2007-03-11,15
2007-03-18,15
2007-03-25,15
2007-04-01,16
2007-04-08,16
2007-04-15,16
2007-04-22,16
2007-04-29,15
2007-05-06,15
2007-05-13,15
2007-05-20,14
2007-05-27,15
2007-06-03,16
2007-06-10,15
2007-06-17,15
2007-06-24,16
2007-07-01,16
2007-07-08,16
2007-07-15,17
2007-07-22,16
2007-07-29,16
2007-08-05,16
2007-08-12,15
2007-08-19,16
2007-08-26,15
2007-09-02,15
2007-09-09,15
2007-09-16,15
2007-09-23,16
2007-09-30,16
2007-10-07,17
2007-10-14,17
2007-10-21,16
2007-10-28,16
2007-11-04,17
2007-11-11,17
2007-11-18,15
2007-11-25,18
2007-12-02,18
2007-12-09,18
2007-12-16,17
2007-12-23,18
2007-12-30,22
2008-01-06,23
2008-01-13,21
2008-01-20,22
2008-01-27,21
2008-02-03,20
2008-02-10,19
2008-02-17,19
2008-02-24,19
2008-03-02,19
2008-03-09,18
2008-03-16,18
2008-03-23,18
2008-03-30,20
2008-04-06,20
2008-04-13,20
2008-04-20,20
2008-04-27,19
2008-05-04,18
2008-05-11,18
2008-05-18,18
2008-05-25,18
2008-06-01,20
2008-06-08,21
2008-06-15,22
2008-06-22,22
2008-06-29,24
2008-07-06,24
2008-07-13,24
2008-07-20,24
2008-07-27,25
2008-08-03,24
2008-08-10,23
2008-08-17,23
2008-08-24,23
2008-08-31,26
2008-09-07,25
2008-09-14,26
2008-09-21,26
2008-09-28,29
2008-10-05,29
2008-10-12,30
2008-10-19,31
2008-10-26,31
2008-11-02,34
2008-11-09,37
2008-11-16,46
2008-11-23,38
2008-11-30,46
2008-12-07,44
2008-12-14,42
2008-12-21,41
2008-12-28,47
2009-01-04,60
2009-01-11,53
2009-01-18,52
2009-01-25,56
2009-02-01,57
2009-02-08,53
2009-02-15,53
2009-02-22,56
2009-03-01,55
2009-03-08,54
2009-03-15,50
2009-03-22,49
2009-03-29,51
2009-04-05,50
2009-04-12,50
2009-04-19,46
2009-04-26,47
2009-05-03,47
2009-05-10,47
2009-05-17,47
2009-05-24,47
2009-05-31,48
2009-06-07,47
2009-06-14,50
2009-06-21,51
2009-06-28,52
2009-07-05,54
2009-07-12,54
2009-07-19,51
2009-07-26,51
2009-08-02,53
2009-08-09,50
2009-08-16,48
2009-08-23,48
2009-08-30,48
2009-09-06,48
2009-09-13,47
2009-09-20,52
2009-09-27,52
2009-10-04,57
2009-10-11,54
2009-10-18,54
2009-10-25,53
2009-11-01,63
2009-11-08,58
2009-11-15,53
2009-11-22,47
2009-11-29,56
2009-12-06,50
2009-12-13,55
2009-12-20,56
2009-12-27,58
2010-01-03,62
2010-01-10,58
2010-01-17,61
2010-01-24,59
2010-01-31,54
2010-02-07,50
2010-02-14,54
2010-02-21,55
2010-02-28,64
2010-03-07,53
2010-03-14,51
2010-03-21,50
2010-03-28,59
2010-04-04,52
2010-04-11,63
2010-04-18,52
2010-04-25,48
2010-05-02,47
2010-05-09,47
2010-05-16,47
2010-05-23,48
2010-05-30,49
2010-06-06,52
2010-06-13,59
2010-06-20,69
2010-06-27,75
2010-07-04,60
2010-07-11,76
2010-07-18,100
2010-07-25,61
2010-08-01,51
2010-08-08,47
2010-08-15,45
2010-08-22,43
2010-08-29,43
2010-09-05,42
2010-09-12,43
2010-09-19,42
2010-09-26,41
2010-10-03,43
2010-10-10,41
2010-10-17,40
2010-10-24,40
2010-10-31,43
2010-11-07,42
2010-11-14,46
2010-11-21,38
2010-11-28,59
2010-12-05,62
2010-12-12,59
2010-12-19,49
2010-12-26,48
