date,unemployment online
2006-01-01,4
2006-01-08,10
2006-01-15,10
2006-01-22,5
2006-01-29,10
2006-02-05,9
2006-02-12,9
2006-02-19,9
2006-02-26,7
2006-03-05,7
2006-03-12,5
2006-03-19,7
2006-03-26,10
2006-04-02,4
2006-04-09,12
2006-04-16,8
2006-04-23,12
2006-04-30,6
2006-05-07,10
2006-05-14,11
2006-05-21,6
2006-05-28,9
2006-06-04,7
2006-06-11,7
2006-06-18,9
2006-06-25,7
2006-07-02,13
2006-07-09,12
2006-07-16,10
2006-07-23,9
2006-07-30,9
2006-08-06,10
2006-08-13,6
2006-08-20,5
2006-08-27,7
2006-09-03,7
2006-09-10,8
2006-09-17,10
2006-09-24,12
2006-10-01,6
2006-10-08,9
2006-10-15,6
2006-10-22,9
2006-10-29,7
2006-11-05,5
2006-11-12,9
2006-11-19,8
2006-11-26,13
2006-12-03,11
2006-12-10,8
2006-12-17,9
2006-12-24,12
2006-12-31,13
2007-01-07,9
2007-01-14,12
2007-01-21,7
2007-01-28,14
2007-02-04,8
2007-02-11,7
2007-02-18,8
2007-02-25,9
2007-03-04,8
2007-03-11,5
2007-03-18,8
2007-03-25,9
2007-04-01,10
2007-04-08,11
2007-04-15,9
2007-04-22,13
2007-04-29,9
2007-05-06,9
2007-05-13,8
2007-05-20,10
2007-05-27,10
2007-06-03,11
2007-06-10,10
2007-06-17,6
2007-06-24,8
2007-07-01,9
2007-07-08,11
2007-07-15,7
2007-07-22,9
2007-07-29,11
2007-08-05,8
2007-08-12,7
2007-08-19,8
2007-08-26,9
2007-09-02,11
2007-09-09,10
2007-09-16,8
2007-09-23,7
2007-09-30,9
2007-10-07,14
2007-10-14,12
2007-10-21,10
2007-10-28,9
2007-11-04,13
2007-11-11,9
2007-11-18,12
2007-11-25,11
2007-12-02,12
2007-12-09,10
2007-12-16,16
2007-12-23,12
2007-12-30,17
2008-01-06,21
2008-01-13,17
2008-01-20,19
2008-01-27,13
2008-02-03,12
2008-02-10,15
2008-02-17,12
2008-02-24,10
2008-03-02,11
2008-03-09,12
2008-03-16,11
2008-03-23,14
2008-03-30,11
2008-04-06,11
2008-04-13,11
2008-04-20,14
2008-04-27,15
2008-05-04,13
2008-05-11,10
2008-05-18,11
2008-05-25,12
2008-06-01,13
2008-06-08,15
2008-06-15,20
2008-06-22,14
2008-06-29,17
2008-07-06,18
2008-07-13,21
2008-07-20,19
2008-07-27,16
2008-08-03,23
2008-08-10,19
2008-08-17,16
2008-08-24,23
2008-08-31,23
2008-09-07,20
2008-09-14,15
2008-09-21,14
2008-09-28,22
2008-10-05,19
2008-10-12,22
2008-10-19,22
2008-10-26,25
2008-11-02,26
2008-11-09,29
2008-11-16,24
2008-11-23,32
2008-11-30,29
2008-12-07,25
2008-12-14,34
2008-12-21,41
2008-12-28,39
2009-01-04,51
2009-01-11,45
2009-01-18,38
2009-01-25,41
2009-02-01,41
2009-02-08,36
2009-02-15,41
2009-02-22,48
2009-03-01,49
2009-03-08,41
2009-03-15,42
2009-03-22,43
2009-03-29,44
2009-04-05,47
2009-04-12,46
2009-04-19,38
2009-04-26,39
2009-05-03,36
2009-05-10,37
2009-05-17,42
2009-05-24,49
2009-05-31,46
2009-06-07,43
2009-06-14,46
2009-06-21,55
2009-06-28,53
2009-07-05,49
2009-07-12,53
2009-07-19,49
2009-07-26,47
2009-08-02,47
2009-08-09,53
2009-08-16,50
2009-08-23,49
2009-08-30,51
2009-09-06,49
2009-09-13,38
2009-09-20,45
2009-09-27,48
2009-10-04,78
2009-10-11,68
2009-10-18,53
2009-10-25,46
2009-11-01,57
2009-11-08,74
2009-11-15,52
2009-11-22,63
2009-11-29,61
2009-12-06,52
2009-12-13,60
2009-12-20,69
2009-12-27,74
2010-01-03,75
2010-01-10,72
2010-01-17,70
2010-01-24,60
2010-01-31,64
2010-02-07,56
2010-02-14,62
2010-02-21,55
2010-02-28,60
2010-03-07,57
2010-03-14,55
2010-03-21,57
2010-03-28,100
2010-04-04,60
2010-04-11,58
2010-04-18,54
2010-04-25,56
2010-05-02,54
2010-05-09,57
2010-05-16,56
2010-05-23,52
2010-05-30,48
2010-06-06,56
2010-06-13,57
2010-06-20,55
2010-06-27,72
2010-07-04,62
2010-07-11,66
2010-07-18,69
2010-07-25,60
2010-08-01,45
2010-08-08,42
2010-08-15,43
2010-08-22,44
2010-08-29,48
2010-09-05,44
2010-09-12,44
2010-09-19,40
2010-09-26,41
2010-10-03,36
2010-10-10,39
2010-10-17,40
2010-10-24,47
2010-10-31,45
2010-11-07,46
2010-11-14,43
2010-11-21,46
2010-11-28,52
2010-12-05,51
2010-12-12,56
2010-12-19,60
2010-12-26,54
