date,ohio unemployment
2006-01-01,15
2006-01-08,13
2006-01-15,14
2006-01-22,11
2006-01-29,16
2006-02-05,11
2006-02-12,12
2006-02-19,11
2006-02-26,15
2006-03-05,13
2006-03-12,8
2006-03-19,9
2006-03-26,11
2006-04-02,11
2006-04-09,12
2006-04-16,10
2006-04-23,9
2006-04-30,8
2006-05-07,12
2006-05-14,10
2006-05-21,10
2006-05-28,13
2006-06-04,15
2006-06-11,16
2006-06-18,13
2006-06-25,15
2006-07-02,18
2006-07-09,15
2006-07-16,11
2006-07-23,17
2006-07-30,15
2006-08-06,14
2006-08-13,12
2006-08-20,14
2006-08-27,10
2006-09-03,12
2006-09-10,12
2006-09-17,11
2006-09-24,11
2006-10-01,14
2006-10-08,13
2006-10-15,13
2006-10-22,10
2006-10-29,11
2006-11-05,11
2006-11-12,12
2006-11-19,13
2006-11-26,11
2006-12-03,14
2006-12-10,13
2006-12-17,16
2006-12-24,19
2006-12-31,18
2007-01-07,20
2007-01-14,19
2007-01-21,18
2007-01-28,20
2007-02-04,14
2007-02-11,16
2007-02-18,17
2007-02-25,13
2007-03-04,16
2007-03-11,16
2007-03-18,16
2007-03-25,13
2007-04-01,16
2007-04-08,15
2007-04-15,14
2007-04-22,16
2007-04-29,12
2007-05-06,10
2007-05-13,14
2007-05-20,13
2007-05-27,14
2007-06-03,13
2007-06-10,16
2007-06-17,13
2007-06-24,13
2007-07-01,15
2007-07-08,18
2007-07-15,15
2007-07-22,19
2007-07-29,17
2007-08-05,14
2007-08-12,11
2007-08-19,17
2007-08-26,11
2007-09-02,14
2007-09-09,14
2007-09-16,13
2007-09-23,11
2007-09-30,13
2007-10-07,20
2007-10-14,16
2007-10-21,15
2007-10-28,16
2007-11-04,13
2007-11-11,15
2007-11-18,13
2007-11-25,14
2007-12-02,13
2007-12-09,15
2007-12-16,18
2007-12-23,21
2007-12-30,20
2008-01-06,21
2008-01-13,21
2008-01-20,26
2008-01-27,23
2008-02-03,22
2008-02-10,18
2008-02-17,22
2008-02-24,20
2008-03-02,17
2008-03-09,19
2008-03-16,17
2008-03-23,17
2008-03-30,17
2008-04-06,17
2008-04-13,18
2008-04-20,19
2008-04-27,15
2008-05-04,18
2008-05-11,17
2008-05-18,17
2008-05-25,16
2008-06-01,17
2008-06-08,19
2008-06-15,15
2008-06-22,17
2008-06-29,21
2008-07-06,19
2008-07-13,20
2008-07-20,22
2008-07-27,20
2008-08-03,21
2008-08-10,21
2008-08-17,22
2008-08-24,26
2008-08-31,25
2008-09-07,22
2008-09-14,24
2008-09-21,21
2008-09-28,22
2008-10-05,21
2008-10-12,25
2008-10-19,28
2008-10-26,25
2008-11-02,27
2008-11-09,34
2008-11-16,40
2008-11-23,38
2008-11-30,41
2008-12-07,40
2008-12-14,44
2008-12-21,54
2008-12-28,58
2009-01-04,66
2009-01-11,68
2009-01-18,65
2009-01-25,59
2009-02-01,56
2009-02-08,55
2009-02-15,61
2009-02-22,52
2009-03-01,56
2009-03-08,57
2009-03-15,47
2009-03-22,49
2009-03-29,53
2009-04-05,52
2009-04-12,57
2009-04-19,56
2009-04-26,55
2009-05-03,54
2009-05-10,66
2009-05-17,49
2009-05-24,49
2009-05-31,50
2009-06-07,48
2009-06-14,53
2009-06-21,52
2009-06-28,56
2009-07-05,56
2009-07-12,60
2009-07-19,53
2009-07-26,52
2009-08-02,56
2009-08-09,61
2009-08-16,51
2009-08-23,51
2009-08-30,48
2009-09-06,50
2009-09-13,47
2009-09-20,51
2009-09-27,51
2009-10-04,49
2009-10-11,54
2009-10-18,56
2009-10-25,48
2009-11-01,52
2009-11-08,58
2009-11-15,57
2009-11-22,53
2009-11-29,71
2009-12-06,68
2009-12-13,100
2009-12-20,70
2009-12-27,77
2010-01-03,71
2010-01-10,73
2010-01-17,84
2010-01-24,82
2010-01-31,68
2010-02-07,63
2010-02-14,64
2010-02-21,59
2010-02-28,63
2010-03-07,57
2010-03-14,56
2010-03-21,52
2010-03-28,56
2010-04-04,54
2010-04-11,60
2010-04-18,59
2010-04-25,52
2010-05-02,48
2010-05-09,51
2010-05-16,60
2010-05-23,45
2010-05-30,45
2010-06-06,44
2010-06-13,55
2010-06-20,55
2010-06-27,58
2010-07-04,46
2010-07-11,50
2010-07-18,70
2010-07-25,67
2010-08-01,55
2010-08-08,59
2010-08-15,46
2010-08-22,38
2010-08-29,39
2010-09-05,39
2010-09-12,59
2010-09-19,39
2010-09-26,36
2010-10-03,36
2010-10-10,38
2010-10-17,41
2010-10-24,37
2010-10-31,36
2010-11-07,49
2010-11-14,39
2010-11-21,38
2010-11-28,45
2010-12-05,54
2010-12-12,54
2010-12-19,48
2010-12-26,51
