date,unemployment login
2006-01-01,0
2006-01-08,0
2006-01-15,0
2006-01-22,2
2006-01-29,0
2006-02-05,3
2006-02-12,2
2006-02-19,5
2006-02-26,2
2006-03-05,0
2006-03-12,0
2006-03-19,0
2006-03-26,3
2006-04-02,0
2006-04-09,0
2006-04-16,0
2006-04-23,0
2006-04-30,4
2006-05-07,0
2006-05-14,0
2006-05-21,0
2006-05-28,3
2006-06-04,2
2006-06-11,0
2006-06-18,0
2006-06-25,0
2006-07-02,3
2006-07-09,2
2006-07-16,0
2006-07-23,0
2006-07-30,2
2006-08-06,0
2006-08-13,2
2006-08-20,0
2006-08-27,0
2006-09-03,0
2006-09-10,2
2006-09-17,0
2006-09-24,2
2006-10-01,2
2006-10-08,3
2006-10-15,2
2006-10-22,0
2006-10-29,2
2006-11-05,0
2006-11-12,2
2006-11-19,2
2006-11-26,2
2006-12-03,0
2006-12-10,2
2006-12-17,0
2006-12-24,0
2006-12-31,2
2007-01-07,2
2007-01-14,2
2007-01-21,2
2007-01-28,0
2007-02-04,2
2007-02-11,2
2007-02-18,2
2007-02-25,0
2007-03-04,3
2007-03-11,3
2007-03-18,2
2007-03-25,2
2007-04-01,4
2007-04-08,0
2007-04-15,0
2007-04-22,2
2007-04-29,2
2007-05-06,2
2007-05-13,2
2007-05-20,2
2007-05-27,2
2007-06-03,3
2007-06-10,0
2007-06-17,2
2007-06-24,0
2007-07-01,3
2007-07-08,2
2007-07-15,2
2007-07-22,2
2007-07-29,0
2007-08-05,2
2007-08-12,0
2007-08-19,2
2007-08-26,2
2007-09-02,2
2007-09-09,4
2007-09-16,0
2007-09-23,0
2007-09-30,0
2007-10-07,2
2007-10-14,0
2007-10-21,1
2007-10-28,3
2007-11-04,2
2007-11-11,0
2007-11-18,3
2007-11-25,0
2007-12-02,1
2007-12-09,0
2007-12-16,1
2007-12-23,4
2007-12-30,3
2008-01-06,2
2008-01-13,1
2008-01-20,2
2008-01-27,3
2008-02-03,7
2008-02-10,2
2008-02-17,2
2008-02-24,3
2008-03-02,2
2008-03-09,1
2008-03-16,2
2008-03-23,0
2008-03-30,1
2008-04-06,1
2008-04-13,0
2008-04-20,1
2008-04-27,2
2008-05-04,0
2008-05-11,2
2008-05-18,2
2008-05-25,1
2008-06-01,3
2008-06-08,1
2008-06-15,3
2008-06-22,3
2008-06-29,2
2008-07-06,2
2008-07-13,1
2008-07-20,5
2008-07-27,2
2008-08-03,3
2008-08-10,3
2008-08-17,1
2008-08-24,4
2008-08-31,6
2008-09-07,5
2008-09-14,4
2008-09-21,4
2008-09-28,7
2008-10-05,6
2008-10-12,5
2008-10-19,5
2008-10-26,8
2008-11-02,4
2008-11-09,4
2008-11-16,7
2008-11-23,7
2008-11-30,9
2008-12-07,6
2008-12-14,10
2008-12-21,9
2008-12-28,10
2009-01-04,15
2009-01-11,16
2009-01-18,20
2009-01-25,16
2009-02-01,17
2009-02-08,17
2009-02-15,18
2009-02-22,16
2009-03-01,16
2009-03-08,16
2009-03-15,18
2009-03-22,23
2009-03-29,22
2009-04-05,22
2009-04-12,24
2009-04-19,19
2009-04-26,19
2009-05-03,17
2009-05-10,20
2009-05-17,22
2009-05-24,22
2009-05-31,20
2009-06-07,23
2009-06-14,22
2009-06-21,32
2009-06-28,27
2009-07-05,31
2009-07-12,33
2009-07-19,26
2009-07-26,27
2009-08-02,29
2009-08-09,31
2009-08-16,28
2009-08-23,31
2009-08-30,27
2009-09-06,31
2009-09-13,30
2009-09-20,31
2009-09-27,37
2009-10-04,32
2009-10-11,35
2009-10-18,33
2009-10-25,34
2009-11-01,39
2009-11-08,45
2009-11-15,42
2009-11-22,49
2009-11-29,64
2009-12-06,59
2009-12-13,90
2009-12-20,65
2009-12-27,100
2010-01-03,69
2010-01-10,65
2010-01-17,77
2010-01-24,77
2010-01-31,57
2010-02-07,63
2010-02-14,68
2010-02-21,69
2010-02-28,65
2010-03-07,59
2010-03-14,65
2010-03-21,58
2010-03-28,74
2010-04-04,68
2010-04-11,71
2010-04-18,59
2010-04-25,60
2010-05-02,63
2010-05-09,51
2010-05-16,49
2010-05-23,45
2010-05-30,43
2010-06-06,46
2010-06-13,51
2010-06-20,56
2010-06-27,54
2010-07-04,61
2010-07-11,55
2010-07-18,54
2010-07-25,44
2010-08-01,41
2010-08-08,39
2010-08-15,32
2010-08-22,40
2010-08-29,34
2010-09-05,37
2010-09-12,36
2010-09-19,43
2010-09-26,45
2010-10-03,32
2010-10-10,38
2010-10-17,39
2010-10-24,34
2010-10-31,47
2010-11-07,52
2010-11-14,51
2010-11-21,35
2010-11-28,51
2010-12-05,50
2010-12-12,53
2010-12-19,55
2010-12-26,54
