date,california unemployment
2006-01-01,28
2006-01-08,27
2006-01-15,25
2006-01-22,25
2006-01-29,28
2006-02-05,18
2006-02-12,24
2006-02-19,19
2006-02-26,25
2006-03-05,23
2006-03-12,19
2006-03-19,22
2006-03-26,23
2006-04-02,19
2006-04-09,23
2006-04-16,21
2006-04-23,22
2006-04-30,21
2006-05-07,23
2006-05-14,20
2006-05-21,20
2006-05-28,22
2006-06-04,25
2006-06-11,25
2006-06-18,23
2006-06-25,23
2006-07-02,23
2006-07-09,26
2006-07-16,25
2006-07-23,17
2006-07-30,24
2006-08-06,18
2006-08-13,20
2006-08-20,16
2006-08-27,20
2006-09-03,20
2006-09-10,18
2006-09-17,21
2006-09-24,20
2006-10-01,23
2006-10-08,19
2006-10-15,19
2006-10-22,22
2006-10-29,17
2006-11-05,24
2006-11-12,20
2006-11-19,18
2006-11-26,23
2006-12-03,21
2006-12-10,21
2006-12-17,20
2006-12-24,16
2006-12-31,21
2007-01-07,26
2007-01-14,21
2007-01-21,19
2007-01-28,21
2007-02-04,20
2007-02-11,18
2007-02-18,16
2007-02-25,19
2007-03-04,17
2007-03-11,21
2007-03-18,21
2007-03-25,17
2007-04-01,18
2007-04-08,20
2007-04-15,19
2007-04-22,17
2007-04-29,20
2007-05-06,19
2007-05-13,21
2007-05-20,16
2007-05-27,21
2007-06-03,24
2007-06-10,27
2007-06-17,22
2007-06-24,22
2007-07-01,21
2007-07-08,23
2007-07-15,21
2007-07-22,22
2007-07-29,23
2007-08-05,22
2007-08-12,19
2007-08-19,23
2007-08-26,20
2007-09-02,23
2007-09-09,22
2007-09-16,19
2007-09-23,22
2007-09-30,24
2007-10-07,22
2007-10-14,20
2007-10-21,22
2007-10-28,21
2007-11-04,24
2007-11-11,22
2007-11-18,21
2007-11-25,22
2007-12-02,23
2007-12-09,21
2007-12-16,25
2007-12-23,18
2007-12-30,25
2008-01-06,31
2008-01-13,28
2008-01-20,28
2008-01-27,27
2008-02-03,22
2008-02-10,19
2008-02-17,25
2008-02-24,20
2008-03-02,22
2008-03-09,20
2008-03-16,20
2008-03-23,22
2008-03-30,23
2008-04-06,22
2008-04-13,26
2008-04-20,23
2008-04-27,23
2008-05-04,21
2008-05-11,24
2008-05-18,21
2008-05-25,21
2008-06-01,23
2008-06-08,31
2008-06-15,33
2008-06-22,34
2008-06-29,35
2008-07-06,43
2008-07-13,33
2008-07-20,35
2008-07-27,35
2008-08-03,34
2008-08-10,29
2008-08-17,34
2008-08-24,28
2008-08-31,36
2008-09-07,34
2008-09-14,35
2008-09-21,37
2008-09-28,41
2008-10-05,39
2008-10-12,42
2008-10-19,41
2008-10-26,46
2008-11-02,46
2008-11-09,49
2008-11-16,65
2008-11-23,50
2008-11-30,58
2008-12-07,59
2008-12-14,50
2008-12-21,40
2008-12-28,50
2009-01-04,73
2009-01-11,64
2009-01-18,65
2009-01-25,74
2009-02-01,72
2009-02-08,65
2009-02-15,66
2009-02-22,70
2009-03-01,74
2009-03-08,69
2009-03-15,64
2009-03-22,66
2009-03-29,69
2009-04-05,57
2009-04-12,58
2009-04-19,53
2009-04-26,58
2009-05-03,52
2009-05-10,56
2009-05-17,59
2009-05-24,53
2009-05-31,64
2009-06-07,62
2009-06-14,68
2009-06-21,72
2009-06-28,73
2009-07-05,71
2009-07-12,68
2009-07-19,66
2009-07-26,59
2009-08-02,66
2009-08-09,52
2009-08-16,61
2009-08-23,58
2009-08-30,63
2009-09-06,57
2009-09-13,60
2009-09-20,64
2009-09-27,67
2009-10-04,67
2009-10-11,59
2009-10-18,59
2009-10-25,53
2009-11-01,71
2009-11-08,64
2009-11-15,64
2009-11-22,49
2009-11-29,66
2009-12-06,57
2009-12-13,61
2009-12-20,49
2009-12-27,53
2010-01-03,74
2010-01-10,63
2010-01-17,69
2010-01-24,69
2010-01-31,60
2010-02-07,54
2010-02-14,54
2010-02-21,62
2010-02-28,66
2010-03-07,65
2010-03-14,56
2010-03-21,51
2010-03-28,57
2010-04-04,57
2010-04-11,67
2010-04-18,56
2010-04-25,51
2010-05-02,48
2010-05-09,54
2010-05-16,56
2010-05-23,52
2010-05-30,53
2010-06-06,60
2010-06-13,60
2010-06-20,79
2010-06-27,88
2010-07-04,66
2010-07-11,73
2010-07-18,100
2010-07-25,66
2010-08-01,49
2010-08-08,48
2010-08-15,45
2010-08-22,46
2010-08-29,43
2010-09-05,40
2010-09-12,47
2010-09-19,44
2010-09-26,43
2010-10-03,46
2010-10-10,41
2010-10-17,43
2010-10-24,48
2010-10-31,46
2010-11-07,47
2010-11-14,48
2010-11-21,34
2010-11-28,66
2010-12-05,62
2010-12-12,57
2010-12-19,42
2010-12-26,46
