date,unemployment florida
2006-01-01,22
2006-01-08,16
2006-01-15,14
2006-01-22,16
2006-01-29,16
2006-02-05,12
2006-02-12,14
2006-02-19,13
2006-02-26,10
2006-03-05,11
2006-03-12,10
2006-03-19,14
2006-03-26,11
2006-04-02,13
2006-04-09,13
2006-04-16,15
2006-04-23,17
2006-04-30,13
2006-05-07,14
2006-05-14,13
2006-05-21,15
2006-05-28,20
2006-06-04,14
2006-06-11,13
2006-06-18,15
2006-06-25,17
2006-07-02,17
2006-07-09,17
2006-07-16,17
2006-07-23,20
2006-07-30,19
2006-08-06,20
2006-08-13,18
2006-08-20,15
2006-08-27,17
2006-09-03,21
2006-09-10,15
2006-09-17,15
2006-09-24,17
2006-10-01,18
2006-10-08,12
2006-10-15,17
2006-10-22,19
2006-10-29,17
2006-11-05,14
2006-11-12,15
2006-11-19,13
2006-11-26,17
2006-12-03,16
2006-12-10,14
2006-12-17,16
2006-12-24,17
2006-12-31,22
2007-01-07,22
2007-01-14,20
2007-01-21,21
2007-01-28,21
2007-02-04,17
2007-02-11,17
2007-02-18,17
2007-02-25,18
2007-03-04,14
2007-03-11,16
2007-03-18,19
2007-03-25,24
2007-04-01,19
2007-04-08,21
2007-04-15,17
2007-04-22,23
2007-04-29,20
2007-05-06,16
2007-05-13,22
2007-05-20,20
2007-05-27,18
2007-06-03,23
2007-06-10,23
2007-06-17,22
2007-06-24,27
2007-07-01,22
2007-07-08,21
2007-07-15,24
2007-07-22,27
2007-07-29,24
2007-08-05,25
2007-08-12,23
2007-08-19,23
2007-08-26,22
2007-09-02,21
2007-09-09,17
2007-09-16,21
2007-09-23,21
2007-09-30,20
2007-10-07,26
2007-10-14,22
2007-10-21,21
2007-10-28,21
2007-11-04,21
2007-11-11,20
2007-11-18,16
2007-11-25,20
2007-12-02,18
2007-12-09,18
2007-12-16,21
2007-12-23,18
2007-12-30,22
2008-01-06,25
2008-01-13,28
2008-01-20,27
2008-01-27,23
2008-02-03,25
2008-02-10,21
2008-02-17,23
2008-02-24,19
2008-03-02,24
2008-03-09,19
2008-03-16,19
2008-03-23,23
2008-03-30,25
2008-04-06,25
2008-04-13,27
2008-04-20,26
2008-04-27,27
2008-05-04,27
2008-05-11,22
2008-05-18,25
2008-05-25,23
2008-06-01,28
2008-06-08,27
2008-06-15,29
2008-06-22,33
2008-06-29,37
2008-07-06,38
2008-07-13,36
2008-07-20,30
2008-07-27,35
2008-08-03,39
2008-08-10,38
2008-08-17,36
2008-08-24,34
2008-08-31,36
2008-09-07,39
2008-09-14,39
2008-09-21,40
2008-09-28,42
2008-10-05,40
2008-10-12,40
2008-10-19,39
2008-10-26,40
2008-11-02,39
2008-11-09,42
2008-11-16,48
2008-11-23,45
2008-11-30,51
2008-12-07,44
2008-12-14,46
2008-12-21,38
2008-12-28,53
2009-01-04,64
2009-01-11,65
2009-01-18,62
2009-01-25,60
2009-02-01,58
2009-02-08,56
2009-02-15,56
2009-02-22,68
2009-03-01,54
2009-03-08,55
2009-03-15,53
2009-03-22,56
2009-03-29,56
2009-04-05,53
2009-04-12,54
2009-04-19,57
2009-04-26,56
2009-05-03,57
2009-05-10,52
2009-05-17,57
2009-05-24,58
2009-05-31,65
2009-06-07,61
2009-06-14,70
2009-06-21,66
2009-06-28,65
2009-07-05,71
2009-07-12,68
2009-07-19,70
2009-07-26,65
2009-08-02,59
2009-08-09,68
2009-08-16,69
2009-08-23,68
2009-08-30,59
2009-09-06,67
2009-09-13,56
2009-09-20,70
2009-09-27,61
2009-10-04,68
2009-10-11,58
2009-10-18,59
2009-10-25,60
2009-11-01,75
2009-11-08,63
2009-11-15,63
2009-11-22,52
2009-11-29,64
2009-12-06,58
2009-12-13,64
2009-12-20,56
2009-12-27,60
2010-01-03,72
2010-01-10,67
2010-01-17,71
2010-01-24,67
2010-01-31,59
2010-02-07,51
2010-02-14,59
2010-02-21,56
2010-02-28,66
2010-03-07,64
2010-03-14,59
2010-03-21,55
2010-03-28,58
2010-04-04,54
2010-04-11,68
2010-04-18,65
2010-04-25,57
2010-05-02,59
2010-05-09,64
2010-05-16,63
2010-05-23,64
2010-05-30,64
2010-06-06,73
2010-06-13,70
2010-06-20,68
2010-06-27,74
2010-07-04,66
2010-07-11,71
2010-07-18,100
2010-07-25,94
2010-08-01,82
2010-08-08,83
2010-08-15,69
2010-08-22,72
2010-08-29,57
2010-09-05,63
2010-09-12,53
2010-09-19,60
2010-09-26,49
2010-10-03,60
2010-10-10,46
2010-10-17,54
2010-10-24,51
2010-10-31,50
2010-11-07,49
2010-11-14,57
2010-11-21,44
2010-11-28,58
2010-12-05,58
2010-12-12,58
2010-12-19,56
2010-12-26,60
