date,unemployment rate
2006-01-01,21
2006-01-08,18
2006-01-15,17
2006-01-22,18
2006-01-29,27
2006-02-05,20
2006-02-12,20
2006-02-19,19
2006-02-26,23
2006-03-05,23
2006-03-12,19
2006-03-19,19
2006-03-26,23
2006-04-02,25
2006-04-09,25
2006-04-16,20
2006-04-23,27
2006-04-30,22
2006-05-07,20
2006-05-14,21
2006-05-21,13
2006-05-28,19
2006-06-04,16
2006-06-11,13
2006-06-18,12
2006-06-25,13
2006-07-02,14
2006-07-09,11
2006-07-16,14
2006-07-23,11
2006-07-30,14
2006-08-06,12
2006-08-13,14
2006-08-20,11
2006-08-27,14
2006-09-03,15
2006-09-10,20
2006-09-17,25
2006-09-24,18
2006-10-01,20
2006-10-08,22
2006-10-15,18
2006-10-22,20
2006-10-29,28
2006-11-05,25
2006-11-12,22
2006-11-19,16
2006-11-26,20
2006-12-03,23
2006-12-10,18
2006-12-17,11
2006-12-24,8
2006-12-31,14
2007-01-07,17
2007-01-14,18
2007-01-21,20
2007-01-28,19
2007-02-04,17
2007-02-11,14
2007-02-18,17
2007-02-25,19
2007-03-04,18
2007-03-11,16
2007-03-18,18
2007-03-25,18
2007-04-01,18
2007-04-08,18
2007-04-15,20
2007-04-22,22
2007-04-29,23
2007-05-06,19
2007-05-13,20
2007-05-20,17
2007-05-27,14
2007-06-03,13
2007-06-10,14
2007-06-17,15
2007-06-24,10
2007-07-01,10
2007-07-08,13
2007-07-15,14
2007-07-22,14
2007-07-29,12
2007-08-05,11
2007-08-12,11
2007-08-19,10
2007-08-26,14
2007-09-02,15
2007-09-09,19
2007-09-16,20
2007-09-23,20
2007-09-30,18
2007-10-07,18
2007-10-14,19
2007-10-21,17
2007-10-28,20
2007-11-04,18
2007-11-11,22
2007-11-18,14
2007-11-25,23
2007-12-02,21
2007-12-09,19
2007-12-16,13
2007-12-23,7
2007-12-30,17
2008-01-06,21
2008-01-13,23
2008-01-20,22
2008-01-27,26
2008-02-03,21
2008-02-10,19
2008-02-17,22
2008-02-24,21
2008-03-02,23
2008-03-09,21
2008-03-16,19
2008-03-23,20
2008-03-30,27
2008-04-06,24
2008-04-13,21
2008-04-20,25
2008-04-27,23
2008-05-04,22
2008-05-11,18
2008-05-18,17
2008-05-25,16
2008-06-01,27
2008-06-08,20
2008-06-15,19
2008-06-22,16
2008-06-29,15
2008-07-06,13
2008-07-13,17
2008-07-20,16
2008-07-27,18
2008-08-03,15
2008-08-10,15
2008-08-17,13
2008-08-24,20
2008-08-31,34
2008-09-07,31
2008-09-14,38
2008-09-21,39
2008-09-28,43
2008-10-05,46
2008-10-12,37
2008-10-19,40
2008-10-26,42
2008-11-02,58
2008-11-09,54
2008-11-16,83
2008-11-23,50
2008-11-30,74
2008-12-07,59
2008-12-14,46
2008-12-21,26
2008-12-28,30
2009-01-04,66
2009-01-11,58
2009-01-18,63
2009-01-25,87
2009-02-01,88
2009-02-08,83
2009-02-15,73
2009-02-22,77
2009-03-01,100
2009-03-08,85
2009-03-15,70
2009-03-22,68
2009-03-29,79
2009-04-05,60
2009-04-12,68
2009-04-19,63
2009-04-26,79
2009-05-03,65
2009-05-10,51
2009-05-17,56
2009-05-24,43
2009-05-31,68
2009-06-07,53
2009-06-14,61
2009-06-21,51
2009-06-28,62
2009-07-05,61
2009-07-12,75
2009-07-19,58
2009-07-26,53
2009-08-02,64
2009-08-09,47
2009-08-16,46
2009-08-23,48
2009-08-30,65
2009-09-06,56
2009-09-13,63
2009-09-20,75
2009-09-27,74
2009-10-04,70
2009-10-11,62
2009-10-18,66
2009-10-25,61
2009-11-01,98
2009-11-08,72
2009-11-15,74
2009-11-22,48
2009-11-29,73
2009-12-06,62
2009-12-13,54
2009-12-20,31
2009-12-27,38
2010-01-03,57
2010-01-10,56
2010-01-17,60
2010-01-24,62
2010-01-31,69
2010-02-07,53
2010-02-14,52
2010-02-21,59
2010-02-28,65
2010-03-07,61
2010-03-14,49
2010-03-21,54
2010-03-28,57
2010-04-04,50
2010-04-11,58
2010-04-18,53
2010-04-25,53
2010-05-02,51
2010-05-09,48
2010-05-16,42
2010-05-23,38
2010-05-30,38
2010-06-06,36
2010-06-13,36
2010-06-20,38
2010-06-27,45
2010-07-04,34
2010-07-11,42
2010-07-18,49
2010-07-25,36
2010-08-01,39
2010-08-08,38
2010-08-15,39
2010-08-22,35
2010-08-29,41
2010-09-05,39
2010-09-12,41
2010-09-19,45
2010-09-26,44
2010-10-03,49
2010-10-10,46
2010-10-17,47
2010-10-24,49
2010-10-31,52
2010-11-07,42
2010-11-14,43
2010-11-21,32
2010-11-28,51
2010-12-05,56
2010-12-12,44
2010-12-19,28
2010-12-26,26
