date,unemployment insurance
2006-01-01,52
2006-01-08,48
2006-01-15,43
2006-01-22,47
2006-01-29,37
2006-02-05,34
2006-02-12,36
2006-02-19,35
2006-02-26,34
2006-03-05,40
2006-03-12,38
2006-03-19,42
2006-03-26,34
2006-04-02,33
2006-04-09,35
2006-04-16,44
2006-04-23,36
2006-04-30,33
2006-05-07,34
2006-05-14,31
2006-05-21,36
2006-05-28,37
2006-06-04,34
2006-06-11,42
2006-06-18,36
2006-06-25,42
2006-07-02,43
2006-07-09,41
2006-07-16,40
2006-07-23,40
2006-07-30,39
2006-08-06,36
2006-08-13,27
2006-08-20,28
2006-08-27,33
2006-09-03,36
2006-09-10,36
2006-09-17,34
2006-09-24,37
2006-10-01,41
2006-10-08,37
2006-10-15,37
2006-10-22,37
2006-10-29,43
2006-11-05,34
2006-11-12,35
2006-11-19,32
2006-11-26,41
2006-12-03,35
2006-12-10,40
2006-12-17,37
2006-12-24,41
2006-12-31,49
2007-01-07,49
2007-01-14,46
2007-01-21,50
2007-01-28,45
2007-02-04,42
2007-02-11,36
2007-02-18,36
2007-02-25,40
2007-03-04,40
2007-03-11,34
2007-03-18,34
2007-03-25,34
2007-04-01,39
2007-04-08,44
2007-04-15,41
2007-04-22,39
2007-04-29,34
2007-05-06,37
2007-05-13,35
2007-05-20,32
2007-05-27,34
2007-06-03,39
2007-06-10,40
2007-06-17,39
2007-06-24,38
2007-07-01,40
2007-07-08,42
2007-07-15,41
2007-07-22,34
2007-07-29,39
2007-08-05,41
2007-08-12,39
2007-08-19,37
2007-08-26,35
2007-09-02,30
2007-09-09,36
2007-09-16,36
2007-09-23,34
2007-09-30,36
2007-10-07,42
2007-10-14,36
2007-10-21,37
2007-10-28,37
2007-11-04,33
2007-11-11,36
2007-11-18,34
2007-11-25,36
2007-12-02,39
2007-12-09,42
2007-12-16,42
2007-12-23,39
2007-12-30,50
2008-01-06,50
2008-01-13,43
2008-01-20,54
2008-01-27,49
2008-02-03,45
2008-02-10,39
2008-02-17,40
2008-02-24,45
2008-03-02,42
2008-03-09,40
2008-03-16,38
2008-03-23,38
2008-03-30,46
2008-04-06,42
2008-04-13,46
2008-04-20,40
2008-04-27,45
2008-05-04,41
2008-05-11,36
2008-05-18,37
2008-05-25,36
2008-06-01,45
2008-06-08,47
2008-06-15,50
2008-06-22,46
2008-06-29,51
2008-07-06,56
2008-07-13,56
2008-07-20,62
2008-07-27,57
2008-08-03,54
2008-08-10,50
2008-08-17,49
2008-08-24,49
2008-08-31,48
2008-09-07,46
2008-09-14,50
2008-09-21,51
2008-09-28,49
2008-10-05,55
2008-10-12,59
2008-10-19,61
2008-10-26,56
2008-11-02,59
2008-11-09,63
2008-11-16,82
2008-11-23,70
2008-11-30,82
2008-12-07,78
2008-12-14,77
2008-12-21,67
2008-12-28,78
2009-01-04,100
2009-01-11,89
2009-01-18,86
2009-01-25,92
2009-02-01,87
2009-02-08,83
2009-02-15,82
2009-02-22,99
2009-03-01,87
2009-03-08,91
2009-03-15,86
2009-03-22,91
2009-03-29,89
2009-04-05,84
2009-04-12,75
2009-04-19,77
2009-04-26,74
2009-05-03,67
2009-05-10,61
2009-05-17,69
2009-05-24,67
2009-05-31,71
2009-06-07,72
2009-06-14,73
2009-06-21,70
2009-06-28,67
2009-07-05,79
2009-07-12,76
2009-07-19,76
2009-07-26,79
2009-08-02,74
2009-08-09,67
2009-08-16,71
2009-08-23,70
2009-08-30,72
2009-09-06,71
2009-09-13,67
2009-09-20,63
2009-09-27,60
2009-10-04,78
2009-10-11,71
2009-10-18,64
2009-10-25,69
2009-11-01,76
2009-11-08,68
2009-11-15,65
2009-11-22,52
2009-11-29,66
2009-12-06,56
2009-12-13,63
2009-12-20,61
2009-12-27,66
2010-01-03,77
2010-01-10,70
2010-01-17,67
2010-01-24,67
2010-01-31,61
2010-02-07,59
2010-02-14,61
2010-02-21,60
2010-02-28,65
2010-03-07,58
2010-03-14,53
2010-03-21,61
2010-03-28,78
2010-04-04,63
2010-04-11,70
2010-04-18,50
2010-04-25,45
2010-05-02,41
2010-05-09,47
2010-05-16,41
2010-05-23,43
2010-05-30,38
2010-06-06,48
2010-06-13,43
2010-06-20,55
2010-06-27,61
2010-07-04,44
2010-07-11,49
2010-07-18,74
2010-07-25,47
2010-08-01,39
2010-08-08,37
2010-08-15,39
2010-08-22,33
2010-08-29,38
2010-09-05,35
2010-09-12,37
2010-09-19,37
2010-09-26,38
2010-10-03,33
2010-10-10,33
2010-10-17,33
2010-10-24,38
2010-10-31,38
2010-11-07,38
2010-11-14,43
2010-11-21,32
2010-11-28,52
2010-12-05,64
2010-12-12,55
2010-12-19,54
2010-12-26,48
